year,mode,cluster_id,object,base_window_mean,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95,bootstrap_ci_width
1979,anomaly,E1,P,3.6005510962001073,3.404235028403503,3.6068751094825044,3.808717213390869,0.4044821849873661
1980,anomaly,E1,P,4.117563141380922,3.599134594608918,4.096501485907449,4.647265814082771,1.048131219473853
1981,anomaly,E1,P,2.7363410564625466,2.5936107335159013,2.7308052729398127,2.8863250354335745,0.2927143019176732
1982,anomaly,E1,P,3.124271422151431,2.8352722568919853,3.1004369410177537,3.434945554028428,0.5996732971364427
1983,anomaly,E1,P,4.255923519829314,3.663164934378793,4.268739802262338,4.851009560336218,1.1878446259574247
1984,anomaly,E1,P,2.8636876591453544,2.7083060336932285,2.8589157180042366,3.017713870028772,0.30940783633554325
1985,anomaly,E1,P,3.8286384900983834,3.6209016026063074,3.8218058773954153,4.0640850861360915,0.4431834835297841
1986,anomaly,E1,P,3.3508493680285167,3.1055107508893633,3.3687190940094154,3.5875909002126236,0.48208014932326027
1987,anomaly,E1,P,2.86732087398441,2.7050381875981304,2.869287329070147,3.0388909801648376,0.3338527925667072
1988,anomaly,E1,P,3.0974128564521357,2.9313316068092026,3.1059993491930262,3.2573904671150435,0.32605886030584097
1989,anomaly,E1,P,2.998478854508575,2.803236665090474,3.0051043353898272,3.1939796424400404,0.39074297734956653
1990,anomaly,E1,P,4.550411551041557,4.1833839217990425,4.5757837977627,4.8774418391794,0.6940579173803574
1991,anomaly,E1,P,3.2229554963268785,2.9950319216779158,3.221537247803645,3.4558242191964563,0.46079229751854056
1992,anomaly,E1,P,3.045664041808592,2.7526267406641587,3.0359097007106115,3.3378454495504295,0.5852187088862708
1993,anomaly,E1,P,2.577635858568794,2.423204840056343,2.5729274023730166,2.7388747464395196,0.3156699063831767
1994,anomaly,E1,P,3.7046788863704823,3.4446231476410536,3.705498102140341,3.9583597546294382,0.5137366069883846
1995,anomaly,E1,P,3.8776964284597835,3.6893548648079157,3.8826296346149265,4.069285683327705,0.3799308185197896
1996,anomaly,E1,P,3.9041318697633116,3.515239802557483,3.905192736430136,4.3030205701780035,0.7877807676205206
1997,anomaly,E1,P,4.507085160878255,4.022772515287728,4.536168810268903,4.997517577334396,0.9747450620466678
1998,anomaly,E1,P,3.8048781073763283,3.4520111799888906,3.8067962249030574,4.147344983995363,0.6953338040064723
1999,anomaly,E1,P,4.66207037321873,4.3181656117475935,4.656488279811565,5.021567336095317,0.7034017243477235
2000,anomaly,E1,P,2.710276003413927,2.5811386196434203,2.7003863493460507,2.853775204334961,0.27263658469154084
2001,anomaly,E1,P,3.072002617348668,2.9027858888406697,3.0719535819905808,3.2660496816353195,0.3632637927946498
2002,anomaly,E1,P,3.2818095877419093,2.9633391140185736,3.2893987964106275,3.6136649534623495,0.6503258394437759
2003,anomaly,E1,P,4.619830851850163,4.089864936683293,4.6186816592611954,5.143218165002587,1.0533532283192937
