point_id,point_day,month_day,reference_rank,point_role,point_role_group,point_role_detail,is_formal_primary,is_headline_primary,related_window_id,bootstrap_match_rate,bootstrap_strict_match_rate,bootstrap_near_support_rate,bootstrap_no_match_rate,offset_mean,offset_sd,offset_q05,offset_q50,offset_q95,offset_iqr,ambiguous_match_rate,dominant_over_neighbor_rate,neighbor_tie_rate,yearwise_exact_hit_fraction,yearwise_near_hit_fraction,yearwise_missing_fraction,median_yearwise_peak_score,path_presence_rate,path_strict_match_rate,path_near_support_rate,path_ambiguous_rate,atrack_matched_stat,atrack_rank,atrack_warning_flag,competition_status,competition_reason,judgement,caution_flag,caution_note
RP001,45,05-16,1,formal_primary_point,formal_primary,formal_primary_point,True,True,W001,0.98,0.9,0.02,0.0,-0.4387755102040816,1.3557611502558653,-3.0,0.0,1.0,1.0,0.0,,,0.2222222222222222,0.022222222222222223,0.7555555555555555,20.426665986453862,1.0,1.0,0.0,0.0,2.3526894143749066,1.0,False,no_neighbor,,robust_primary_point,False,
RP002,81,06-21,2,formal_primary_point,formal_primary,formal_primary_point,True,True,W002,0.91,0.59,0.09,0.0,0.08791208791208792,2.347073705975689,-4.0,0.0,4.0,4.0,0.0,,,0.13333333333333333,0.13333333333333333,0.7333333333333333,26.900038870807165,1.0,1.0,0.0,0.0,1.8065659429142245,3.0,True,no_neighbor,matched_scale_warning,primary_point_with_caution,True,atrack_warning;yearwise_exact_support_limited
RP003,113,07-23,3,formal_primary_point,formal_primary,formal_primary_point,True,True,W003,0.98,0.85,0.01,0.01,-0.5510204081632653,1.5851507942148069,-3.1499999999999995,0.0,2.0,3.0,0.0,,,0.2,0.13333333333333333,0.6666666666666666,26.742829388872,1.0,1.0,0.0,0.0,2.108081916398763,2.0,False,no_neighbor,,robust_primary_point,False,
LP006,132,08-11,4,neighbor_local_peak,neighbor_competition,neighbor_local_peak,False,False,W004,0.78,0.48,0.21,0.01,0.4230769230769231,2.4046921588216286,-3.0,0.0,4.0,5.0,0.5,0.25274725274725274,0.5494505494505495,0.24444444444444444,0.17777777777777778,0.5777777777777777,25.426588962877148,1.0,0.8,0.0,1.0,1.0943331098921916,6.0,True,neighbor_competition_tie,near_equal_score_and_winfractions;score_close;bootstrap_close;yearwise_close,ambiguous_neighbor_pair,True,not_headline_primary;high_neighbor_ambiguity;atrack_warning;neighbor_tie
RP004,135,08-14,5,formal_primary_point,formal_primary,formal_primary_point,True,True,W004,0.75,0.52,0.23,0.02,0.0,2.184795947756525,-4.0,0.0,3.0,3.0,0.5,0.1978021978021978,0.5494505494505495,0.2222222222222222,0.13333333333333333,0.6444444444444445,25.65321765310044,1.0,1.0,0.0,1.0,1.1411886961761106,5.0,True,neighbor_competition_tie,near_equal_score_and_winfractions;score_close;bootstrap_close;yearwise_close,ambiguous_neighbor_pair,True,high_neighbor_ambiguity;atrack_warning;neighbor_tie
RP005,160,09-08,6,formal_primary_point,formal_primary,formal_primary_point,True,True,W005,0.91,0.69,0.06,0.03,-0.06593406593406594,1.9878874854964401,-3.0,0.0,3.0,3.0,0.0,,,0.26666666666666666,0.15555555555555556,0.5777777777777777,26.302294844216263,1.0,1.0,0.0,0.0,1.6737421945670503,4.0,True,no_neighbor,matched_scale_warning,primary_point_with_caution,True,atrack_warning
