year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,nearest_window_center_day,nearest_window_distance_days,overlap_ratio_with_main_window,overlap_days_with_main_window,relation_tier
1979,Y1979_C01,24,24,24,1,W001,45,-21,0.0,0,none
1979,Y1979_C02,40,46,42,7,W001,45,-3,0.5,4,strict_overlap
1979,Y1979_C03,75,80,78,6,W002,81,-3,0.45454545454545453,5,overlap_any
1979,Y1979_C04,90,93,92,4,W002,81,11,0.0,0,none
1979,Y1979_C05,110,117,113,8,W003,113,0,0.7777777777777778,7,strict_overlap
1979,Y1979_C06,132,139,136,8,W004,135,1,0.125,1,overlap_any
1979,Y1979_C07,167,168,168,2,W005,160,8,0.0,0,none
1980,Y1980_C01,18,21,19,4,W001,45,-26,0.0,0,none
1980,Y1980_C02,36,43,40,8,W001,45,-5,0.08333333333333333,1,overlap_any
1980,Y1980_C03,65,72,67,8,W002,81,-14,0.0,0,none
1980,Y1980_C04,83,87,85,5,W002,81,4,0.25,3,overlap_any
1980,Y1980_C05,118,123,121,6,W003,113,8,0.0,0,none
1980,Y1980_C06,156,160,158,5,W005,160,-2,0.625,5,strict_overlap
1981,Y1981_C01,36,36,36,1,W001,45,-9,0.0,0,none
1981,Y1981_C02,65,69,67,5,W002,81,-14,0.0,0,none
1981,Y1981_C03,77,83,80,7,W002,81,-1,0.7,7,strict_overlap
1981,Y1981_C04,102,108,105,7,W003,113,-8,0.0,0,none
1981,Y1981_C05,117,129,126,13,W004,135,-9,0.0,0,none
1981,Y1981_C06,157,163,160,7,W005,160,0,0.875,7,strict_overlap
1982,Y1982_C01,19,19,19,1,W001,45,-26,0.0,0,none
1982,Y1982_C02,42,46,44,5,W001,45,-1,0.6666666666666666,4,strict_overlap
1982,Y1982_C03,80,84,82,5,W002,81,1,0.5,5,strict_overlap
1982,Y1982_C04,94,100,97,7,W002,81,16,0.0,0,none
1982,Y1982_C05,112,117,114,6,W003,113,1,0.5555555555555556,5,strict_overlap
1982,Y1982_C06,140,140,140,1,W004,135,5,0.0,0,none
1982,Y1982_C07,158,158,158,1,W005,160,-2,0.125,1,overlap_any
1983,Y1983_C01,34,37,36,4,W001,45,-9,0.0,0,none
1983,Y1983_C02,70,73,71,4,W002,81,-10,0.0,0,none
1983,Y1983_C03,103,107,106,5,W003,113,-7,0.0,0,none
1983,Y1983_C04,124,130,127,7,W004,135,-8,0.0,0,none
1983,Y1983_C05,167,168,168,2,W005,160,8,0.0,0,none
1984,Y1984_C01,39,42,40,4,W001,45,-5,0.0,0,none
1984,Y1984_C02,71,78,74,8,W002,81,-7,0.2,3,overlap_any
1984,Y1984_C03,119,124,122,6,W003,113,9,0.0,0,none
1984,Y1984_C04,133,136,135,4,W004,135,0,0.25,1,overlap_any
1984,Y1984_C05,152,165,155,14,W005,160,-5,0.5714285714285714,8,strict_overlap
1985,Y1985_C01,25,32,28,8,W001,45,-17,0.0,0,none
1985,Y1985_C02,51,56,53,6,W001,45,8,0.0,0,none
1985,Y1985_C03,69,78,72,10,W002,81,-9,0.17647058823529413,3,overlap_any
1985,Y1985_C04,87,90,88,4,W002,81,7,0.0,0,none
1985,Y1985_C05,110,111,111,2,W003,113,-2,0.25,2,overlap_any
1985,Y1985_C06,130,130,130,1,W004,135,-5,0.0,0,none
1985,Y1985_C07,167,168,168,2,W005,160,8,0.0,0,none
1986,Y1986_C01,30,34,32,5,W001,45,-13,0.0,0,none
1986,Y1986_C02,70,71,71,2,W002,81,-10,0.0,0,none
1986,Y1986_C03,112,119,117,8,W003,113,4,0.45454545454545453,5,overlap_any
1986,Y1986_C04,137,142,139,6,W004,135,4,0.0,0,none
1986,Y1986_C05,153,157,155,5,W005,160,-5,0.18181818181818182,2,overlap_any
1987,Y1987_C01,46,46,46,1,W001,45,1,0.2,1,overlap_any
1987,Y1987_C02,88,92,89,5,W002,81,8,0.0,0,none
1987,Y1987_C03,128,132,130,5,W004,135,-5,0.0,0,none
1987,Y1987_C04,151,157,154,7,W005,160,-6,0.15384615384615385,2,overlap_any
1987,Y1987_C05,167,168,168,2,W005,160,8,0.0,0,none
1988,Y1988_C01,26,32,28,7,W001,45,-17,0.0,0,none
1988,Y1988_C02,64,70,67,7,W002,81,-14,0.0,0,none
1988,Y1988_C03,86,93,90,8,W002,81,9,0.0,0,none
1988,Y1988_C04,112,119,115,8,W003,113,2,0.45454545454545453,5,overlap_any
1988,Y1988_C05,131,140,137,10,W004,135,2,0.1,1,overlap_any
1988,Y1988_C06,159,161,159,3,W005,160,-1,0.375,3,overlap_any
1989,Y1989_C01,36,36,36,1,W001,45,-9,0.0,0,none
1989,Y1989_C02,61,65,63,5,W001,45,18,0.0,0,none
1989,Y1989_C03,74,78,76,5,W002,81,-5,0.25,3,overlap_any
1989,Y1989_C04,112,118,115,7,W003,113,2,0.5,5,strict_overlap
1989,Y1989_C05,127,130,129,4,W004,135,-6,0.0,0,none
1989,Y1989_C06,155,159,157,5,W005,160,-3,0.4444444444444444,4,overlap_any
1990,Y1990_C01,20,28,24,9,W001,45,-21,0.0,0,none
1990,Y1990_C02,41,42,41,2,W001,45,-4,0.0,0,none
