point_id,n_years_total,n_exact_hit_years,n_near_hit_years,n_missing_years,yearwise_exact_hit_fraction,yearwise_near_hit_fraction,yearwise_missing_fraction,median_yearwise_peak_score
LP006,45,11,8,26,0.24444444444444444,0.17777777777777778,0.5777777777777777,25.426588962877148
RP001,45,10,1,34,0.2222222222222222,0.022222222222222223,0.7555555555555555,20.426665986453862
RP002,45,6,6,33,0.13333333333333333,0.13333333333333333,0.7333333333333333,26.900038870807165
RP003,45,9,6,30,0.2,0.13333333333333333,0.6666666666666666,26.742829388872
RP004,45,10,6,29,0.2222222222222222,0.13333333333333333,0.6444444444444445,25.65321765310044
RP005,45,12,7,26,0.26666666666666666,0.15555555555555556,0.5777777777777777,26.302294844216263
