point_id,point_day,point_role,related_window_id,observed_peak_score,observed_peak_prominence,observed_peak_rank,observed_matched_peak_day,observed_matched_stat,local_window_start,local_window_end
RP001,45,formal_primary_point,W001,5.878578493131532,3.6472619692422086,5,45,2.3526894143749066,43,47
RP002,81,formal_primary_point,W002,9.238311473412097,4.2285212740596405,2,81,1.8065659429142245,79,83
RP003,113,formal_primary_point,W003,9.678099825113602,7.556092339736476,1,113,2.108081916398763,111,115
LP006,132,neighbor_local_peak,W004,3.7541518352022365,0.00977477683365846,7,132,1.0943331098921916,130,134
RP004,135,formal_primary_point,W004,3.7666081070788318,1.4709574724059107,6,135,1.1411886961761106,133,137
RP005,160,formal_primary_point,W005,7.120567750300529,2.684733245250058,3,160,1.6737421945670503,158,162
