point_id,replicate_id,replicate_kind,point_day,nearest_peak_day,day_offset
LP006,0,bootstrap,132,136,4
LP006,1,bootstrap,132,136,4
LP006,3,bootstrap,132,131,-1
LP006,6,bootstrap,132,130,-2
LP006,8,bootstrap,132,130,-2
LP006,9,bootstrap,132,134,2
LP006,11,bootstrap,132,130,-2
LP006,12,bootstrap,132,134,2
LP006,13,bootstrap,132,135,3
LP006,14,bootstrap,132,132,0
LP006,15,bootstrap,132,136,4
LP006,16,bootstrap,132,132,0
LP006,17,bootstrap,132,131,-1
LP006,18,bootstrap,132,130,-2
LP006,20,bootstrap,132,132,0
LP006,22,bootstrap,132,135,3
LP006,25,bootstrap,132,136,4
LP006,26,bootstrap,132,135,3
LP006,27,bootstrap,132,129,-3
LP006,28,bootstrap,132,129,-3
LP006,29,bootstrap,132,134,2
LP006,30,bootstrap,132,135,3
LP006,31,bootstrap,132,133,1
LP006,32,bootstrap,132,129,-3
LP006,33,bootstrap,132,130,-2
LP006,34,bootstrap,132,132,0
LP006,35,bootstrap,132,132,0
LP006,36,bootstrap,132,133,1
LP006,37,bootstrap,132,133,1
LP006,38,bootstrap,132,135,3
LP006,39,bootstrap,132,136,4
LP006,41,bootstrap,132,130,-2
LP006,42,bootstrap,132,135,3
LP006,43,bootstrap,132,135,3
LP006,44,bootstrap,132,135,3
LP006,45,bootstrap,132,130,-2
LP006,47,bootstrap,132,136,4
LP006,49,bootstrap,132,128,-4
LP006,50,bootstrap,132,131,-1
LP006,52,bootstrap,132,130,-2
LP006,54,bootstrap,132,129,-3
LP006,55,bootstrap,132,130,-2
LP006,56,bootstrap,132,134,2
LP006,57,bootstrap,132,131,-1
LP006,58,bootstrap,132,131,-1
LP006,59,bootstrap,132,134,2
LP006,60,bootstrap,132,136,4
LP006,61,bootstrap,132,129,-3
LP006,62,bootstrap,132,131,-1
LP006,63,bootstrap,132,133,1
LP006,64,bootstrap,132,133,1
LP006,65,bootstrap,132,132,0
LP006,66,bootstrap,132,134,2
LP006,67,bootstrap,132,135,3
LP006,68,bootstrap,132,135,3
LP006,69,bootstrap,132,130,-2
LP006,70,bootstrap,132,131,-1
LP006,72,bootstrap,132,134,2
LP006,74,bootstrap,132,133,1
LP006,75,bootstrap,132,136,4
LP006,79,bootstrap,132,135,3
LP006,80,bootstrap,132,130,-2
LP006,81,bootstrap,132,130,-2
LP006,82,bootstrap,132,135,3
LP006,83,bootstrap,132,136,4
LP006,84,bootstrap,132,130,-2
LP006,85,bootstrap,132,130,-2
LP006,86,bootstrap,132,130,-2
LP006,88,bootstrap,132,130,-2
LP006,89,bootstrap,132,130,-2
LP006,91,bootstrap,132,132,0
LP006,92,bootstrap,132,132,0
LP006,93,bootstrap,132,135,3
LP006,94,bootstrap,132,129,-3
LP006,95,bootstrap,132,133,1
LP006,96,bootstrap,132,130,-2
LP006,98,bootstrap,132,130,-2
LP006,99,bootstrap,132,136,4
RP001,0,bootstrap,45,45,0
RP001,1,bootstrap,45,41,-4
RP001,2,bootstrap,45,44,-1
RP001,3,bootstrap,45,43,-2
RP001,4,bootstrap,45,42,-3
RP001,6,bootstrap,45,45,0
RP001,7,bootstrap,45,46,1
RP001,8,bootstrap,45,45,0
RP001,9,bootstrap,45,45,0
RP001,10,bootstrap,45,46,1
RP001,11,bootstrap,45,43,-2
RP001,12,bootstrap,45,41,-4
RP001,13,bootstrap,45,46,1
RP001,14,bootstrap,45,46,1
RP001,15,bootstrap,45,46,1
RP001,17,bootstrap,45,46,1
RP001,18,bootstrap,45,45,0
RP001,19,bootstrap,45,43,-2
RP001,20,bootstrap,45,45,0
RP001,21,bootstrap,45,45,0
RP001,22,bootstrap,45,44,-1
RP001,23,bootstrap,45,43,-2
RP001,24,bootstrap,45,45,0
RP001,25,bootstrap,45,43,-2
RP001,26,bootstrap,45,44,-1
RP001,27,bootstrap,45,44,-1
RP001,28,bootstrap,45,43,-2
RP001,29,bootstrap,45,45,0
RP001,30,bootstrap,45,46,1
RP001,31,bootstrap,45,45,0
RP001,32,bootstrap,45,44,-1
RP001,33,bootstrap,45,45,0
RP001,34,bootstrap,45,44,-1
RP001,35,bootstrap,45,45,0
RP001,36,bootstrap,45,45,0
RP001,37,bootstrap,45,46,1
RP001,38,bootstrap,45,45,0
RP001,39,bootstrap,45,46,1
RP001,40,bootstrap,45,46,1
RP001,41,bootstrap,45,46,1
RP001,42,bootstrap,45,46,1
RP001,43,bootstrap,45,45,0
RP001,44,bootstrap,45,47,2
RP001,45,bootstrap,45,45,0
RP001,46,bootstrap,45,44,-1
RP001,47,bootstrap,45,42,-3
RP001,48,bootstrap,45,47,2
RP001,49,bootstrap,45,43,-2
RP001,50,bootstrap,45,45,0
RP001,51,bootstrap,45,44,-1
RP001,52,bootstrap,45,45,0
RP001,53,bootstrap,45,45,0
RP001,54,bootstrap,45,44,-1
RP001,55,bootstrap,45,46,1
RP001,56,bootstrap,45,43,-2
RP001,57,bootstrap,45,44,-1
RP001,58,bootstrap,45,44,-1
RP001,59,bootstrap,45,45,0
RP001,60,bootstrap,45,44,-1
RP001,61,bootstrap,45,48,3
RP001,62,bootstrap,45,46,1
RP001,63,bootstrap,45,45,0
RP001,64,bootstrap,45,43,-2
RP001,65,bootstrap,45,45,0
RP001,66,bootstrap,45,44,-1
RP001,67,bootstrap,45,42,-3
RP001,68,bootstrap,45,43,-2
RP001,69,bootstrap,45,44,-1
RP001,70,bootstrap,45,47,2
RP001,71,bootstrap,45,45,0
RP001,72,bootstrap,45,45,0
RP001,73,bootstrap,45,46,1
RP001,74,bootstrap,45,44,-1
RP001,75,bootstrap,45,46,1
RP001,76,bootstrap,45,45,0
RP001,77,bootstrap,45,45,0
RP001,78,bootstrap,45,41,-4
RP001,79,bootstrap,45,44,-1
RP001,80,bootstrap,45,45,0
RP001,81,bootstrap,45,46,1
RP001,82,bootstrap,45,44,-1
RP001,83,bootstrap,45,45,0
RP001,84,bootstrap,45,45,0
RP001,85,bootstrap,45,44,-1
RP001,86,bootstrap,45,43,-2
RP001,87,bootstrap,45,43,-2
RP001,88,bootstrap,45,43,-2
RP001,89,bootstrap,45,45,0
RP001,90,bootstrap,45,45,0
RP001,91,bootstrap,45,46,1
RP001,92,bootstrap,45,44,-1
RP001,93,bootstrap,45,45,0
RP001,94,bootstrap,45,46,1
RP001,95,bootstrap,45,44,-1
RP001,96,bootstrap,45,46,1
RP001,97,bootstrap,45,44,-1
RP001,98,bootstrap,45,42,-3
RP001,99,bootstrap,45,44,-1
RP002,0,bootstrap,81,84,3
RP002,2,bootstrap,81,83,2
RP002,3,bootstrap,81,80,-1
RP002,5,bootstrap,81,84,3
RP002,6,bootstrap,81,80,-1
RP002,7,bootstrap,81,85,4
RP002,8,bootstrap,81,84,3
RP002,9,bootstrap,81,83,2
RP002,10,bootstrap,81,79,-2
RP002,11,bootstrap,81,83,2
RP002,12,bootstrap,81,78,-3
RP002,13,bootstrap,81,82,1
RP002,14,bootstrap,81,82,1
RP002,15,bootstrap,81,82,1
RP002,16,bootstrap,81,77,-4
RP002,17,bootstrap,81,81,0
RP002,18,bootstrap,81,80,-1
RP002,19,bootstrap,81,85,4
RP002,20,bootstrap,81,80,-1
RP002,21,bootstrap,81,78,-3
RP002,22,bootstrap,81,81,0
RP002,23,bootstrap,81,83,2
RP002,24,bootstrap,81,84,3
RP002,25,bootstrap,81,78,-3
RP002,26,bootstrap,81,79,-2
RP002,27,bootstrap,81,82,1
RP002,28,bootstrap,81,85,4
RP002,29,bootstrap,81,82,1
RP002,30,bootstrap,81,85,4
RP002,31,bootstrap,81,85,4
RP002,32,bootstrap,81,82,1
RP002,33,bootstrap,81,85,4
RP002,34,bootstrap,81,82,1
RP002,35,bootstrap,81,77,-4
RP002,36,bootstrap,81,81,0
RP002,37,bootstrap,81,82,1
RP002,39,bootstrap,81,79,-2
RP002,40,bootstrap,81,83,2
RP002,41,bootstrap,81,79,-2
RP002,42,bootstrap,81,79,-2
RP002,43,bootstrap,81,77,-4
RP002,44,bootstrap,81,84,3
RP002,45,bootstrap,81,84,3
RP002,46,bootstrap,81,82,1
RP002,47,bootstrap,81,79,-2
RP002,48,bootstrap,81,79,-2
RP002,50,bootstrap,81,79,-2
RP002,51,bootstrap,81,84,3
RP002,52,bootstrap,81,78,-3
RP002,53,bootstrap,81,81,0
RP002,54,bootstrap,81,79,-2
RP002,55,bootstrap,81,79,-2
RP002,56,bootstrap,81,81,0
RP002,57,bootstrap,81,81,0
RP002,58,bootstrap,81,77,-4
RP002,59,bootstrap,81,82,1
RP002,60,bootstrap,81,79,-2
RP002,61,bootstrap,81,82,1
RP002,62,bootstrap,81,78,-3
RP002,63,bootstrap,81,80,-1
RP002,64,bootstrap,81,80,-1
RP002,65,bootstrap,81,83,2
RP002,67,bootstrap,81,77,-4
RP002,69,bootstrap,81,82,1
RP002,70,bootstrap,81,83,2
RP002,71,bootstrap,81,84,3
RP002,72,bootstrap,81,80,-1
RP002,73,bootstrap,81,84,3
RP002,74,bootstrap,81,81,0
RP002,75,bootstrap,81,80,-1
RP002,76,bootstrap,81,77,-4
RP002,78,bootstrap,81,82,1
RP002,79,bootstrap,81,81,0
RP002,80,bootstrap,81,78,-3
RP002,81,bootstrap,81,79,-2
RP002,82,bootstrap,81,78,-3
