band_id,band_start_day,band_end_day,band_threshold,source_window_id_legacy
RB001,43,47,5.08044936098908,RW01
RB002,76,85,7.758329027491222,RW02
RB003,109,116,7.033467506205835,RW03
RB004,135,135,5.08044936098908,RW04
RB005,156,163,6.180911114463008,RW05
