field_a,field_b,n_valid,median_delta,q05_delta,q95_delta,q025_delta,q975_delta,prob_delta_gt_0,prob_delta_lt_0,pass90,pass95,direction_label,early_field_candidate,late_field_candidate,peak_marker_type,marker_col,peak_order_label
P,V,1000,0.0,-4.0,7.0,-5.0,10.0,0.444,0.255,False,False,tie_or_zero,,,raw,peak_change_day_raw,peak_order_not_confirmed
P,H,1000,-7.0,-11.0,11.0,-12.0,14.0,0.228,0.767,False,False,field_b_before_field_a,H,P,raw,peak_change_day_raw,peak_order_not_confirmed
P,Je,1000,1.0,-5.0,7.0499999999999545,-6.0,11.0,0.608,0.233,False,False,field_a_before_field_b,P,Je,raw,peak_change_day_raw,peak_order_not_confirmed
P,Jw,1000,-2.0,-8.0,9.0,-9.0,9.0,0.298,0.629,False,False,field_b_before_field_a,Jw,P,raw,peak_change_day_raw,peak_order_not_confirmed
V,H,1000,-8.0,-15.0,10.0,-16.0,13.0,0.218,0.768,False,False,field_b_before_field_a,H,V,raw,peak_change_day_raw,peak_order_not_confirmed
V,Je,1000,1.0,-6.0,7.0,-8.0,10.0,0.574,0.36,False,False,field_a_before_field_b,V,Je,raw,peak_change_day_raw,peak_order_not_confirmed
V,Jw,1000,-3.0,-13.0,8.0,-14.0,8.0,0.292,0.668,False,False,field_b_before_field_a,Jw,V,raw,peak_change_day_raw,peak_order_not_confirmed
H,Je,1000,8.0,-9.0,11.0,-10.024999999999999,16.0,0.791,0.209,False,False,field_a_before_field_b,H,Je,raw,peak_change_day_raw,peak_order_not_confirmed
H,Jw,1000,3.0,-15.0,14.049999999999955,-16.0,17.0,0.711,0.237,False,False,field_a_before_field_b,H,Jw,raw,peak_change_day_raw,peak_order_not_confirmed
Je,Jw,1000,-4.0,-9.0,7.0,-10.024999999999999,8.0,0.238,0.692,False,False,field_b_before_field_a,Jw,Je,raw,peak_change_day_raw,peak_order_not_confirmed
P,V,1000,0.0,-4.0,6.0499999999999545,-5.0,10.0,0.482,0.228,False,False,tie_or_zero,,,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
P,H,1000,-8.0,-10.0,11.0,-10.0,14.0,0.203,0.795,False,False,field_b_before_field_a,H,P,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
P,Je,1000,0.0,-4.0,7.0,-5.0,7.0,0.467,0.302,False,False,tie_or_zero,,,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
P,Jw,1000,-2.0,-8.0,8.0,-8.0,9.0,0.271,0.677,False,False,field_b_before_field_a,Jw,P,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
V,H,1000,-8.0,-15.0,9.0,-15.0,11.0,0.197,0.796,False,False,field_b_before_field_a,H,V,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
V,Je,1000,0.0,-6.0,6.0,-7.0,7.0,0.374,0.422,False,False,tie_or_zero,,,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
V,Jw,1000,-3.0,-13.0,7.0,-14.0,8.0,0.245,0.706,False,False,field_b_before_field_a,Jw,V,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
H,Je,1000,8.0,-9.0,11.0,-10.0,14.0,0.807,0.193,False,False,field_a_before_field_b,H,Je,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
H,Jw,1000,2.0,-14.049999999999997,14.0,-16.0,16.024999999999977,0.739,0.2,False,False,field_a_before_field_b,H,Jw,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
Je,Jw,1000,-4.0,-9.0,7.0,-10.0,8.0,0.273,0.677,False,False,field_b_before_field_a,Jw,Je,smooth3,peak_change_day_smooth3,peak_order_not_confirmed
