field_a,field_b,n_valid,median_delta,q05_delta,q95_delta,q025_delta,q975_delta,prob_delta_gt_0,prob_delta_lt_0,pass90,pass95,direction_label,early_field_candidate,late_field_candidate,threshold,marker_col,order_label
P,V,1000,1.0,-2.0,5.0,-2.0,5.0,0.625,0.156,False,False,field_a_before_field_b,P,V,0.1,t10_day,threshold_order_not_confirmed
P,H,1000,-2.0,-5.0,1.0,-6.0,1.0,0.101,0.757,False,False,field_b_before_field_a,H,P,0.1,t10_day,threshold_order_not_confirmed
P,Je,1000,4.0,-9.0,8.0,-10.0,9.0,0.799,0.187,False,False,field_a_before_field_b,P,Je,0.1,t10_day,threshold_order_not_confirmed
P,Jw,1000,0.0,-4.0,3.0,-4.0,4.0,0.354,0.435,False,False,tie_or_zero,,,0.1,t10_day,threshold_order_not_confirmed
V,H,1000,-3.0,-7.0,0.0,-7.0,1.0,0.029,0.908,False,False,field_b_before_field_a,H,V,0.1,t10_day,threshold_order_not_confirmed
V,Je,1000,3.0,-10.0,7.0,-10.0,7.0,0.733,0.209,False,False,field_a_before_field_b,V,Je,0.1,t10_day,threshold_order_not_confirmed
V,Jw,1000,-1.0,-5.049999999999997,2.0,-6.0,3.0,0.201,0.619,False,False,field_b_before_field_a,Jw,V,0.1,t10_day,threshold_order_not_confirmed
H,Je,1000,6.0,-5.0,9.0,-6.0,10.0,0.816,0.179,False,False,field_a_before_field_b,H,Je,0.1,t10_day,threshold_order_not_confirmed
H,Jw,1000,2.0,0.0,4.0,0.0,4.0,0.868,0.024,False,False,field_a_before_field_b,H,Jw,0.1,t10_day,threshold_order_not_confirmed
Je,Jw,1000,-4.0,-8.0,7.0,-8.024999999999999,8.0,0.198,0.791,False,False,field_b_before_field_a,Jw,Je,0.1,t10_day,threshold_order_not_confirmed
P,V,1000,1.0,-1.0,4.0,-2.0,5.0,0.617,0.124,False,False,field_a_before_field_b,P,V,0.15,t15_day,threshold_order_not_confirmed
P,H,1000,-3.0,-6.0,1.0,-6.0,1.0,0.06,0.855,False,False,field_b_before_field_a,H,P,0.15,t15_day,threshold_order_not_confirmed
