window_id,field,bootstrap_id,v7e_anchor_day,v7e_onset_day,v7e_midpoint_day,v7e_finish_day,v7e_duration,v7e_pre_post_separation_label,v7e_progress_quality_label,v7e_progress_monotonicity_corr,v7e_n_crossings_025,v7e_n_crossings_050,v7e_n_crossings_075,marker_extract_status,t10_day,t15_day,t20_day,t25_day,t30_day,t35_day,t40_day,t45_day,t50_day,t75_day,pre_progress_upper90,pre_progress_upper95,departure90_day,departure95_day,peak_change_day_raw,peak_change_value_raw,peak_change_day_smooth3,peak_change_value_smooth3,duration_25_75,tail_50_75,early_span_25_50,analysis_start,analysis_end,progress_at_analysis_start,progress_at_anchor,progress_at_analysis_end
W002,P,26,45,42.0,46.0,50.0,9.0,clear_separation,monotonic_clear_progress,0.9786190330295721,1,1,1,success,38.0,39.0,41.0,42.0,43.0,44.0,45.0,45.0,46.0,50.0,0.06266338311742484,0.06950490308828555,37.0,37.0,45.0,0.10069207562124932,45.0,0.07863289850479238,9.0,4.0,4.0,30,60,0.0,0.47621663029870603,0.9911843978978049
W002,V,26,45,45.0,48.0,51.0,7.0,clear_separation,monotonic_clear_progress,0.9446441014966355,1,1,1,success,44.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,48.0,51.0,0.03572388360424338,0.036882072657274695,38.0,38.0,52.0,0.11819773110668086,51.0,0.10609784707310144,7.0,3.0,3.0,30,60,0.0,0.26374933697134156,1.0
W002,H,26,45,36.0,37.0,39.0,4.0,clear_separation,monotonic_clear_progress,0.7947099817970507,1,1,1,success,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,37.0,39.0,0.3853895685796315,0.44588515038571735,37.0,37.0,36.0,0.17492929684246522,37.0,0.16668475596470855,4.0,2.0,1.0,30,60,0.0,1.0,1.0
W002,Je,26,45,45.0,47.0,50.0,6.0,clear_separation,monotonic_clear_progress,0.9343598609842237,1,1,1,success,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,50.0,0.03516093410723027,0.04743716230333693,43.0,43.0,46.0,0.16644258205923712,46.0,0.13433254021523366,6.0,3.0,2.0,30,60,0.05971339049944362,0.2739015829783204,1.0
W002,Jw,26,45,38.0,41.0,44.0,7.0,clear_separation,monotonic_clear_progress,0.9227367257880472,1,1,1,success,37.0,37.0,38.0,38.0,39.0,39.0,40.0,41.0,41.0,44.0,0.1194736988539766,0.14735998748423432,37.0,37.0,43.0,0.10640706516992116,43.0,0.09702842363298281,7.0,3.0,3.0,30,60,0.0,0.9065732590029272,1.0
W002,P,27,45,39.0,44.0,47.0,9.0,clear_separation,monotonic_clear_progress,0.9615655685254828,1,1,1,success,37.0,37.0,38.0,39.0,40.0,40.0,41.0,42.0,44.0,47.0,0.11245393229078796,0.13418148223560258,37.0,37.0,45.0,0.11252291432836248,46.0,0.08746003954382386,9.0,3.0,5.0,30,60,0.0,0.6538634409203736,0.9490534087725455
W002,V,27,45,42.0,47.0,52.0,11.0,clear_separation,monotonic_clear_progress,0.9836405937477294,1,1,1,success,38.0,39.0,41.0,42.0,44.0,45.0,45.0,46.0,47.0,52.0,0.04989880323808925,0.07038215373808562,37.0,37.0,51.0,0.08926786532773245,52.0,0.08001715099189577,11.0,5.0,5.0,30,60,0.0,0.40982214996413274,1.0
W002,H,27,45,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress,0.8655736469941376,1,1,3,success,35.0,35.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,0.3386077642105235,0.38584208373073253,37.0,37.0,37.0,0.13495519862916872,37.0,0.1307530176890087,5.0,2.0,2.0,30,60,0.0,0.6856677054580894,1.0
W002,Je,27,45,43.0,45.0,47.0,5.0,clear_separation,monotonic_clear_progress,0.9188620111543185,1,1,1,success,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,47.0,0.07166617358784684,0.09542181011596838,41.0,42.0,46.0,0.15819233327402205,45.0,0.142570809159193,5.0,2.0,2.0,30,60,0.11917744664408998,0.5358740331685641,1.0
W002,Jw,27,45,38.0,41.0,49.0,12.0,clear_separation,monotonic_clear_progress,0.9701158298926487,1,1,1,success,37.0,37.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,49.0,0.09811996189927318,0.13226941892468091,37.0,37.0,38.0,0.10976868056334024,38.0,0.10536406949581498,12.0,8.0,3.0,30,60,0.0,0.7070432047134263,1.0
W002,P,28,45,40.0,44.0,46.0,7.0,clear_separation,monotonic_clear_progress,0.9202081388593605,1,1,1,success,36.0,37.0,39.0,40.0,40.0,41.0,42.0,42.0,44.0,46.0,0.1417067831070532,0.1548052503262117,37.0,37.0,46.0,0.13058516482098637,46.0,0.12324422183207107,7.0,2.0,4.0,30,60,0.0,0.6820565221270621,0.830866958214974
W002,V,28,45,40.0,44.0,47.0,8.0,clear_separation,monotonic_clear_progress,0.9600673825049703,1,1,1,success,37.0,38.0,40.0,40.0,41.0,42.0,43.0,44.0,44.0,47.0,0.10492083237172438,0.11981462621918108,37.0,37.0,45.0,0.10859685354698656,46.0,0.09605827028698821,8.0,3.0,4.0,30,60,0.0,0.6159181221289266,0.9409034384738221
W002,H,28,45,36.0,39.0,53.0,18.0,clear_separation,monotonic_clear_progress,0.9243490954573921,1,1,1,success,35.0,35.0,36.0,36.0,37.0,38.0,38.0,39.0,39.0,53.0,0.28644216625077507,0.31305616936344227,37.0,37.0,35.0,0.1200590660493845,36.0,0.09384230188917217,18.0,14.0,3.0,30,60,0.0,0.6341364659181806,1.0
