field_a,field_b,n_valid,median_delta,q05_delta,q95_delta,q025_delta,q975_delta,prob_delta_gt_0,prob_delta_lt_0,pass90,pass95,direction_label,early_field_candidate,late_field_candidate,departure_level,marker_col,departure_order_label
P,V,1000,0.0,-2.0,3.0,-3.0,4.0,0.155,0.171,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
P,H,1000,0.0,-3.0,0.0,-3.0,0.0,0.005,0.256,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
P,Je,1000,4.0,1.0,7.0,0.0,8.0,0.952,0.011,True,False,field_a_before_field_b,P,Je,departure90,departure90_day,departure_order_pass90
P,Jw,1000,0.0,-3.0,1.0,-3.0,1.0,0.054,0.243,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
V,H,1000,0.0,-4.0,0.0,-4.0,0.0,0.005,0.222,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
V,Je,1000,4.0,0.0,7.0,0.0,8.0,0.943,0.022,False,False,field_a_before_field_b,V,Je,departure90,departure90_day,departure_order_not_confirmed
V,Jw,1000,0.0,-4.0,1.0,-4.0,1.0,0.071,0.216,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
H,Je,1000,4.0,2.0,8.0,1.0,8.0,0.984,0.002,True,True,field_a_before_field_b,H,Je,departure90,departure90_day,departure_order_pass95
H,Jw,1000,0.0,0.0,1.0,0.0,1.0,0.078,0.004,False,False,tie_or_zero,,,departure90,departure90_day,departure_order_not_confirmed
Je,Jw,1000,-4.0,-8.0,-1.0,-8.0,0.0,0.018,0.966,True,False,field_b_before_field_a,Jw,Je,departure90,departure90_day,departure_order_pass90
P,V,1000,0.0,-2.0,3.0,-3.0,4.0,0.162,0.185,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
P,H,1000,0.0,-3.0,0.0,-3.0,0.0,0.005,0.282,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
P,Je,1000,4.0,0.0,7.0,0.0,8.0,0.946,0.012,False,False,field_a_before_field_b,P,Je,departure95,departure95_day,departure_order_not_confirmed
P,Jw,1000,0.0,-3.0,1.0,-3.0,1.0,0.053,0.269,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
V,H,1000,0.0,-4.0,0.0,-4.0,0.0,0.005,0.236,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
V,Je,1000,4.0,0.0,8.0,0.0,8.0,0.942,0.021,False,False,field_a_before_field_b,V,Je,departure95,departure95_day,departure_order_not_confirmed
V,Jw,1000,0.0,-4.0,1.0,-4.0,1.0,0.071,0.23,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
H,Je,1000,5.0,2.0,8.0,1.0,8.0,0.984,0.002,True,True,field_a_before_field_b,H,Je,departure95,departure95_day,departure_order_pass95
H,Jw,1000,0.0,0.0,1.0,0.0,1.0,0.078,0.004,False,False,tie_or_zero,,,departure95,departure95_day,departure_order_not_confirmed
Je,Jw,1000,-4.0,-8.0,-1.0,-8.0,0.0,0.018,0.967,True,False,field_b_before_field_a,Jw,Je,departure95,departure95_day,departure_order_pass90
