replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
0,bootstrap,0,CP001,18,04-19,22,2.7645349489336555,0.020748144429643123,4,4,matched
0,bootstrap,0,CP002,45,05-16,44,6.229902609142303,4.1475398337767695,-1,1,strict
0,bootstrap,0,CP003,81,06-21,82,10.613924003306003,7.521145263970898,1,1,strict
0,bootstrap,0,CP004,96,07-06,92,10.088971276678175,0.2822239492988601,-4,4,matched
0,bootstrap,0,CP005,113,07-23,114,10.715881430147164,8.133987590754547,1,1,strict
0,bootstrap,0,CP006,132,08-11,133,3.1052356391802762,0.24315521877280766,1,1,strict
0,bootstrap,0,CP007,135,08-14,133,3.1052356391802762,0.24315521877280766,-2,2,strict
0,bootstrap,0,CP008,160,09-08,163,8.74969231338544,2.8550221493886188,3,3,matched
1,bootstrap,1,CP001,18,04-19,16,7.365985204501145,0.46813503807970047,-2,2,strict
1,bootstrap,1,CP002,45,05-16,43,7.77178922946298,5.841763864708788,-2,2,strict
1,bootstrap,1,CP003,81,06-21,77,13.387272685699102,10.882049149719702,-4,4,matched
1,bootstrap,1,CP004,96,07-06,95,8.405532367117726,3.472389039822308,-1,1,strict
1,bootstrap,1,CP005,113,07-23,113,11.45187727770097,8.148557321760972,0,0,strict
1,bootstrap,1,CP006,132,08-11,133,5.117564658934013,2.292485587723567,1,1,strict
1,bootstrap,1,CP007,135,08-14,133,5.117564658934013,2.292485587723567,-2,2,strict
1,bootstrap,1,CP008,160,09-08,161,7.809150808052667,1.0211138596401703,1,1,strict
2,bootstrap,2,CP001,18,04-19,16,5.208814527353965,0.5174227628377555,-2,2,strict
2,bootstrap,2,CP002,45,05-16,45,7.960635858838331,6.200475967689875,0,0,strict
2,bootstrap,2,CP003,81,06-21,76,10.026331204030843,4.43970267443721,-5,5,matched
2,bootstrap,2,CP004,96,07-06,97,5.642176154921815,0.0009065937945313962,1,1,strict
2,bootstrap,2,CP005,113,07-23,112,11.861810639408718,9.288302797818556,-1,1,strict
2,bootstrap,2,CP006,132,08-11,132,6.591128437916307,2.4978565870331657,0,0,strict
2,bootstrap,2,CP007,135,08-14,132,6.591128437916307,2.4978565870331657,-3,3,matched
2,bootstrap,2,CP008,160,09-08,159,4.99535739170474,0.37625545787521375,-1,1,strict
3,bootstrap,3,CP001,18,04-19,21,3.1066305491733694,0.014100930856136618,3,3,matched
3,bootstrap,3,CP002,45,05-16,45,6.587774617520926,4.084868698874203,0,0,strict
3,bootstrap,3,CP003,81,06-21,84,11.584607952517862,8.945177827456433,3,3,matched
3,bootstrap,3,CP004,96,07-06,101,9.018133014055934,5.3506996989257445,5,5,matched
3,bootstrap,3,CP005,113,07-23,110,7.604499738036319,0.6748954822373587,-3,3,matched
3,bootstrap,3,CP006,132,08-11,137,5.279601181319453,2.551007706852552,5,5,matched
