mode,event_id,domain,n_years,clim_norm,clim_abs_mean,year_median_norm,year_mean_norm
raw,H18,object_domain_spatial,45,1028.8860445126697,8.32923419993539,1433.406437424438,1716.2419456309847
raw,H18,profile,45,92.85681153131276,8.329234199935389,115.25807700923504,140.74909829816954
raw,H35,object_domain_spatial,45,780.4926769687851,6.388152670888432,1574.9795093612609,1702.3957208930299
raw,H35,profile,45,69.86045722471032,6.36039842878097,124.82983617204563,131.06554586655017
raw,H45,object_domain_spatial,45,204.3990517089787,1.6500126668317194,1383.359668040077,1522.4658020063891
raw,H45,profile,45,6.8860761116079745,0.6779816174137728,111.40825020086127,115.57986681110245
raw,H57,object_domain_spatial,45,386.5098080297721,3.1207796391007525,1312.4025487891226,1358.4235931697456
raw,H57,profile,45,34.38536590805681,3.0759773588437183,82.10700334259796,100.34399658530913
local_background_removed,H18,object_domain_spatial,45,322.92746233878904,2.381452675697143,864.6707931768315,1050.5251708037626
local_background_removed,H18,profile,45,28.001514660485114,2.3789447225402176,63.81021784364664,81.5645083164603
local_background_removed,H35,object_domain_spatial,45,146.8723026435636,1.2532161206145342,968.7296957554105,1014.6210076044874
local_background_removed,H35,profile,45,13.012169418822017,1.2311824060293346,69.44211692799729,75.34400483471235
local_background_removed,H45,object_domain_spatial,45,280.4176016498449,2.2262745493806824,856.17870986409,889.9102067050462
local_background_removed,H45,profile,45,24.342051030738943,2.2138883226012003,57.220333981909135,65.88929966394466
local_background_removed,H57,object_domain_spatial,45,96.48834607583298,0.7338692337694027,853.8640939863793,870.318780679103
local_background_removed,H57,profile,45,7.161096933047689,0.6507545404190641,58.007565826836725,63.35223304557793
anomaly,H18,object_domain_spatial,45,7.155929737793369e-11,5.775862052351953e-13,1342.1383212549576,1461.5317353830123
anomaly,H18,profile,45,5.698116144672772e-13,5.06734571998819e-14,109.21397416710218,115.54502197089737
anomaly,H35,object_domain_spatial,45,7.140624797811543e-11,5.774609304828849e-13,1341.5847897872109,1521.6290159158941
anomaly,H35,profile,45,5.66841541944887e-13,4.843502523304473e-14,108.85322235322208,111.3726018833495
anomaly,H45,object_domain_spatial,45,7.14671167596666e-11,5.740532510064601e-13,1400.9612082597873,1510.1893984892424
anomaly,H45,profile,45,5.927751080441644e-13,5.331610781582198e-14,114.83699467372111,115.41598461239005
anomaly,H57,object_domain_spatial,45,7.209305655475296e-11,5.808258206406193e-13,1206.7154870894365,1317.557148460225
anomaly,H57,profile,45,6.278296221153578e-13,5.775285046885584e-14,88.41131524193374,96.08147456446208
