year,mode,target_event,target_day,score_proxy_original,score_proxy_after_H18_like_removal,score_proxy_after_background_removal,score_proxy_after_H18_and_background_removal,drop_fraction_after_H18_like_removal,drop_fraction_after_background_removal,drop_fraction_after_both
1979,raw,H35,35,565.4141564842527,527.030521265485,1367.05716853803,502.96816440728514,0.0678858758285028,-1.4177979147858566,0.11044292287490098
1980,raw,H35,35,2024.5053833832496,1268.443114700079,908.5562383483272,906.9842539236181,0.3734553016696247,0.5512206360103649,0.5519971142739505
1981,raw,H35,35,2134.20531610396,1763.213852081505,1048.9888653726844,1048.8794037518314,0.17383119666279734,0.5084873711739988,0.5085386603447393
1982,raw,H35,35,4448.00297246426,1369.8416873881306,2064.0321721336068,1122.612256229633,0.69203220054747,0.5359643001789403,0.7476143196892494
1983,raw,H35,35,3226.360874437611,2613.7845505527766,1068.1908273697368,933.2655981399822,0.18986602792584784,0.6689177469783402,0.7107373804541749
1984,raw,H35,35,2201.1606846538607,665.733154728522,760.821191580329,496.93808183776554,0.6975535864465021,0.6543545426353231,0.7742381620286342
1985,raw,H35,35,3858.2280515866196,1789.760001939185,1044.3120692208804,1043.101015440263,0.536118659133386,0.7293285790114382,0.7296424676060016
1986,raw,H35,35,2007.4032732357016,1363.4706439482463,573.4999591201106,552.7805190212134,0.32077890769277784,0.7143075500740341,0.7246290636309488
1987,raw,H35,35,1462.800636889939,549.0161292824258,1144.4804389111575,403.60171212606895,0.6246815078986503,0.21761010348994791,0.7240897344807241
1988,raw,H35,35,2269.374641477846,980.430393105395,1066.8825715816704,514.2162579827954,0.5679733195278299,0.5298781646353012,0.773410591365412
1989,raw,H35,35,2554.1182078583633,1339.6635908732799,984.9166624883609,687.9122077292578,0.4754888059795038,0.6143809399823288,0.7306654775754977
1990,raw,H35,35,1762.732778831993,1474.7013717807265,971.2592712450057,920.3622410100834,0.16340049411353175,0.44900368172164284,0.4778776159027769
1991,raw,H35,35,3874.25987252239,1345.7536224431055,2720.5045166480127,1284.050618811053,0.6526423970710735,0.2978001976731647,0.6685687947992363
1992,raw,H35,35,3259.2711706855966,2247.7720538887665,1417.0371707992947,962.0233451594228,0.3103451857256966,0.5652288206196672,0.7048348250946366
1993,raw,H35,35,2211.470466956584,1025.4761064704562,301.68612690460174,301.29313952148595,0.5362921993339066,0.8635812092395786,0.8637589133459583
1994,raw,H35,35,1982.4601279725994,958.3611747127812,607.1752558752222,591.4781952320259,0.5165798488502931,0.6937263719416331,0.7016443423571337
1995,raw,H35,35,3136.909766001937,1909.4785675346814,788.7993488870875,587.519317917373,0.3912867407823607,0.7485425441827642,0.8127076129874848
1996,raw,H35,35,1281.0336935745481,1270.6746889035264,968.7296957554105,489.2550541597428,0.008086442006155492,0.2437906195485744,0.6180779189386159
1997,raw,H35,35,1784.130383379305,1165.3551665737684,782.4117704378253,780.1415042536078,0.34682174720522385,0.5614604303997859,0.5627329081320005
1998,raw,H35,35,1012.071902643381,1005.3361987422501,356.38322360071754,354.5954358706015,0.006655361030711626,0.6478676834423546,0.649634146601194
1999,raw,H35,35,1557.5952378980544,1428.7131507146785,1099.5490910706483,612.8347089577609,0.08274427402416806,0.2940726420334533,0.606550730223874
2000,raw,H35,35,2182.6329557172717,2092.580980388758,1312.3248310559227,1036.4319802651166,0.04125841456422086,0.39874231825448747,0.5251460042558932
2001,raw,H35,35,1059.702043642824,855.3780299320214,737.2431123323541,721.3967812685254,0.19281270139710205,0.30429207270563285,0.31924564494689744
2002,raw,H35,35,1635.759890109366,1582.582304523603,652.4584820485453,652.3025733202674,0.03250940795608315,0.6011282059221281,0.6012235186445031
2003,raw,H35,35,1416.0535466998952,1276.7161970510865,1419.3638971339947,982.758723995359,0.09839836210539743,-0.0023377297008395637,0.30598759751305116
2004,raw,H35,35,2015.08335984523,1618.360305509427,1011.1187560648959,592.2660782407945,0.1968767457671199,0.4982248495454026,0.7060835844099849
2005,raw,H35,35,694.2541407911586,592.653337867015,1527.3110907065438,602.9610500357456,0.14634526026501093,-1.1999308336368717,0.13149808606309088
2006,raw,H35,35,4572.602611228093,1879.4339340083486,648.5598203442028,616.0398935083562,0.5889793857455772,0.8581639658010836,0.865275873307761
2007,raw,H35,35,2155.2768372974692,1173.295359146748,1426.7777659918415,542.8181507588035,0.4556173300605044,0.33800719179031424,0.7481445810741183
2008,raw,H35,35,1388.262678793602,1342.1615726166588,1535.8932396809682,979.0962829173482,0.033207768876279964,-0.10634195036897265,0.2947326915334343
2009,raw,H35,35,3782.4801585293976,1083.7388983283809,479.48263308364454,479.0195040180967,0.7134845781320024,0.8732359158573711,0.8733583564376617
2010,raw,H35,35,2531.789469536197,1343.4083715906884,1137.3924578631709,808.1275101390202,0.4693838536911248,0.5507555144103148,0.6808077765300673
2011,raw,H35,35,3259.4762784870245,419.8066455366016,620.5160190939596,618.9631358740567,0.8712042642226356,0.8096270792981537,0.8101035003815504
2012,raw,H35,35,1630.6193871861371,1468.7727716480179,656.5649541556661,459.85604159876516,0.0992546861701481,0.5973524175444392,0.7179868918446313
