year,mode,domain,pseudo_event_id,pseudo_residual_norm,pseudo_residual_fraction,pseudo_target_norm
1979,anomaly,object_domain_spatial,PSEUDO_22_30,1921.1508863208674,0.8569503079515928,2075.313235819088
1980,anomaly,object_domain_spatial,PSEUDO_22_30,618.9192828440157,0.7744247570148844,703.3061248608111
1981,anomaly,object_domain_spatial,PSEUDO_22_30,1448.5587511384767,0.49828424146344896,2052.095357582684
1982,anomaly,object_domain_spatial,PSEUDO_22_30,1739.143073107771,0.9664829448425996,1769.0422856497
1983,anomaly,object_domain_spatial,PSEUDO_22_30,421.72732099233946,0.9142469752071819,441.0623336602467
1984,anomaly,object_domain_spatial,PSEUDO_22_30,630.5282504225911,0.880976455995582,671.7727741070534
1985,anomaly,object_domain_spatial,PSEUDO_22_30,1478.64987981339,0.9765333405942428,1496.3108137985041
1986,anomaly,object_domain_spatial,PSEUDO_22_30,759.5423133029826,0.9922908276366725,762.4870718270522
1987,anomaly,object_domain_spatial,PSEUDO_22_30,543.0449126069406,0.16240634901749904,1347.5169843411288
1988,anomaly,object_domain_spatial,PSEUDO_22_30,435.9308171976307,0.022757134341646466,2889.7401028769905
1989,anomaly,object_domain_spatial,PSEUDO_22_30,860.0732263733797,0.6496190958884744,1067.102253759598
1990,anomaly,object_domain_spatial,PSEUDO_22_30,1717.3451412596876,0.97910249853669,1735.5754818362986
1991,anomaly,object_domain_spatial,PSEUDO_22_30,1970.5495011429307,0.4117754685592687,3070.8394697988324
1992,anomaly,object_domain_spatial,PSEUDO_22_30,1205.7764750225626,0.5847719247184363,1576.7888839136392
1993,anomaly,object_domain_spatial,PSEUDO_22_30,788.2399575500596,0.8907852143443603,835.1643477336445
1994,anomaly,object_domain_spatial,PSEUDO_22_30,600.664183182328,0.6093021427110247,769.5119767410465
1995,anomaly,object_domain_spatial,PSEUDO_22_30,795.1274895125708,0.9991584806620424,795.4622583925418
1996,anomaly,object_domain_spatial,PSEUDO_22_30,2049.8615899848223,0.8505824823094464,2222.6256433142903
1997,anomaly,object_domain_spatial,PSEUDO_22_30,1730.4292749309952,0.8625494708562448,1863.2101750428558
1998,anomaly,object_domain_spatial,PSEUDO_22_30,994.0250888095487,0.9965574358371463,995.7405167593076
1999,anomaly,object_domain_spatial,PSEUDO_22_30,360.3436310053015,0.16153413165917913,896.5710255637514
2000,anomaly,object_domain_spatial,PSEUDO_22_30,905.9231421819097,0.9042085995354995,952.7019134600936
2001,anomaly,object_domain_spatial,PSEUDO_22_30,526.8768679434444,0.9244353721897467,547.9877552256462
2002,anomaly,object_domain_spatial,PSEUDO_22_30,966.9904230238079,0.7921541084508195,1086.4689855022184
2003,anomaly,object_domain_spatial,PSEUDO_22_30,2031.4775621919703,0.9990875409445426,2032.405016987439
2004,anomaly,object_domain_spatial,PSEUDO_22_30,946.0048147925132,0.39868204003298585,1498.2352502464323
2005,anomaly,object_domain_spatial,PSEUDO_22_30,1118.261877345649,0.8652993481727889,1202.1546242420266
2006,anomaly,object_domain_spatial,PSEUDO_22_30,1056.541877812026,0.353226591278556,1777.7063370905762
2007,anomaly,object_domain_spatial,PSEUDO_22_30,407.1411799751642,0.09190448847149293,1343.0020323799106
2008,anomaly,object_domain_spatial,PSEUDO_22_30,859.8825717545313,0.9805082310370499,868.3874228560551
2009,anomaly,object_domain_spatial,PSEUDO_22_30,1031.6389386094495,0.6869899887433452,1244.6651274482588
2010,anomaly,object_domain_spatial,PSEUDO_22_30,838.9156131145206,0.5550137496750198,1126.0726384288712
2011,anomaly,object_domain_spatial,PSEUDO_22_30,1763.393142294493,0.40382061255292745,2774.9483619941407
2012,anomaly,object_domain_spatial,PSEUDO_22_30,433.2377767206954,0.10889691218895942,1312.860360556069
2013,anomaly,object_domain_spatial,PSEUDO_22_30,1329.6674086099724,0.39394576328708436,2118.4821391251753
2014,anomaly,object_domain_spatial,PSEUDO_22_30,864.0600908772059,0.2552271447823635,1710.3323703665549
2015,anomaly,object_domain_spatial,PSEUDO_22_30,831.3780874512018,0.8501309096601686,901.6867133284611
2016,anomaly,object_domain_spatial,PSEUDO_22_30,1200.8168067095849,0.7439070173398438,1392.250652044469
2017,anomaly,object_domain_spatial,PSEUDO_22_30,724.402235429868,0.2122100894195717,1572.5221361257327
2018,anomaly,object_domain_spatial,PSEUDO_22_30,1550.006727590691,0.5815399765338879,2032.5619717159113
