year,mode,domain,alpha_h18_template,target_norm,fitted_norm,residual_norm,residual_fraction,explained_fraction,cosine_target_template,corr_target_template
1979,anomaly,object_domain_spatial,5.809142311550575,671.1620953087406,77.01092185517555,666.7292374676808,0.986834122746039,0.013165877253961011,0.11474265664503869,0.37235649711835056
1980,anomaly,object_domain_spatial,1.5786853644398506,1011.4875027349223,76.37524482255145,1008.5999158076628,0.9942985648587356,0.0057014351412644215,0.07550784820973404,0.18611112680252315
1981,anomaly,object_domain_spatial,-52.95809480753022,2071.731713273255,927.5834914921049,1852.4743339904746,0.7995347992306466,0.20046520076935337,-0.4477334036782973,-0.4514781646240541
1982,anomaly,object_domain_spatial,-97.07150467531275,3074.9496331841924,2142.363005479892,2205.8096017949424,0.5145884481334747,0.4854115518665253,-0.6967148282235172,-0.5817357879878877
1983,anomaly,object_domain_spatial,29.89905488617896,2947.3445896316666,510.9010286699258,2902.7263510250273,0.9699522660496972,0.030047733950302802,0.173342822032823,-0.25779962814705815
1984,anomaly,object_domain_spatial,27.461052807403373,954.7580841323877,634.1227277726734,713.7586183986091,0.5588767488109634,0.4411232511890366,0.6641711008385088,0.4813521284118649
1985,anomaly,object_domain_spatial,70.81881542988366,1867.7893440029902,1389.4450992374625,1248.2304874405681,0.4466154933238213,0.5533845066761787,0.7438981830036815,0.6731108803500692
1986,anomaly,object_domain_spatial,-6.064860647712019,1930.7761331537383,164.87924301074202,1923.7232939225712,0.9927076395634336,0.007292360436566447,-0.08539531858694956,0.4360147574804584
1987,anomaly,object_domain_spatial,-18.403636825548787,919.0935412881047,666.7295087780778,632.6173407060954,0.4737647627205316,0.5262352372794684,-0.7254207312170424,-0.4968727779532521
1988,anomaly,object_domain_spatial,-6.750410524313488,1010.7181603665254,463.02330562218185,898.4211808196648,0.7901323187586031,0.20986768124139688,-0.45811317514496014,-0.5688736209418692
1989,anomaly,object_domain_spatial,25.61771829118846,1352.2124159269877,781.4209414026781,1103.5668217758514,0.6660509187734124,0.3339490812265876,0.5778832764724965,-0.057605775006225816
1990,anomaly,object_domain_spatial,-0.33657822576263646,1341.5847897872109,16.1304067663831,1341.487815138828,0.999855437920465,0.00014456207953494893,-0.012023397171148273,0.11891973712217992
1991,anomaly,object_domain_spatial,66.90844853384428,3276.0765110087523,2624.0893955165566,1961.3342780670591,0.3584224178785559,0.6415775821214441,0.8009853819648923,0.6562226535698558
1992,anomaly,object_domain_spatial,-12.372848828320297,2142.5966569167576,1113.8547635271284,1830.3136343257652,0.7297434134779895,0.27025658652201046,-0.519862084135793,-0.6855155918229872
1993,anomaly,object_domain_spatial,19.026658645557983,742.5391452366216,514.5952914038131,535.3093201820394,0.5197217620874072,0.48027823791259283,0.6930210948539682,0.7554875206741761
1994,anomaly,object_domain_spatial,13.511544822292935,821.5700633918171,525.9965712313026,631.1140753576549,0.5901012306061141,0.4098987693938859,0.6402333710405028,0.577835890159328
1995,anomaly,object_domain_spatial,135.00501079261267,2837.9719642646764,1320.0197031544376,2512.2963306975503,0.7836561142760531,0.21634388572394692,0.4651278165450296,0.500340506718426
1996,anomaly,object_domain_spatial,24.33276447024318,1756.9708966605053,961.9443545505843,1470.241405504647,0.7002420120354494,0.29975798796455055,0.5475015871799374,0.8568060663483551
1997,anomaly,object_domain_spatial,-17.310055329369995,1127.1301122161283,405.1119555570571,1051.8111015429902,0.8708179966263121,0.1291820033736879,-0.3594189802635461,-0.4097478104791035
