year,mode,domain,H35_score,H35_score_share,is_top_fraction_year,H35_residual_norm,H35_residual_fraction
1979,anomaly,object_domain_spatial,671.1620953087406,0.009801806533050178,False,666.7292374676808,0.986834122746039
1980,anomaly,object_domain_spatial,1011.4875027349223,0.014771997527430471,False,1008.5999158076628,0.9942985648587356
1981,anomaly,object_domain_spatial,2071.731713273255,0.030256049296925443,False,1852.4743339904746,0.7995347992306466
1982,anomaly,object_domain_spatial,3074.9496331841924,0.04490727592338236,True,2205.8096017949424,0.5145884481334747
1983,anomaly,object_domain_spatial,2947.3445896316666,0.04304370234214795,True,2902.7263510250273,0.9699522660496972
1984,anomaly,object_domain_spatial,954.7580841323877,0.01394350797213359,False,713.7586183986091,0.5588767488109634
1985,anomaly,object_domain_spatial,1867.7893440029902,0.02727762774801563,False,1248.2304874405681,0.4466154933238213
1986,anomaly,object_domain_spatial,1930.7761331537383,0.028197501390625997,False,1923.7232939225712,0.9927076395634336
1987,anomaly,object_domain_spatial,919.0935412881047,0.013422654736390989,False,632.6173407060954,0.4737647627205316
1988,anomaly,object_domain_spatial,1010.7181603665254,0.014760761873472337,False,898.4211808196648,0.7901323187586031
1989,anomaly,object_domain_spatial,1352.2124159269877,0.01974802299645318,False,1103.5668217758514,0.6660509187734124
1990,anomaly,object_domain_spatial,1341.5847897872109,0.01959281468529288,False,1341.487815138828,0.999855437920465
1991,anomaly,object_domain_spatial,3276.0765110087523,0.04784457938377205,True,1961.3342780670591,0.3584224178785559
1992,anomaly,object_domain_spatial,2142.5966569167576,0.03129097733059157,True,1830.3136343257652,0.7297434134779895
1993,anomaly,object_domain_spatial,742.5391452366216,0.010844213485384276,False,535.3093201820394,0.5197217620874072
1994,anomaly,object_domain_spatial,821.5700633918171,0.01199839930025841,False,631.1140753576549,0.5901012306061141
1995,anomaly,object_domain_spatial,2837.9719642646764,0.041446399214703215,True,2512.2963306975503,0.7836561142760531
1996,anomaly,object_domain_spatial,1756.9708966605053,0.02565920950190718,False,1470.241405504647,0.7002420120354494
1997,anomaly,object_domain_spatial,1127.1301122161283,0.01646086895362511,False,1051.8111015429902,0.8708179966263121
1998,anomaly,object_domain_spatial,940.4685402456565,0.013734820166904008,False,744.8253504903564,0.6272206588623548
1999,anomaly,object_domain_spatial,2098.672333345787,0.030649496345972357,True,2021.8155184383502,0.9280978716427416
2000,anomaly,object_domain_spatial,2070.399919530302,0.030236599472953568,False,1853.9395281404893,0.801830633470319
2001,anomaly,object_domain_spatial,1000.5040737086733,0.014611592988590631,False,984.7146956574165,0.9686862072118858
2002,anomaly,object_domain_spatial,1570.6045706030623,0.022937472554813803,False,1332.0501478521333,0.7192956539265076
2003,anomaly,object_domain_spatial,1388.3269956406386,0.020275448674765346,False,1217.2238849671821,0.7687009087026283
2004,anomaly,object_domain_spatial,993.4030694011559,0.0145078882786567,False,991.9603169684409,0.9970974425218376
2005,anomaly,object_domain_spatial,2144.968599366135,0.03132561772694118,True,1129.6622693431743,0.27736737059836664
2006,anomaly,object_domain_spatial,1903.6637494806523,0.027801545866214014,False,629.8041069482318,0.10945371251855378
2007,anomaly,object_domain_spatial,1589.6392082450463,0.023215458807162602,False,1269.8335561096335,0.6381113459324915
2008,anomaly,object_domain_spatial,2281.030597513712,0.03331269862984779,True,1217.5925379794296,0.28493233290666586
2009,anomaly,object_domain_spatial,1324.1981388462407,0.019338896012036057,False,1210.7443067527824,0.8359858465993733
2010,anomaly,object_domain_spatial,920.0621124639412,0.013436799973950435,False,781.7670949373154,0.7219722069372381
2011,anomaly,object_domain_spatial,1011.6722600987944,0.01477469576672153,False,620.2960087167291,0.3759397858472071
2012,anomaly,object_domain_spatial,1036.3350047844094,0.015134876196564201,False,604.6929666590951,0.34046266863456415
2013,anomaly,object_domain_spatial,1672.1091892056704,0.024419869490975903,False,1625.3027506139597,0.9447986706087999
2014,anomaly,object_domain_spatial,943.0596028879074,0.013772660645250262,False,808.2924113064618,0.7346131858780072
2015,anomaly,object_domain_spatial,1665.363008602707,0.024321346708522217,False,1663.414780669979,0.9976616649298904
2016,anomaly,object_domain_spatial,924.8109913292865,0.013506153699693236,False,922.3754881696926,0.9947399063896302
2017,anomaly,object_domain_spatial,1223.6721117374136,0.017870790652475165,False,1197.4254870072964,0.957561929083842
2018,anomaly,object_domain_spatial,997.2495751362478,0.01456406353841462,False,689.573505901251,0.4781381692215336
2019,anomaly,object_domain_spatial,800.7955193681569,0.011695003052532918,False,800.7717825930847,0.9999407178918928
2020,anomaly,object_domain_spatial,836.2868708280699,0.01221332696122524,False,631.3818257393029,0.5699983465137333
