window_id,object,n_raw_features,n_all_nan_features,n_partial_nan_features,n_zero_variance_features,n_kept_features,kept_feature_fraction,partial_nan_max_fraction,all_nan_day_min,all_nan_day_max,nan_warning_status,alignment_warning
W045,P,975,52,0,0,923,0.9466666666666667,0.0,0.0,3.0,boundary_all_nan_features_dropped,none
W045,V,825,44,0,0,781,0.9466666666666667,0.0,0.0,3.0,boundary_all_nan_features_dropped,none
W045,H,825,44,0,0,781,0.9466666666666667,0.0,0.0,3.0,boundary_all_nan_features_dropped,none
W045,Je,825,44,0,0,781,0.9466666666666667,0.0,0.0,3.0,boundary_all_nan_features_dropped,none
W045,Jw,825,44,0,0,781,0.9466666666666667,0.0,0.0,3.0,boundary_all_nan_features_dropped,none
W081,P,767,0,0,0,767,1.0,0.0,,,no_nan_issue,none
W081,V,649,0,0,0,649,1.0,0.0,,,no_nan_issue,none
W081,H,649,0,0,0,649,1.0,0.0,,,no_nan_issue,none
W081,Je,649,0,0,0,649,1.0,0.0,,,no_nan_issue,none
W081,Jw,649,0,0,0,649,1.0,0.0,,,no_nan_issue,none
W113,P,871,0,0,0,871,1.0,0.0,,,no_nan_issue,none
W113,V,737,0,0,0,737,1.0,0.0,,,no_nan_issue,none
W113,H,737,0,0,0,737,1.0,0.0,,,no_nan_issue,none
W113,Je,737,0,0,0,737,1.0,0.0,,,no_nan_issue,none
W113,Jw,737,0,0,0,737,1.0,0.0,,,no_nan_issue,none
W160,P,832,52,0,0,780,0.9375,0.0,179.0,182.0,boundary_all_nan_features_dropped,none
W160,V,704,44,0,0,660,0.9375,0.0,179.0,182.0,boundary_all_nan_features_dropped,none
W160,H,704,44,0,0,660,0.9375,0.0,179.0,182.0,boundary_all_nan_features_dropped,none
W160,Je,704,44,0,0,660,0.9375,0.0,179.0,182.0,boundary_all_nan_features_dropped,none
W160,Jw,704,44,0,0,660,0.9375,0.0,179.0,182.0,boundary_all_nan_features_dropped,none
