window_id,target_name,observed_abs_corr,signflip_n,signflip_corr_q90,signflip_corr_q95,signflip_corr_q99,signflip_percentile,signflip_level
W045,W045_Je_vs_Jw_delta_peak,0.6215023015394344,300,0.17707564554187105,0.18264577145810157,0.19651950123749617,1.0,direction_specific_99
W045,W045_P_vs_Jw_delta_peak,0.6615313265229796,300,0.1732807878553764,0.1820009883352076,0.19622345061239044,1.0,direction_specific_99
W045,W045_V_vs_Jw_delta_peak,0.6298003314712044,300,0.17723838542458353,0.1843289883752027,0.19695480846428703,1.0,direction_specific_99
W081,W081_P_vs_V_delta_peak,0.4704035328869039,300,0.17388238435560147,0.17980040304659575,0.19600493322979654,1.0,direction_specific_99
W081,W081_V_vs_Jw_delta_peak,0.6153032357308751,300,0.17236574033884017,0.18044726608852185,0.19104517864799322,1.0,direction_specific_99
W081,W081_H_vs_Jw_delta_peak,0.6295171312138244,300,0.16647674173138297,0.17415214586696495,0.191502122616432,1.0,direction_specific_99
W113,W113_V_vs_Je_delta_peak,0.6835188060330579,300,0.17831823209160558,0.1845173656895285,0.19784852560321214,1.0,direction_specific_99
W113,W113_H_vs_Je_delta_peak,0.6687713353032361,300,0.17739256165141712,0.18282272953737413,0.19605193202499582,1.0,direction_specific_99
W113,W113_P_vs_V_delta_peak,0.6510453653922388,300,0.17786273566165897,0.18573447559138512,0.2035460679870915,1.0,direction_specific_99
W113,W113_Jw_vs_H_delta_peak,0.5155881740062875,300,0.1748524507067681,0.18211623142858235,0.19817905407697495,1.0,direction_specific_99
W113,W113_Jw_vs_V_delta_peak,0.5674206187582929,300,0.1767451279529487,0.18502470716566716,0.1975515682126791,1.0,direction_specific_99
W160,W160_V_vs_Je_delta_peak,0.4920794633878059,300,0.1794137113238474,0.18799389970061126,0.19704777345632632,1.0,direction_specific_99
W160,W160_H_vs_Jw_delta_peak,0.4402530532276265,300,0.17361035580815634,0.181252313391887,0.19432394044183138,1.0,direction_specific_99
W160,W160_P_vs_V_delta_peak,0.29343182933158607,300,0.17862539457919882,0.18758602963669654,0.19437653872918018,1.0,direction_specific_99
W160,W160_Jw_vs_V_delta_peak,0.42774163892251665,300,0.17519923689030134,0.18351762981334116,0.19420899256964164,1.0,direction_specific_99
