window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W045,W045_Je_vs_Jw_delta_peak,H,0.2436890846066622,0.9870498724668108,0.012950127533189224,0.4657793604640173,0.5342206395359828,8.0,68.0,0.0,10.0,1
W045,W045_Je_vs_Jw_delta_peak,Je,0.1892981620565729,0.4366724126904498,0.5633275873095501,0.3055963378737303,0.6944036621262696,12.0,66.0,0.0,10.0,3
W045,W045_Je_vs_Jw_delta_peak,Jw,0.18675446297325626,0.5456868453358459,0.45431315466415423,0.3353086667807789,0.664691333219221,4.0,74.0,0.0,10.0,5
W045,W045_Je_vs_Jw_delta_peak,P,0.18693748830025642,0.44270550040842904,0.557294499591571,0.47661428763458175,0.5233857123654183,4.0,74.0,1.0,12.0,4
W045,W045_Je_vs_Jw_delta_peak,V,0.1933208020632522,0.4610477590901035,0.5389522409098965,0.546640098912373,0.4533599010876271,4.0,74.0,0.0,10.0,2
W045,W045_P_vs_Jw_delta_peak,H,0.21405258364866767,0.9164495212915124,0.08355047870848764,0.4576559353784355,0.5423440646215644,8.0,66.0,1.0,10.0,1
W045,W045_P_vs_Jw_delta_peak,Je,0.19517058592528924,0.49141902054969533,0.5085809794503048,0.3068256422712137,0.6931743577287863,7.0,66.0,0.0,10.0,4
W045,W045_P_vs_Jw_delta_peak,Jw,0.1881984515129303,0.588542462633699,0.41145753736630086,0.3950118598489315,0.6049881401510684,23.0,74.0,0.0,10.0,5
W045,W045_P_vs_Jw_delta_peak,P,0.19560928944542363,0.43831463855529174,0.5616853614447083,0.46770389272488444,0.5322961072751156,4.0,74.0,0.0,12.0,3
W045,W045_P_vs_Jw_delta_peak,V,0.20696908946768908,0.42976765979950116,0.570232340200499,0.5078461361909244,0.4921538638090755,4.0,61.0,0.0,10.0,2
W045,W045_V_vs_Jw_delta_peak,H,0.20959090145481302,0.888153118193275,0.1118468818067251,0.45140545579741337,0.5485945442025868,8.0,66.0,0.0,10.0,2
W045,W045_V_vs_Jw_delta_peak,Je,0.1926070291979258,0.47111954463773875,0.5288804553622614,0.33193307353561036,0.6680669264643897,12.0,66.0,0.0,10.0,4
W045,W045_V_vs_Jw_delta_peak,Jw,0.19954814184658012,0.5625732282716323,0.43742677172836764,0.35611778159830243,0.6438822184016976,24.0,74.0,0.0,10.0,3
W045,W045_V_vs_Jw_delta_peak,P,0.18760333881478047,0.4230372894796252,0.5769627105203745,0.4642466200531327,0.5357533799468671,4.0,74.0,0.0,12.0,5
W045,W045_V_vs_Jw_delta_peak,V,0.2106505886859005,0.4077557618242255,0.5922442381757744,0.4995814029616169,0.500418597038383,4.0,61.0,0.0,10.0,1
