window_id,target_name,top1_year,top1_fraction_of_total_abs_leverage,top3_fraction_of_total_abs_leverage,top5_fraction_of_total_abs_leverage,extreme_year_dominated_flag
W045,W045_Je_vs_Jw_delta_peak,1991,0.07035322413660594,0.1937428135261682,0.29804784100618925,False
W045,W045_P_vs_Jw_delta_peak,1991,0.08500106270580299,0.22292410432382648,0.3305384684099149,False
W045,W045_V_vs_Jw_delta_peak,1982,0.08326203337319711,0.22086426788451818,0.33676589801831597,False
W081,W081_P_vs_V_delta_peak,1984,0.07413212067669284,0.188556601207001,0.281216449849198,False
W081,W081_V_vs_Jw_delta_peak,2021,0.07171072275025393,0.1720030172333741,0.2639672047304276,False
W081,W081_H_vs_Jw_delta_peak,2021,0.09231392650792919,0.22005195736197436,0.3173617840597478,False
W113,W113_V_vs_Je_delta_peak,2002,0.0553842748271699,0.1585864558287471,0.25499776453163664,False
W113,W113_H_vs_Je_delta_peak,1983,0.05683834929254984,0.16285088463629385,0.2530317237967307,False
W113,W113_P_vs_V_delta_peak,2022,0.06231427953968339,0.17765381406042705,0.28026080405328335,False
W113,W113_Jw_vs_H_delta_peak,1998,0.06361091576000771,0.17677742691187445,0.2759001089369683,False
W113,W113_Jw_vs_V_delta_peak,1979,0.05361563936850906,0.14661418687781608,0.2321741367186572,False
W160,W160_V_vs_Je_delta_peak,1986,0.05285648384198898,0.14621050870959823,0.2339262928162338,False
W160,W160_H_vs_Jw_delta_peak,2022,0.0804642315900164,0.21302771162589304,0.30841400426808524,False
W160,W160_P_vs_V_delta_peak,1986,0.06409904105590636,0.16835555682117503,0.2593000491218577,False
W160,W160_Jw_vs_V_delta_peak,2013,0.052461443213469086,0.14869138186768968,0.2429842380059649,False
