window_id,object,cluster_id,day_min,day_max,day_median,n_configs,config_fraction,inside_system_fraction,outside_system_fraction,max_score_fraction,narrow_search_fraction,baseline_search_fraction,wide_search_fraction,boundary_risk_fraction,profile_distinctness_status,distance_to_anchor_median,distance_to_system_window_median,candidate_legality_status,recommended_use,note
W045,H,C01_017_019,17,19,17.5,12,0.1666666666666666,0.0,1.0,1.0,0.0,0.5,0.5,0.0,NOT_DISTINCT,27.5,24.5,NOT_ADMISSIBLE_FOR_W045_INTERPRETATION,exclude_from_W045_subpeak_and_order_interpretation,"Cluster legality is a W045 interpretation admissibility screen, not a final physical judgment."
W045,H,C02_030_048,30,48,38.0,60,0.8333333333333334,0.25,0.75,0.1,0.4,0.3,0.3,0.08333333333333333,NOT_DISTINCT,7.0,4.0,TRANSITION_EDGE_CANDIDATE,weak_admissible_only,"Cluster legality is a W045 interpretation admissibility screen, not a final physical judgment."
