window_id,target,record_type,v1_primary_cause,implementation_status,admissibility_summary,filtered_order_summary,axis_shift_summary,h_candidate_legality_summary,distinctness_revision_summary,v1_1_primary_cause,v1_1_secondary_cause,recommended_next_step,confidence,interpretation_level
W045,H,object,SEARCH_WINDOW_MIXING,WARN,"{""NOT_ADMISSIBLE_FOR_W045_INTERPRETATION"": 1, ""TRANSITION_EDGE_CANDIDATE"": 1}",NA_OBJECT_LEVEL,NA_H_OBJECT_LEVEL,"{""NOT_ADMISSIBLE_FOR_W045_INTERPRETATION"": 1, ""TRANSITION_EDGE_CANDIDATE"": 1}",NOT_ADMISSIBLE_PAIR,SEARCH_WINDOW_MIXING_OR_OUTER_CANDIDATE,RULE_SEMANTIC_DIFFERENCE,Exclude non-admissible H clusters from W045 subpeak/order interpretation; audit H core-window candidate only.,0.8,Level_1_rule_search_sensitivity
W045,Jw,object,STATISTICAL_MULTICLUSTER_NOT_YET_PHYSICAL,WARN,"{""CORE_ADMISSIBLE"": 51, ""EXCLUDE_FROM_ORDER"": 15, ""SEARCH_MIXING_RISK"": 3, ""WEAK_ADMISSIBLE"": 3}",NA_OBJECT_LEVEL,"{""axis_shift_statuses"": [""AXIS_SHIFT_CLEAR""], ""revision_statuses"": [""AXIS_DISTINCT_ONLY""]}",NA_JW_OBJECT_LEVEL,AXIS_DISTINCT_ONLY,AXIS_SHIFT_CANDIDATE_WITHOUT_FULL_PHYSICAL_PROOF,RULE_SEMANTIC_DIFFERENCE,Do a narrow Jw-only axis/core-latitude follow-up before any full subpeak physical classification.,0.7,Level_3_single_physical_dimension_candidate
W045,Jw-H,pair,ORDER_RELATIVELY_STABLE,WARN;WARN,see_config_admissibility_audit,"{""all"": ""ORDER_STABLE_JW_AFTER_H"", ""core"": ""NEAR_TIE_DOMINATED"", ""strict"": ""NEAR_TIE_DOMINATED"", ""all_frac_after"": 0.8611111111111112, ""core_frac_after"": 0.2857142857142857, ""strict_frac_after"": 0.2857142857142857}",NA_PAIR_LEVEL,"{""NOT_ADMISSIBLE_FOR_W045_INTERPRETATION"": 1, ""TRANSITION_EDGE_CANDIDATE"": 1}",NA_PAIR_LEVEL,ORDER_INFLATED_BY_INADMISSIBLE_OR_RULE_LOCKED_CONFIGS,FILTER_SENSITIVE_ORDER,Do not use all-config Jw-H order as result; report filtered order as mixed/near-tie/filter-sensitive.,0.8,Level_1_filter_sensitive_order
