event_kind,event_name,H_event_status,Jw_event_status,H_day_observed,Jw_day_observed,observed_delta_Jw_minus_H,H_day_median,Jw_day_median,valid_bootstrap_pairs,delta_median,delta_q05,delta_q95,delta_q025,delta_q975,P_H_leads,P_Jw_leads,sync_equivalence_pass,final_decision,decision_level
state,departure_from_pre,candidate_non_durable_after_pre,candidate_non_durable_after_pre,38.0,38.0,0.0,38.0,38.0,1000,0.0,0.0,1.0,0.0,1.0,0.014,0.008,True,synchronous_equivalent,method_unclosed
state,durable_departure_from_pre_3d,confirmed_event,confirmed_event,38.0,38.0,0.0,38.0,38.0,1000,0.0,0.0,1.0,0.0,1.0,0.014,0.01,True,synchronous_equivalent,hard_decision
state,post_dominance_day,confirmed_event,confirmed_event,48.0,46.0,-2.0,49.0,46.0,1000,-2.0,-6.0,6.0,-6.024999999999999,7.0,0.202,0.555,False,unresolved,method_unclosed
state,durable_post_dominance_2d,confirmed_event,confirmed_event,48.0,46.0,-2.0,49.0,46.0,1000,-2.0,-6.0,6.0,-6.024999999999999,7.0,0.186,0.57,False,unresolved,method_unclosed
state,durable_post_dominance_3d,confirmed_event,confirmed_event,48.0,46.0,-2.0,49.0,46.0,1000,-2.0,-6.0,5.0499999999999545,-6.024999999999999,7.0,0.178,0.578,False,unresolved,method_unclosed
state,durable_post_dominance_4d,confirmed_event,confirmed_event,48.0,46.0,-2.0,49.0,46.0,1000,-2.0,-6.0,5.0,-6.024999999999999,7.0,0.171,0.581,False,unresolved,method_unclosed
