field,day,D_pre,D_post,P_dist,R_pre,R_post,R_diff,P_proj_reference
H,30,5.066900082905719,21.406293967050665,0.19139738383453836,0.9997370171217785,0.9935199877139254,-0.006217029407853181,-0.27932292258956154
H,31,3.60090859685461,20.068346123545787,0.15213443090588769,0.9998482300936773,0.9930859636329575,-0.006762266460719757,-0.2022403390967924
H,32,2.3323904566837377,18.816002119150124,0.11028689051994174,0.9998934088600594,0.9932428080481249,-0.006650600811934471,-0.12806544979530293
H,33,1.0506515216744523,17.551414681595393,0.056480366761073576,0.9999534427816562,0.993387602848242,-0.006565839933414197,-0.05301941917209566
H,34,0.5660826787696133,16.206180471027924,0.03375112074702015,0.9999930491306827,0.993460536337373,-0.006532512793309686,0.02738631032387676
H,35,2.1388693732428745,14.684713929538791,0.1271351848621469,0.9999421752115382,0.9936935443884347,-0.0062486308231034515,0.11972868149353018
H,36,3.8903578008058832,13.181095710853477,0.22788673490214936,0.9997280823575054,0.9934227283543521,-0.006305354003153352,0.21424366054582122
H,37,5.468521615286431,11.840488033205869,0.31593497989428676,0.99939694235853,0.993336669594141,-0.00606027276438903,0.3012894782905205
H,38,6.9602055508089125,10.461235126048413,0.39951951620481435,0.9990553749254996,0.993875743078177,-0.005179631847322508,0.390110800123
H,39,8.103112285463574,9.423563750570535,0.4623302369943916,0.9985863586139744,0.9945126014081767,-0.004073757205797723,0.45830373374260547
H,40,8.920720055132053,8.923658992176936,0.4999176509018024,0.9978677574924926,0.9943165251845469,-0.0035512323079456287,0.4999055141252115
H,41,9.287035624316086,8.997822789232094,0.5079085336222703,0.997031354358012,0.993643572074787,-0.003387782283225005,0.5095276178597373
H,42,9.58393505820205,8.848935069090906,0.5199372095619241,0.9965384102440252,0.9938166155037826,-0.002721794740242589,0.5244093076466873
H,43,9.820809134383417,8.697923992399604,0.5303175474881655,0.9962385975261218,0.9939175278117137,-0.0023210697144080417,0.5374646581077257
H,44,9.73800081602688,8.75984541059387,0.5264397106952191,0.9961380098101087,0.9941909113304676,-0.0019470984796411406,0.5325989933500594
H,45,9.248110878619878,8.853832376254012,0.5108905021083775,0.996385935349795,0.9954498263349372,-0.0009361090148578555,0.512858889451946
H,46,8.884430538309855,8.763698056861077,0.5034205462861886,0.9967963636046563,0.9966569772121966,-0.00013938639245969497,0.5038388217948457
H,47,8.629824771169686,8.667410555023578,0.49891353204297983,0.9971882632084731,0.9974362621408518,0.0002479989323787013,0.4988286802363925
H,48,8.723408188325003,8.380548403068355,0.5100228208433707,0.9972379895458791,0.9980153370653903,0.0007773475195111956,0.5105654573138799
H,49,9.491494814816564,7.470464006099589,0.559575395449752,0.9969235510839839,0.9987250670104663,0.0018015159264823666,0.561762391476392
H,50,10.967319226372242,5.859224168138779,0.6517868209313795,0.9964966266073889,0.999269667845103,0.0027730412377140468,0.6548563596719005
H,51,12.22044639088901,4.5485380684183925,0.7287529200437783,0.9960159485039075,0.9995607561157203,0.0035448076118127503,0.7317850026173657
H,52,13.070771021104148,3.7113707532705775,0.778849994049174,0.9951769413420991,0.9997933337632302,0.004616392421131099,0.7829896629084704
H,53,14.002364207962666,2.8221673677498447,0.8322587850336436,0.9944079116346719,0.9998824192131476,0.005474507578475674,0.8388969003813589
H,54,14.93244743201787,1.905153660279441,0.8868512414662804,0.9939726330233553,0.9999098548862256,0.005937221862870379,0.8951933138816759
H,55,15.792072297778166,1.1131982543525778,0.9341508169940368,0.9933196827142047,0.9999186752423436,0.006598992528138892,0.9470849336605295
H,56,16.7151343587363,0.611661429741059,0.9646985260744041,0.9927662881756728,0.9999034600331081,0.007137171857435343,1.0027047278520997
H,57,17.408581265512463,0.8446971777929134,0.9537235362723173,0.9931791243560462,0.9999717253146269,0.006792600958580697,1.0447261529270435
H,58,17.836954063718903,1.3504267274268662,0.9296190166794398,0.9934938589609046,0.9999410025889006,0.006447143627996033,1.0699280695155473
H,59,18.12858181001525,1.730191605909248,0.9128752028299074,0.9934535523253005,0.99983211387282,0.006378561547519479,1.086717176022177
H,60,18.60967230654398,2.2603842059389483,0.8916924731570826,0.9930263114445679,0.9997021985686675,0.006675887124099611,1.1147487257595703
Jw,30,0.9890895666871885,7.674108518310978,0.11417141302586271,0.9688075413567939,0.03131787090965587,-0.937489670447138,-0.13292746192023167
Jw,31,0.6729335045151003,7.383861974991102,0.08352371687066136,0.9819125878934465,0.08377335097718286,-0.8981392369162636,-0.09090545767670717
Jw,32,0.31135629656874114,7.015228890075863,0.042496782421407246,0.9954594677084967,0.17654359410793438,-0.8189158736005623,-0.0367850447952043
