field,P_proj_first_t25,P_proj_durable_t25_3d,P_proj_first_t50,P_proj_durable_t50_3d,P_proj_first_t75,P_proj_durable_t75_3d
H,37.0,37.0,41.0,41.0,52.0,52.0
Jw,41.0,41.0,46.0,46.0,51.0,51.0
