field,departure_from_pre,durable_departure_from_pre_3d,post_dominance_day,durable_post_dominance_2d,durable_post_dominance_3d,durable_post_dominance_4d,status__departure_from_pre,status__durable_departure_from_pre_3d,status__post_dominance_day,status__durable_post_dominance_2d,status__durable_post_dominance_3d,status__durable_post_dominance_4d
H,38.0,38.0,48.0,48.0,48.0,48.0,candidate_non_durable_after_pre,confirmed_event,confirmed_event,confirmed_event,confirmed_event,confirmed_event
Jw,38.0,38.0,46.0,46.0,46.0,46.0,candidate_non_durable_after_pre,confirmed_event,confirmed_event,confirmed_event,confirmed_event,confirmed_event
