variant_id,window,source,target,source_family,target_family,n_pcmci_variables,conditioning_variables,extended_day_start,extended_day_end,elapsed_seconds,status
c1_targeted_no_same_family_controls,S3,V_strength,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,18.65316653251648,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,9.03409457206726,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,13.867860317230225,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,6.670674085617065,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,6.644070386886597,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,7.895495653152466,completed
c1_targeted_no_same_family_controls,S3,V_strength,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,11.460158109664917,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,11.423504114151001,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,9.050709247589111,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,10.924853324890137,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,6.20287013053894,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,6.989336967468262,completed
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,7.1051647663116455,completed
