window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,pair_name,object_A,object_B,n_valid_bootstrap,median_delta_B_minus_A,mean_delta_B_minus_A,q25_delta_B_minus_A,q75_delta_B_minus_A,prob_A_earlier,prob_B_earlier,prob_same_or_near,dominant_order_label,near_day_threshold,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-V,P,V,334,2.0,1.4520958083832336,-1.0,4.0,0.6586826347305389,0.27245508982035926,0.0688622754491018,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-H,P,H,334,-2.0,-1.401197604790419,-4.0,1.0,0.2964071856287425,0.5958083832335329,0.10778443113772455,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-Je,P,Je,334,5.0,4.952095808383233,3.0,8.0,0.8772455089820359,0.10778443113772455,0.014970059880239521,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-Jw,P,Jw,332,-1.0,-0.9608433734939759,-5.0,4.0,0.4066265060240964,0.5271084337349398,0.06626506024096386,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-H,V,H,334,-5.0,-2.8532934131736525,-7.0,-0.25,0.2215568862275449,0.7485029940119761,0.029940119760479042,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-Je,V,Je,334,2.0,3.5,0.0,6.0,0.7335329341317365,0.12874251497005987,0.1377245508982036,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-Jw,V,Jw,332,-3.0,-2.391566265060241,-7.0,3.0,0.3463855421686747,0.6265060240963856,0.02710843373493976,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,H-Je,H,Je,334,6.5,6.3532934131736525,5.0,8.0,0.9550898203592815,0.03592814371257485,0.008982035928143712,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,H-Jw,H,Jw,332,1.0,0.4608433734939759,-3.0,6.0,0.5331325301204819,0.4126506024096386,0.05421686746987952,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,Je-Jw,Je,Jw,332,-6.0,-5.903614457831325,-9.0,-1.0,0.18674698795180722,0.7590361445783133,0.05421686746987952,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-V,P,V,332,3.0,2.2951807228915664,1.0,4.0,0.8012048192771084,0.16265060240963855,0.03614457831325301,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-H,P,H,333,-1.0,0.08708708708708708,-4.0,6.0,0.4144144144144144,0.5465465465465466,0.03903903903903904,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-Je,P,Je,333,3.0,2.081081081081081,1.0,4.0,0.7867867867867868,0.16216216216216217,0.05105105105105105,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-Jw,P,Jw,333,-6.0,-4.258258258258258,-9.0,1.0,0.2672672672672673,0.7027027027027027,0.03003003003003003,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-H,V,H,332,-3.5,-2.1987951807228914,-7.0,3.0,0.40963855421686746,0.5662650602409639,0.024096385542168676,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-Je,V,Je,332,0.0,-0.21686746987951808,-2.0,1.0,0.35542168674698793,0.48493975903614456,0.15963855421686746,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-Jw,V,Jw,332,-8.0,-6.52710843373494,-12.0,-1.0,0.22289156626506024,0.7530120481927711,0.024096385542168676,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,H-Je,H,Je,333,4.0,1.993993993993994,-3.0,6.0,0.5675675675675675,0.3963963963963964,0.036036036036036036,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,H-Jw,H,Jw,333,-5.0,-4.345345345345345,-11.0,1.0,0.2822822822822823,0.6936936936936937,0.024024024024024024,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,Je-Jw,Je,Jw,333,-8.0,-6.33933933933934,-12.0,-2.0,0.2132132132132132,0.7657657657657657,0.021021021021021023,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-V,P,V,333,3.0,1.966966966966967,1.0,4.0,0.7597597597597597,0.1831831831831832,0.057057057057057055,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-H,P,H,333,-3.0,-2.5015015015015014,-4.0,-1.0,0.17717717717717718,0.7627627627627628,0.06006006006006006,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-Je,P,Je,333,4.0,3.3753753753753752,2.0,6.0,0.8498498498498499,0.12612612612612611,0.024024024024024024,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-Jw,P,Jw,333,-2.0,-2.369369369369369,-7.0,3.0,0.33933933933933935,0.6036036036036037,0.057057057057057055,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-H,V,H,333,-6.0,-4.468468468468468,-8.0,-2.0,0.15015015015015015,0.8048048048048048,0.04504504504504504,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-Je,V,Je,333,1.0,1.4084084084084083,-1.0,3.0,0.5495495495495496,0.3003003003003003,0.15015015015015015,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-Jw,V,Jw,333,-5.0,-4.336336336336337,-9.0,1.0,0.2732732732732733,0.7027027027027027,0.024024024024024024,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,H-Je,H,Je,333,7.0,5.876876876876877,5.0,8.0,0.9099099099099099,0.07507507507507508,0.015015015015015015,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,H-Jw,H,Jw,333,0.0,0.13213213213213212,-5.0,6.0,0.4594594594594595,0.48348348348348347,0.057057057057057055,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,Je-Jw,Je,Jw,333,-6.0,-5.744744744744745,-11.0,-1.0,0.22522522522522523,0.7537537537537538,0.021021021021021023,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,high,P-V,P,V,334,3.0,2.1377245508982035,1.0,4.0,0.7544910179640718,0.18562874251497005,0.059880239520958084,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,high,P-H,P,H,334,-2.0,-1.784431137724551,-4.0,0.75,0.25149700598802394,0.655688622754491,0.09281437125748503,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,high,P-Je,P,Je,334,4.0,3.8892215568862274,2.0,6.0,0.8712574850299402,0.09580838323353294,0.03293413173652695,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,high,P-Jw,P,Jw,333,1.0,1.2942942942942943,-3.0,7.0,0.5015015015015015,0.43243243243243246,0.06606606606606606,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,high,V-H,V,H,334,-6.0,-3.9221556886227544,-7.0,-2.0,0.17065868263473055,0.7994011976047904,0.029940119760479042,B_earlier,0.0,strict_99,direction_specific_99,stable,False
