window_id,object_or_pair,target_type,n_usable_or_stronger_years,n_credible_years,n_strict_years,top_influential_years,top_influence_directions,does_year_influence_explain_instability,recommended_next_check
W113,Je,object_peak,39,10,27,1983;1997;2008;2006;2005;1989;1982;1980,push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W113,Jw,object_peak,32,8,21,1979;1983;2000;2017;2008;2009;2011;2006,push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_early_peak;push_early_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W113,P,object_peak,33,3,23,1981;2008;1984;1992;1991;1996;2005;2004,push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_early_peak;push_early_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W113,V,object_peak,36,7,27,1989;1991;1992;1988;2019;2021;2022;2011,push_late_peak;push_late_peak;push_late_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W113,H-Je,pairwise_order,22,8,10,2009;1989;2014;1987;1983;2021;2010;1985,push_Je_earlier;reduce_H_earlier;push_Je_earlier;reduce_H_earlier;reduce_Je_earlier;push_H_earlier;push_Je_earlier;push_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,H-Jw,pairwise_order,15,5,4,2018;2011;2014;2017;2000;1996;1986;1998,push_Jw_earlier;push_Jw_earlier;reduce_H_earlier;push_Jw_earlier;push_Jw_earlier;push_Jw_earlier;push_Jw_earlier;push_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,Je-Jw,pairwise_order,23,8,11,2006;2000;1998;1986;2017;2016;2005;1982,reduce_Je_earlier;reduce_Je_earlier;push_Je_earlier;reduce_Je_earlier;push_Jw_earlier;reduce_Jw_earlier;reduce_Jw_earlier;reduce_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,P-H,pairwise_order,24,6,16,2010;2011;2012;2021;2004;1992;1981;2002,push_P_earlier;push_P_earlier;reduce_H_earlier;reduce_P_earlier;push_P_earlier;push_P_earlier;push_P_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,P-Je,pairwise_order,30,10,19,1989;1997;2020;1984;1992;1996;1991;2013,push_Je_earlier;push_Je_earlier;reduce_P_earlier;reduce_P_earlier;reduce_Je_earlier;reduce_Je_earlier;push_P_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,P-Jw,pairwise_order,19,8,7,2002;2021;1993;2001;2005;2000;1986;2006,reduce_P_earlier;push_Jw_earlier;reduce_P_earlier;push_P_earlier;reduce_Jw_earlier;push_Jw_earlier;push_Jw_earlier;push_Jw_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,P-V,pairwise_order,26,6,17,1995;1992;1991;2021;2004;1996;2010;2022,reduce_P_earlier;push_P_earlier;push_P_earlier;reduce_P_earlier;push_P_earlier;reduce_V_earlier;reduce_V_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,V-H,pairwise_order,32,8,20,1992;1997;1991;2022;2018;2023;2007;2010,reduce_V_earlier;push_V_earlier;reduce_V_earlier;push_V_earlier;reduce_H_earlier;push_H_earlier;push_V_earlier;push_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,V-Je,pairwise_order,25,4,17,1992;1989;2006;2004;1983;2022;2008;2010,push_Je_earlier;reduce_V_earlier;reduce_Je_earlier;reduce_V_earlier;reduce_Je_earlier;reduce_Je_earlier;reduce_Je_earlier;push_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W113,V-Jw,pairwise_order,17,6,5,1989;2000;1986;2017;2022;2004;1993;1988,push_Jw_earlier;reduce_V_earlier;push_Jw_earlier;reduce_V_earlier;reduce_Jw_earlier;reduce_V_earlier;reduce_Jw_earlier;reduce_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,H,object_peak,34,10,17,2005;2012;2013;1997;1983;1980;2019;2007,push_early_peak;push_early_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W160,Je,object_peak,35,5,27,1980;1995;1994;2018;2022;1999;2019;2020,push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_late_peak;push_late_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W160,Jw,object_peak,32,8,19,2000;2003;1998;1995;2014;2019;2010;2013,push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
