window_id,object,year,n_bootstrap,n_present,n_absent,mean_peak_present,mean_peak_absent,presence_effect_on_peak_day,peak_q25_for_early_definition,peak_q75_for_late_definition,P_early_present,P_early_absent,presence_effect_on_early_probability,P_late_present,P_late_absent,presence_effect_on_late_probability,n_high_count,high_count_effect_on_peak_day,ridge_coef_peak_day,permutation_percentile_peak_day,permutation_percentile_early_probability,permutation_percentile_late_probability,max_permutation_percentile,influence_direction,influence_evidence_level,method_role
W045,H,1979,1000,643,357,38.856920684292376,38.904761904761905,-0.04784122046952888,34.0,45.0,0.3265940902021773,0.3137254901960784,0.012868600006098851,0.26594090202177295,0.2801120448179272,-0.014171142796154224,256,-0.5336681547619051,-0.20686317847301508,0.08044444444444444,0.32226666666666665,0.372,0.372,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W045,H,1980,1000,673,327,38.88410104011887,38.85321100917431,0.030890030944561886,34.0,45.0,0.32540861812778604,0.3149847094801223,0.010423908647663738,0.27786032689450224,0.25688073394495414,0.020979592949548098,296,-0.4005083064716075,0.012250080285586083,0.049777777777777775,0.2677333333333333,0.5232888888888889,0.5232888888888889,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W045,H,1981,1000,658,342,39.06838905775076,38.5,0.5683890577507569,34.0,45.0,0.3586626139817629,0.25146198830409355,0.10720062567766936,0.2765957446808511,0.260233918128655,0.01636182655219609,268,0.9701492537313428,0.5553480838608151,0.78,0.9994222222222222,0.4212888888888889,0.9994222222222222,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W045,H,1982,1000,661,339,38.54614220877458,39.51327433628319,-0.9671321275086058,34.0,45.0,0.3146747352496218,0.336283185840708,-0.02160845059108618,0.264750378214826,0.2831858407079646,-0.0184354624931386,271,-1.0999902034418625,-0.15063246853311127,0.9627111111111111,0.5144444444444445,0.47026666666666667,0.9627111111111111,push_early_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W045,H,1983,1000,641,359,39.21996879875195,38.25626740947075,0.9637013892811979,34.0,45.0,0.3369734789391576,0.29526462395543174,0.04170885498372584,0.2917316692667707,0.233983286908078,0.0577483823586927,278,1.3336606480832032,0.3863876745329775,0.9620888888888889,0.8234666666666667,0.9514222222222222,0.9620888888888889,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W045,H,1984,1000,636,364,38.954402515723274,38.73351648351648,0.22088603220679204,34.0,45.0,0.31761006289308175,0.32967032967032966,-0.012060266777247919,0.2751572327044025,0.26373626373626374,0.011420968968138767,255,0.5331501831501839,0.17849804667255914,0.3628,0.3033777777777778,0.29835555555555554,0.3628,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W045,H,1985,1000,596,404,39.08724832214765,38.55940594059406,0.5278423815535902,34.0,45.0,0.3053691275167785,0.3465346534653465,-0.04116552594856798,0.2953020134228188,0.23514851485148514,0.060153498571333675,232,1.7552492318197324,0.5486503811642419,0.7456444444444444,0.8200444444444445,0.9604,0.9604,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W045,H,1986,1000,625,375,38.872,38.87733333333333,-0.005333333333332746,34.0,45.0,0.3136,0.336,-0.02240000000000003,0.264,0.2826666666666667,-0.018666666666666665,264,0.04690909090908946,0.052591531421389136,0.008622222222222222,0.5326666666666666,0.47435555555555553,0.5326666666666666,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W045,H,1987,1000,609,391,38.67159277504105,39.18925831202046,-0.5176655369794148,34.0,45.0,0.31198686371100165,0.3375959079283887,-0.025609044217387078,0.26108374384236455,0.2864450127877238,-0.025361268945359228,253,-0.9481515926528772,-0.27518967236322567,0.7366222222222222,0.5932888888888889,0.6097333333333333,0.7366222222222222,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W045,H,1988,1000,654,346,38.93730886850153,38.75433526011561,0.1829736083859217,34.0,45.0,0.3363914373088685,0.2947976878612717,0.041593749447596806,0.28440366972477066,0.24566473988439305,0.038738929840377606,277,-0.24169988105423812,0.05588097412187744,0.3031111111111111,0.8222666666666667,0.8130222222222222,0.8222666666666667,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
