window_id,target_type,target_name,influence_group,evidence_level,years,n_years,mean_effect,max_percentile,notes
W045,object_peak,H,push_early_peak,credible_95,1990;1999;1991;2015;1982,5,-0.7196414403511711,0.9809333333333333,statistical high-influence year candidates only; not physical year types
W045,object_peak,H,push_early_peak,strict_99,1995;1992;2000;2009;2008;2005;2006,7,-0.7908136817298015,0.9998222222222222,statistical high-influence year candidates only; not physical year types
W045,object_peak,H,push_early_peak,usable_90,1994,1,-0.6592280502836658,0.9434222222222223,statistical high-influence year candidates only; not physical year types
W045,object_peak,H,push_late_peak,credible_95,2013;1983;1985,3,0.651094992771192,0.9735111111111111,statistical high-influence year candidates only; not physical year types
W045,object_peak,H,push_late_peak,strict_99,1981;2022;2011;2019;2017,5,0.5413002782242771,0.9994222222222222,statistical high-influence year candidates only; not physical year types
W045,object_peak,H,push_late_peak,usable_90,1997;2016;2020;1993,4,0.34093019165969274,0.9450222222222222,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_early_peak,credible_95,2003,1,-0.17510913433819297,0.9615111111111111,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_early_peak,strict_99,1981;1997;2017;1998;2001;2016;2023;2002;1991;2011,10,-0.48621903235086206,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_early_peak,usable_90,2008,1,-0.28736597225866234,0.9469333333333333,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_late_peak,credible_95,1999;1990;1996;1983;1989;2015,6,0.2662018648240358,0.9897777777777778,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_late_peak,strict_99,2022;1992;2009;2006;2004;1987;2013;1984;1980;1993,10,0.3801331509696091,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,Je,push_late_peak,usable_90,2005,1,0.25512065095398384,0.9165333333333333,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_early_peak,credible_95,1981;2000;1989;1997;2004;1984,6,-0.4599230046585987,0.9879555555555556,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_early_peak,strict_99,1979;1982;1992;1995;2022;1993;1985;2016;2014;2003,10,-0.8960768813158871,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_early_peak,usable_90,2002,1,-0.15618235930735835,0.9424,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_late_peak,credible_95,1994;1988;2019;1983;1996;1980;2001,7,0.42909148244632433,0.9895555555555555,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_late_peak,strict_99,1999;1991;2023;2018;2021;2017;1987;2008;1986;2007,10,0.7811696738183237,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,Jw,push_late_peak,usable_90,2011,1,0.17936455944972352,0.9026666666666666,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_early_peak,credible_95,1987;1992;2001,3,-0.1952682893276716,0.9829333333333333,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_early_peak,strict_99,1979;1981;1986;1995;2000;2012;2017;1991;2002;2008;2023;2011;2022;1998;2006,15,-0.44907503487867,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_early_peak,usable_90,2004,1,-0.24957200590215933,0.9223555555555556,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_late_peak,credible_95,2007;1983,2,0.1961291161966976,0.9724444444444444,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_late_peak,strict_99,1984;1985;2019;1999;1997;2009;2015;2021;1993;1994;2005;1989;1982,13,0.5008046937446747,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,P,push_late_peak,usable_90,1996;2003;2010;2014,4,0.18669236308418213,0.9429777777777778,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_early_peak,credible_95,2004;2019;2022;2008,4,-0.19216545135532037,0.9846666666666667,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_early_peak,strict_99,1979;1981;2000;2011;2012;2001;2013;2014;1995;2002,10,-0.4996418011427245,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_early_peak,usable_90,1998,1,-0.21837932824793427,0.9115555555555556,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_late_peak,credible_95,2003;1994;2009;1991,4,0.26561829154961636,0.9861333333333333,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_late_peak,strict_99,1982;1985;2016;1989;2018;2010;1980;1996;1993;1988,10,0.4886829214869032,1.0,statistical high-influence year candidates only; not physical year types
W045,object_peak,V,push_late_peak,usable_90,2015;1984;1986,3,0.13282652669918824,0.9434222222222223,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,push_H_earlier,credible_95,2005;1996;1999,3,0.06369635534693152,0.9808444444444444,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,push_H_earlier,strict_99,1990;2009;1995,3,0.0900892180250531,0.9996,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,push_H_earlier,usable_90,1994;2000,2,0.053585906828126084,0.9467111111111111,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,push_Je_earlier,credible_95,1981;2023,2,0.06530623155850619,0.9842666666666666,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,push_Je_earlier,usable_90,1998,1,0.049740183092154,0.9311111111111111,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,reduce_H_earlier,credible_95,1983,1,0.05830461630721495,0.9572444444444445,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,reduce_H_earlier,strict_99,2011;2017,2,0.09051313968190328,0.9988444444444444,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,reduce_H_earlier,usable_90,1985;1997;2016,3,0.053567573997439465,0.9451555555555555,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,reduce_Je_earlier,strict_99,1992,1,0.10838274556415484,0.9999555555555556,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Je,reduce_Je_earlier,usable_90,2022;2015,2,0.050608162413702404,0.9400888888888889,statistical high-influence year candidates only; not physical year types
W045,pairwise_order,H-Jw,push_H_earlier,credible_95,1999;2009;1992;2005,4,0.06935069032076907,0.9868444444444444,statistical high-influence year candidates only; not physical year types
