window_id,anchor_day,field,day,relative_to_anchor,progress_observed,dprogress_observed,progress_bootstrap_median,progress_bootstrap_q05,progress_bootstrap_q25,progress_bootstrap_q75,progress_bootstrap_q95,dprogress_bootstrap_median,dprogress_bootstrap_q05,dprogress_bootstrap_q95,curve_source,prob_progress_above_010,prob_progress_above_025,prob_progress_above_050,prob_progress_above_075
W002,45,H,30,-15,0.0,,0.0,0.0,0.0,0.0,0.0,,,,current_v7e_progress_profile_via_v7m_curves,0.001,0.0,0.0,0.0
W002,45,H,31,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,H,32,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,H,33,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,H,34,-11,0.0153462606310716,0.0153462606310716,0.0139611780288046,0.0,0.0,0.032925111830381,0.06524922514671355,0.0138917743026751,0.0,0.06495300046119938,current_v7e_progress_profile_via_v7m_curves,0.008,0.0,0.0,0.0
W002,45,H,35,-10,0.1180610485652772,0.1027147879342056,0.1134815862634923,0.028780460483310438,0.07894725288213625,0.1508387454836906,0.20631165305453614,0.0963971459156016,0.021035953543450142,0.16796079963686564,current_v7e_progress_profile_via_v7m_curves,0.609,0.015,0.0,0.0
W002,45,H,36,-9,0.2305737954027324,0.1125127468374552,0.22421396160490453,0.07598423082022776,0.16813547568473258,0.2836986252021852,0.37543191868314585,0.10889347537021049,0.04131456551643713,0.18475101280148717,current_v7e_progress_profile_via_v7m_curves,0.925,0.375,0.004,0.0
W002,45,H,37,-8,0.345954414101869,0.1153806186991366,0.33534517452937085,0.14473165688959722,0.26382303445954175,0.41209121666250764,0.5446342053315628,0.10928138750335056,0.05335409032481941,0.17819171983486704,current_v7e_progress_profile_via_v7m_curves,0.983,0.786,0.088,0.003
W002,45,H,38,-7,0.4617681824431798,0.1158137683413108,0.4440166328564774,0.2175973738897163,0.3576727499736424,0.5339676707823386,0.6961949488839085,0.10902366616741888,0.061083850542180344,0.16235309469669357,current_v7e_progress_profile_via_v7m_curves,0.993,0.917,0.336,0.024
W002,45,H,39,-6,0.5593252146627877,0.09755703221960793,0.5344192118305817,0.27341259913660854,0.43872661177207606,0.6379130786557428,0.8161054733015407,0.09303664944747048,0.041944875582503115,0.14004088084842406,current_v7e_progress_profile_via_v7m_curves,0.997,0.963,0.59,0.103
W002,45,H,40,-5,0.6279891620298624,0.0686639473670747,0.6036278189262142,0.3036119193102892,0.4925778628373385,0.71363971220108,0.9147128945741748,0.06472276227207246,0.011001541277211393,0.11912247675566032,current_v7e_progress_profile_via_v7m_curves,0.999,0.976,0.735,0.193
W002,45,H,41,-4,0.6684212943160861,0.040432132286223665,0.6489213746003017,0.34113741838641654,0.5277354522902141,0.7651849660346579,0.9761266508555705,0.0378852055948502,-0.010430088555787096,0.09101146295660549,current_v7e_progress_profile_via_v7m_curves,0.999,0.979,0.798,0.272
W002,45,H,42,-3,0.6949819476898192,0.026560653373733145,0.6689663682667484,0.37430948472635445,0.5519683001661273,0.793783836469188,1.0,0.02565919242005399,-0.02344350200880424,0.0770047643570278,current_v7e_progress_profile_via_v7m_curves,0.999,0.99,0.83,0.33
W002,45,H,43,-2,0.7115780351512082,0.016596087461388964,0.6843972799234476,0.39376378627488845,0.5733893731045053,0.8095031410044786,1.0,0.01664624824619282,-0.03904744037127813,0.0656502670843869,current_v7e_progress_profile_via_v7m_curves,1.0,0.992,0.86,0.35
W002,45,H,44,-1,0.7081784689711922,-0.0033995661800160226,0.6856185233242983,0.40617322907755127,0.5660577155805618,0.7999453082183585,1.0,0.0,-0.05900045164283014,0.04618352422985924,current_v7e_progress_profile_via_v7m_curves,1.0,0.991,0.854,0.345
W002,45,H,45,0,0.6783563728272777,-0.02982209614391451,0.6620535395055489,0.37955832122129196,0.5402555416877386,0.7701526735570264,0.958493457482783,-0.02446666413192483,-0.08270401071075159,0.024016022842480937,current_v7e_progress_profile_via_v7m_curves,0.999,0.989,0.813,0.289
W002,45,H,46,1,0.6421488239564292,-0.03620754887084843,0.6291071700248566,0.3664072513060869,0.5104638643116362,0.7344433634355233,0.9244278663444075,-0.029998217679880618,-0.0805208393586894,0.017791387684215634,current_v7e_progress_profile_via_v7m_curves,0.997,0.988,0.768,0.229
W002,45,H,47,2,0.6049198154494838,-0.03722900850694544,0.5933895792772548,0.34025265607576116,0.4848481294111552,0.7051873567208298,0.9028105805687752,-0.030432214416685976,-0.07668902337813716,0.013184059434100726,current_v7e_progress_profile_via_v7m_curves,0.997,0.982,0.722,0.179
