window_id,anchor_day,field,day,relative_to_anchor,progress_observed,dprogress_observed,progress_bootstrap_median,progress_bootstrap_q05,progress_bootstrap_q25,progress_bootstrap_q75,progress_bootstrap_q95,dprogress_bootstrap_median,dprogress_bootstrap_q05,dprogress_bootstrap_q95,curve_source,prob_progress_above_010,prob_progress_above_025,prob_progress_above_050,prob_progress_above_075
W002,45,H,48,3,0.5778235404490808,-0.027096275000403014,0.5777128782114109,0.320705046790897,0.4667020779236357,0.6873905335290182,0.88527504569117,-0.016610416975445547,-0.06947285885500236,0.022635242086750097,current_v7e_progress_profile_via_v7m_curves,0.997,0.975,0.678,0.146
W002,45,H,49,4,0.5927732449965134,0.014949704547432607,0.5969962075285953,0.35317749456151637,0.48494714236744757,0.7036158196125797,0.8831041669745703,0.01907279624368141,-0.030220095758245115,0.06326046148885352,current_v7e_progress_profile_via_v7m_curves,0.996,0.984,0.724,0.171
W002,45,H,50,5,0.6580403804234162,0.06526713542690277,0.6617435560206136,0.4216111869995294,0.5573284647465506,0.756324241837965,0.9255548261754121,0.06219017010754624,0.012683642596345131,0.11220034532320759,current_v7e_progress_profile_via_v7m_curves,1.0,0.994,0.845,0.266
W002,45,H,51,6,0.7346311105178897,0.07659073009447348,0.7318568707584292,0.5172948832362831,0.6456609907180825,0.8211499136798924,0.966266499525957,0.07210147408846712,0.014009644482883011,0.12670044001506045,current_v7e_progress_profile_via_v7m_curves,1.0,0.999,0.961,0.451
W002,45,H,52,7,0.7779679944789535,0.04333688396106383,0.7791224894467224,0.5934751353839987,0.7055488945508777,0.8548443013948481,0.9721465554018264,0.04755817354545866,0.0,0.09221219891888315,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.995,0.601
W002,45,H,53,8,0.8177294769331557,0.03976148245420219,0.8263718865987635,0.6857570232213605,0.7667864007234928,0.8796822091772235,0.9708389626333193,0.046302704960543006,-0.010483626737040173,0.10154806696941145,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.999,0.803
W002,45,H,54,9,0.8740310577089151,0.05630158077575942,0.8823391699535595,0.7895175423597459,0.8452797737452276,0.915705258058476,0.9791907022932592,0.05703670962959623,-0.0037324981126642064,0.11982134699666247,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.985
W002,45,H,55,10,0.9395982117193404,0.06556715401042534,0.9459231683080648,0.8885295367848105,0.9223342017644411,0.9660780294434285,0.9924081856256037,0.060784314193619404,0.0,0.12014182560077243,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,H,56,11,1.0,0.06040178828065956,1.0,0.9540743997124106,0.9853461236804233,1.0,1.0,0.046100940611513375,0.0,0.09395463351501146,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,H,57,12,1.0,0.0,1.0,0.9948335720903374,1.0,1.0,1.0,0.0,0.0,0.040467567630951426,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,H,58,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002747967016402713,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,H,59,14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,H,60,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.999
W002,45,Je,30,-15,0.0812418023268642,,0.06774777639782595,0.0,0.01295275275892295,0.12474128673327323,0.19706448028892395,,,,current_v7e_progress_profile_via_v7m_curves,0.355,0.01,0.0,0.0
W002,45,Je,31,-14,0.0528617888874826,-0.028380013439381603,0.0445578917317683,0.0,0.0,0.08376043826994894,0.13468034779534516,-0.02329007872680756,-0.07549861618846351,0.008078015784399685,current_v7e_progress_profile_via_v7m_curves,0.172,0.0,0.0,0.0
W002,45,Je,32,-13,0.0472391766215502,-0.0056226122659324,0.03906124964227345,0.0,0.01162476193404835,0.06499545023467843,0.10083937654890074,-0.0034063368683496,-0.052900639102079386,0.02652059423054265,current_v7e_progress_profile_via_v7m_curves,0.055,0.0,0.0,0.0
W002,45,Je,33,-12,0.0276151916456801,-0.0196239849758701,0.0239347572927922,0.0,0.006128705866278025,0.04105265495754122,0.06764247037552087,-0.0145097933333229,-0.05617345512378015,0.019927081885063123,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,Je,34,-11,0.0,-0.0276151916456801,0.0,0.0,0.0,0.00974342481903315,0.03578672092568646,-0.01680662746358055,-0.06047769475160956,0.011979843557385203,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,Je,35,-10,0.0,0.0,0.0,0.0,0.0,0.0098620186267226,0.055758562557996154,0.0,-0.016672460876710656,0.03565750982407524,current_v7e_progress_profile_via_v7m_curves,0.004,0.0,0.0,0.0
W002,45,Je,36,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.05747786015517029,0.0,-0.022197304843896544,0.013611454569355374,current_v7e_progress_profile_via_v7m_curves,0.016,0.0,0.0,0.0
W002,45,Je,37,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.032367078866644486,0.0,-0.032988163707819956,0.0,current_v7e_progress_profile_via_v7m_curves,0.01,0.0,0.0,0.0
W002,45,Je,38,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.03968395995295503,0.0,-0.0008021975783143753,0.011724558988116496,current_v7e_progress_profile_via_v7m_curves,0.013,0.0,0.0,0.0
W002,45,Je,39,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.08347088753912575,0.0,0.0,0.04314305234383203,current_v7e_progress_profile_via_v7m_curves,0.032,0.0,0.0,0.0
W002,45,Je,40,-5,0.0,0.0,0.0,0.0,0.0,0.07738846599781601,0.1808808578122351,0.0,0.0,0.11215836658323006,current_v7e_progress_profile_via_v7m_curves,0.177,0.01,0.0,0.0
W002,45,Je,41,-4,0.0476342134848763,0.0476342134848763,0.07126788422986036,0.0,0.0,0.1611927795811795,0.27927631348501203,0.05418802811482675,0.0,0.11626392197460685,current_v7e_progress_profile_via_v7m_curves,0.41,0.076,0.0,0.0
W002,45,Je,42,-3,0.1163099142547843,0.068675700769908,0.1402782268915289,0.0,0.05046476535165825,0.23481240130945186,0.34869395213723237,0.0579856040818496,0.0,0.10641272239124007,current_v7e_progress_profile_via_v7m_curves,0.619,0.205,0.002,0.0
W002,45,Je,43,-2,0.1975484279234124,0.0812385136686281,0.21864007888599113,0.0007606260390123973,0.12183413484831357,0.3171464711741031,0.44300177576127625,0.07343424656944571,0.0,0.1327292544361087,current_v7e_progress_profile_via_v7m_curves,0.798,0.413,0.018,0.0
W002,45,Je,44,-1,0.2879996630448739,0.0904512351214615,0.302885441541512,0.0706431054268308,0.2053825452081212,0.40384107991574536,0.5405586637087066,0.08261418704796292,0.027355230388725546,0.13520536387834897,current_v7e_progress_profile_via_v7m_curves,0.93,0.635,0.086,0.0
W002,45,Je,45,0,0.3973039822819448,0.1093043192370709,0.40724045605583015,0.1699356891730249,0.30691424231349074,0.5002538511797973,0.635001552510027,0.0989420743742789,0.05333816320191253,0.15259580269433842,current_v7e_progress_profile_via_v7m_curves,0.982,0.86,0.251,0.005
W002,45,Je,46,1,0.5292877939012005,0.1319838116192557,0.5288914209104101,0.2952881281581846,0.4338203246335756,0.6212109830791757,0.7571343149831935,0.12253870481262658,0.07406022474617226,0.173592205259626,current_v7e_progress_profile_via_v7m_curves,1.0,0.976,0.584,0.057
W002,45,Je,47,2,0.6171959759507124,0.0879081820495119,0.6090938494760325,0.39541271691216945,0.5217871908195423,0.7011725436935718,0.8413048020873406,0.0826796766749606,0.03774150084002033,0.1305095015101207,current_v7e_progress_profile_via_v7m_curves,1.0,0.997,0.795,0.163
W002,45,Je,48,3,0.6733421623886654,0.056146186437952994,0.664840820308527,0.4582810170287855,0.5787923352772266,0.7493088066880438,0.8808728593143688,0.052593685417824304,0.0062605639065323295,0.09945384210759266,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.903,0.245
W002,45,Je,49,4,0.7118820320559316,0.03853986966726619,0.7017176024499946,0.5141104923414793,0.6200987603365737,0.7789965735316153,0.8998917554214931,0.035853065089026026,-0.014515883736660561,0.0892021736628048,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.957,0.338
W002,45,Je,50,5,0.7417406406677926,0.02985860861186096,0.7348493687631772,0.5462337552939452,0.655896317231146,0.8053641964648532,0.9102939135528874,0.02973759051790137,-0.01755241511409395,0.07801001833947635,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.985,0.444
W002,45,Je,51,6,0.7938153136980722,0.05207467303027968,0.7880779141241163,0.6208675001224003,0.7166703726615105,0.8484639060162538,0.9477235402632245,0.05271981023830735,0.014736785645602556,0.08780281182700186,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.999,0.626
W002,45,Je,52,7,0.8526360201325945,0.05882070643452231,0.8440666041325464,0.7060922526654527,0.7866326079489556,0.8985553978956836,0.9884444795459212,0.05904192235259598,0.008203608158844916,0.10129040094353901,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.872
W002,45,Je,53,8,0.8682954856520797,0.01565946551948516,0.8622526016867733,0.7547853555705397,0.8149665604707146,0.9058703857323256,0.979526152730151,0.019562540535643602,-0.026634045586173067,0.06820687825419132,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.958
W002,45,Je,54,9,0.8738653451547392,0.0055698595026595354,0.8726765746160623,0.7923875488046501,0.8364008971499423,0.9063718274166551,0.9640040734011306,0.011229837383347874,-0.04033741992066257,0.06033591606418552,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.993
W002,45,Je,55,10,0.8881754644422739,0.014310119287534673,0.8901562700756822,0.8256867332159659,0.8628369571913568,0.9201707758594467,0.9632433980136593,0.01917139220865971,-0.03299662497709154,0.06839420416006015,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Je,56,11,0.9474126200854588,0.05923715564318488,0.950727090213674,0.8936001846126106,0.9257364429308665,0.9747033685972377,1.0,0.056948983264630326,0.016522725736218793,0.09754281451704583,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Je,57,12,1.0,0.05258737991454121,1.0,0.9805858386253159,1.0,1.0,1.0,0.04807293963466458,0.0,0.09833148997906328,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Je,58,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0194141613746841,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Je,59,14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Je,60,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,30,-15,0.0,,0.0,0.0,0.0,0.0,0.0,,,,current_v7e_progress_profile_via_v7m_curves,0.002,0.0,0.0,0.0
W002,45,Jw,31,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,Jw,32,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0073600351306054735,0.0,0.0,0.004648585010724083,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,Jw,33,-12,0.0141463336937198,0.0141463336937198,0.0070637147524325004,0.0,0.0,0.021826323122103322,0.0424708463185579,0.00626572906222095,0.0,0.03987653739788026,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,Jw,34,-11,0.0396670581769195,0.025520724483199697,0.03572065217124615,0.0,0.0188608689524553,0.050584564178012,0.07615951953694954,0.022329692251933948,-0.01041604729426298,0.05919758774456482,current_v7e_progress_profile_via_v7m_curves,0.004,0.0,0.0,0.0
W002,45,Jw,35,-10,0.0425657792706741,0.0028987210937546012,0.0418456216769166,0.0,0.01698676477979985,0.06677923863601826,0.09985700589271854,0.006613670048524499,-0.025542218846240833,0.046333617889726224,current_v7e_progress_profile_via_v7m_curves,0.049,0.0,0.0,0.0
W002,45,Jw,36,-9,0.0597948328733494,0.0172290536026753,0.0638940609912358,0.0,0.0317007808981424,0.09452958841291037,0.14226132790268903,0.0210908781740267,-0.009601573974589479,0.056404814113077,current_v7e_progress_profile_via_v7m_curves,0.213,0.001,0.0,0.0
W002,45,Jw,37,-8,0.1240711520872578,0.0642763192139084,0.1294739197663717,0.027714525212887243,0.08835447878650754,0.17164191254140226,0.2369204154292712,0.06573794373895109,0.017926008960959253,0.10939158649993666,current_v7e_progress_profile_via_v7m_curves,0.691,0.035,0.0,0.0
W002,45,Jw,38,-7,0.200241630800972,0.07617047871371418,0.21043106755765417,0.08073438505723433,0.15266371886952823,0.2653369464363554,0.345241517312219,0.0780009569162876,0.03187992042235499,0.12438673773558548,current_v7e_progress_profile_via_v7m_curves,0.908,0.311,0.0,0.0
W002,45,Jw,39,-6,0.2751704793613281,0.07492884856035611,0.2849959819236477,0.1209611477996302,0.2105232943538844,0.3543344627796954,0.4545815560961081,0.07521575124953325,0.02615212252516004,0.1287317366391153,current_v7e_progress_profile_via_v7m_curves,0.969,0.632,0.018,0.0
W002,45,Jw,40,-5,0.3232800734152734,0.04810959405394527,0.33478053044016953,0.14965579372031865,0.2544218747473389,0.4151885275910825,0.5218089110975848,0.05017837393038593,0.001998211731273199,0.09007808727029278,current_v7e_progress_profile_via_v7m_curves,0.976,0.762,0.074,0.0
W002,45,Jw,41,-4,0.3699461425680843,0.04666606915281091,0.38045345665592434,0.17420502856990805,0.29560479419010954,0.4705211043801691,0.5804225616062725,0.04731660012558685,0.0072585789215972255,0.08575216622236499,current_v7e_progress_profile_via_v7m_curves,0.985,0.842,0.181,0.001
W002,45,Jw,42,-3,0.4260010821859795,0.056054939617895205,0.43699764156618304,0.2119895153503975,0.34744022461719404,0.5328032117615832,0.6488513829275713,0.05657781235606715,0.010049181402602334,0.09835090281168667,current_v7e_progress_profile_via_v7m_curves,0.989,0.912,0.325,0.009
W002,45,Jw,43,-2,0.4876147317298436,0.06161364954386411,0.5025928334127228,0.2525017452473341,0.4008120883260825,0.5960551453202837,0.7308481930503228,0.06007250700222144,0.013032128712315606,0.09963181212129668,current_v7e_progress_profile_via_v7m_curves,0.993,0.952,0.509,0.032
W002,45,Jw,44,-1,0.5420524347007761,0.05443770297093253,0.5537900611458693,0.30035454087789704,0.4506536341262358,0.6515754263263217,0.7793586696047148,0.05272762325157401,0.014962659112174915,0.08699469231547034,current_v7e_progress_profile_via_v7m_curves,0.996,0.971,0.639,0.078
W002,45,Jw,45,0,0.6122693780452676,0.07021694334449147,0.6219151256123359,0.3574504777879386,0.5120900272395164,0.7181729485165598,0.8505321397468288,0.06698690271589726,0.03545063031069785,0.09856799713347854,current_v7e_progress_profile_via_v7m_curves,0.998,0.983,0.774,0.185
W002,45,Jw,46,1,0.6755315084007621,0.06326213035549455,0.6843133651221875,0.4079533906300733,0.5832263350572262,0.7738741978758945,0.9006386796836373,0.05979259929968028,0.01854934234294067,0.09906403711780329,current_v7e_progress_profile_via_v7m_curves,1.0,0.995,0.887,0.316
W002,45,Jw,47,2,0.7127469916536964,0.03721548325293422,0.7154510567828993,0.45620786140405833,0.6265965813678086,0.8026706889179706,0.9239114771618607,0.034336970711412784,-0.0067864111269608,0.07961271455332827,current_v7e_progress_profile_via_v7m_curves,1.0,0.998,0.924,0.406
W002,45,Jw,48,3,0.7540015226842646,0.0412545310305682,0.7572588349463344,0.5185509765595766,0.6709834199018991,0.8351009872774886,0.9447545474943237,0.0387942322509649,-0.003452755607128776,0.08500778106560812,current_v7e_progress_profile_via_v7m_curves,1.0,0.999,0.961,0.527
W002,45,Jw,49,4,0.8096225056143399,0.055620982930075336,0.8084657616603075,0.599649299129674,0.7332846325442444,0.8797460954843737,0.9816944049503039,0.05421193165794519,0.007282746508898963,0.09578385422041319,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.991,0.706
W002,45,Jw,50,5,0.8518667792862604,0.04224427367192052,0.8503212706529911,0.6635484785897539,0.7828496771298008,0.9139216245995174,1.0,0.04309610522838048,0.0,0.08432555489180064,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.997,0.827
W002,45,Jw,51,6,0.8813809606057489,0.029514181319488464,0.8811621413278681,0.7205393651575611,0.8224388081949667,0.9360676678415348,1.0,0.030256888661603865,-0.004089400308945901,0.07445035777085031,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,0.999,0.917
W002,45,Jw,52,7,0.9190145306030764,0.037633569997327476,0.9179729226925251,0.777294163686455,0.8682975029008762,0.9684276580228708,1.0,0.03589400095245021,0.0,0.0815281295062827,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.974
W002,45,Jw,53,8,0.9747628288736218,0.05574829827054539,0.9747324252307259,0.8563174401223517,0.9288078224237912,1.0,1.0,0.0498373817869856,0.0,0.08987488907677367,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,0.997
W002,45,Jw,54,9,1.0,0.025237171126378244,1.0,0.9196246626024086,0.9722851364747073,1.0,1.0,0.020763964231339693,0.0,0.06770628254562024,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,55,10,1.0,0.0,1.0,0.9564021147878887,0.9938048515890514,1.0,1.0,0.0,0.0,0.042728587192535646,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,56,11,1.0,0.0,1.0,0.9944421639211944,1.0,1.0,1.0,0.0,0.0,0.038958369855732436,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,57,12,1.0,0.0,1.0,0.9836786866397972,1.0,1.0,1.0,0.0,-0.01568850732419729,0.0035611609158453053,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,58,13,0.9902596298168456,-0.009740370183154434,0.9934353307485957,0.94289662268725,0.9731463329944637,1.0,1.0,-0.005411910423393673,-0.04613895068050925,0.0,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,59,14,0.9855355123253304,-0.004724117491515134,0.9865822777027621,0.9156845310606855,0.9548676102578798,1.0,1.0,-0.002957756261296185,-0.03945411817357215,0.005813812705635146,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,Jw,60,15,0.9893218472215594,0.0037863348962289267,0.9857390656562798,0.8864862482531918,0.9448883750672039,1.0,1.0,0.0,-0.03530472786934196,0.013387188432813826,current_v7e_progress_profile_via_v7m_curves,1.0,1.0,1.0,1.0
W002,45,P,30,-15,0.0,,0.0,0.0,0.0,0.0,0.0,,,,current_v7e_progress_profile_via_v7m_curves,0.001,0.0,0.0,0.0
W002,45,P,31,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,P,32,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,P,33,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.014169357375101454,0.0,0.0,0.012238910989390082,current_v7e_progress_profile_via_v7m_curves,0.0,0.0,0.0,0.0
W002,45,P,34,-11,0.0424185663252845,0.0424185663252845,0.033254332501879896,0.0,0.017196101436935198,0.0527845129657326,0.08527059719324595,0.03198398176553975,0.0,0.08022761521288678,current_v7e_progress_profile_via_v7m_curves,0.026,0.0,0.0,0.0
W002,45,P,35,-10,0.0720540679417369,0.029635501616452398,0.06210498360074135,0.011106726850595796,0.039953274070138295,0.08576301668326217,0.1184466202657863,0.0290207922304438,-0.02383000103205096,0.07301756908063602,current_v7e_progress_profile_via_v7m_curves,0.14,0.0,0.0,0.0
W002,45,P,36,-9,0.0850698638639285,0.013015795922191598,0.0786039453262677,0.0,0.04452442248277485,0.1075391045497578,0.15489125252716276,0.013628078701887158,-0.03086749272676478,0.055880704862219945,current_v7e_progress_profile_via_v7m_curves,0.306,0.0,0.0,0.0
W002,45,P,37,-8,0.1233662460074385,0.03829638214351,0.11572228546684485,0.0,0.0702858650557225,0.15890025897344737,0.2189593745236538,0.03676875137094001,-0.007177903382653061,0.09293984420979376,current_v7e_progress_profile_via_v7m_curves,0.6,0.014,0.0,0.0
W002,45,P,38,-7,0.1405085366210791,0.0171422906136406,0.13733134012996706,0.0,0.0769922184187738,0.19228945235158965,0.2652577440859737,0.020722158867457242,-0.024514626011883724,0.06414083988408631,current_v7e_progress_profile_via_v7m_curves,0.666,0.084,0.0,0.0
W002,45,P,39,-6,0.2011985106286352,0.0606899740075561,0.19853609920567294,0.03359418959383088,0.13004207624375586,0.2644816939691005,0.3526383350356006,0.06223126652966607,0.0005518158527105438,0.10595897110962203,current_v7e_progress_profile_via_v7m_curves,0.844,0.285,0.0,0.0
W002,45,P,40,-5,0.2935655348005878,0.09236702417195258,0.2908688180678046,0.10616285704917143,0.21760206940715635,0.36424898837291475,0.47246319152128136,0.09464762269701554,0.04027146732377474,0.14787636047176572,current_v7e_progress_profile_via_v7m_curves,0.953,0.66,0.025,0.0
W002,45,P,41,-4,0.385766396457766,0.09220086165717822,0.3840976798896239,0.17728793933749545,0.3035809869866195,0.4673743208415867,0.5898135677053659,0.0926785470850211,0.0442210074603095,0.13787792489938314,current_v7e_progress_profile_via_v7m_curves,0.991,0.861,0.167,0.0
W002,45,P,42,-3,0.4521072645336147,0.06634086807584871,0.4529853339914795,0.22747619761140392,0.3626733296589429,0.5388796010376458,0.6670007637596628,0.06712915225146715,0.01775664726350435,0.11379182898812376,current_v7e_progress_profile_via_v7m_curves,0.997,0.93,0.351,0.01
W002,45,P,43,-2,0.4891872911385085,0.03708002660489379,0.49335893062901526,0.26020189766641355,0.3952977730876247,0.5784531709871702,0.7122405505611095,0.03940870966120086,-0.008217283402166665,0.08894607511285908,current_v7e_progress_profile_via_v7m_curves,0.998,0.958,0.486,0.022
W002,45,P,44,-1,0.5677681241971485,0.07858083305864,0.5656946424546407,0.3498007239929934,0.47255079292744606,0.653896720741197,0.7832255218930344,0.07564001371917045,0.028058617967903526,0.12398814808762018,current_v7e_progress_profile_via_v7m_curves,1.0,0.99,0.689,0.088
