window,source,target,source_object,target_object,family_direction,T_pos_obs_raw,T_0_obs_raw,T_neg_obs_raw,n_relation_bootstrap,positive_peak_lag_obs,bootstrap_peak_lag_mode,bootstrap_peak_lag_mode_fraction,bootstrap_peak_lag_entropy,peak_lag_stability_label
S1,P_PC1,V_PC1,P,V,P→V,0.5364669301679688,0.7063346214191177,0.7928916583765704,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S1,P_PC1,H_PC1,P,H,P→H,0.1882658425867154,0.2654224075074346,0.2977741451575173,1000,1.0,1.0,0.941,0.2650264550053496,peak_lag_stable
S1,P_PC1,Je_PC1,P,Je,P→Je,0.34315059599559633,0.3514208976741253,0.3062080364070406,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S1,P_PC1,Jw_PC1,P,Jw,P→Jw,0.20484142186503668,0.11834794401050575,0.23669078477637437,1000,2.0,2.0,0.787,0.5747070933574204,peak_lag_stable
S1,V_PC1,P_PC1,V,P,V→P,0.7958867804773627,0.7063346214191173,0.5349014861802786,1000,1.0,1.0,0.998,0.014427214860176138,peak_lag_stable
S1,V_PC1,H_PC1,V,H,V→H,0.45073281343206095,0.4505749895826765,0.37561458918583396,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S1,V_PC1,Je_PC1,V,Je,V→Je,0.5331865299277914,0.4192485862665933,0.2946075810848431,1000,2.0,2.0,0.978,0.1057238877122028,peak_lag_stable
S1,V_PC1,Jw_PC1,V,Jw,V→Jw,0.22874621758988234,0.02978392785463848,0.3100439982002299,1000,4.0,4.0,0.756,0.6770839945738326,peak_lag_stable
S1,H_PC1,P_PC1,H,P,H→P,0.2989269985402613,0.2654224075074346,0.18858408435827356,1000,1.0,1.0,0.966,0.14838275729389522,peak_lag_stable
S1,H_PC1,V_PC1,H,V,H→V,0.3779884850594445,0.4505749895826765,0.45039278933675164,1000,1.0,1.0,0.997,0.020422924462179935,peak_lag_stable
S1,H_PC1,Je_PC1,H,Je,H→Je,0.8215041226318791,0.7738144128188811,0.6738479174570874,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S1,H_PC1,Jw_PC1,H,Jw,H→Jw,0.08852853323134766,0.07236716495816171,0.24620571593490545,1000,4.0,4.0,0.308,1.3894294995994776,peak_lag_unstable
S1,Je_PC1,P_PC1,Je,P,Je→P,0.3090251389078738,0.35142089767412515,0.34067965410225187,1000,1.0,1.0,0.998,0.014427214860176138,peak_lag_stable
S1,Je_PC1,V_PC1,Je,V,Je→V,0.29724666396250476,0.4192485862665933,0.5335344956017254,1000,1.0,1.0,0.995,0.03398107806185771,peak_lag_stable
S1,Je_PC1,H_PC1,Je,H,Je→H,0.67348586187537,0.7738144128188811,0.8214467203319312,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S1,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.1333944768019254,0.05804344828250237,0.3329749485872959,1000,3.0,2.0,0.443,1.2439846516994089,peak_lag_moderate
S1,Jw_PC1,P_PC1,Jw,P,Jw→P,0.2429093095594639,0.11834794401050575,0.1945796199049894,1000,5.0,5.0,0.945,0.23394650293058428,peak_lag_stable
S1,Jw_PC1,V_PC1,Jw,V,Jw→V,0.30423283555034913,0.02978392785463848,0.23155328975208206,1000,4.0,4.0,0.815,0.5463727499824488,peak_lag_stable
S1,Jw_PC1,H_PC1,Jw,H,Jw→H,0.25134955289506794,0.07236716495816171,0.08201900260887046,1000,4.0,4.0,0.825,0.5779870421514477,peak_lag_stable
