window,object,variable,n_bootstrap_requested,n_bootstrap_success,n_bootstrap_failed,pc1_explained_variance_ratio,pc1_singular_value,quality_flag_v3a,sign_reference_corr_abs_after_flip,bootstrap_loading_abs_corr_median,bootstrap_loading_abs_corr_p10,bootstrap_loading_abs_corr_p25,bootstrap_loading_abs_corr_p90,bootstrap_loading_sign_consistency,bootstrap_score_corr_median,bootstrap_score_corr_p10,bootstrap_explained_variance_median,pc1_mode_stability_label
S1,P,P_PC1,10,10,0,0.1855522473261639,7061.433043852398,pc1_low_variance,0.6264309226547231,0.26016606743210674,0.20888147696296488,0.21758259448696518,0.33012752467567263,0.2,0.9922988411171603,0.9214118261175543,0.18828973782736028,pc1_mode_unstable
S1,V,V_PC1,10,10,0,0.5058069804039994,5006.318768304369,pc1_good,0.9636992745904391,0.1142289951698379,0.08059327219574113,0.09548102089172368,0.14626598021317094,0.6,0.9998654941087415,0.9991544865823115,0.4995600893269847,pc1_mode_unstable
S1,H,H_PC1,10,10,0,0.6197226208206511,113740.1369565316,pc1_good,0.3104580996232486,0.7344625217118523,0.7271644080354303,0.7301730256295141,0.744370674348416,0.5,0.9999248961469702,0.9997884271024666,0.6268168520846256,pc1_mode_unstable
S1,Je,Je_PC1,10,10,0,0.4635688283819569,28544.947286201746,pc1_good,0.6775492275554494,0.511770199621973,0.4670344853403314,0.47712236068250335,0.607887817844852,0.4,0.9992403731130121,0.994355456800372,0.46444983850330746,pc1_mode_unstable
S1,Jw,Jw_PC1,10,10,0,0.3108868337452324,21246.046544842397,pc1_moderate;sign_reference_weak,0.10255400000212213,0.8249875043500652,0.6230312472491064,0.712961884434198,0.8685720862427041,0.6,0.9518010141725086,0.862644295187635,0.32754463251539656,pc1_mode_unstable
T1,P,P_PC1,10,10,0,0.24338306715701352,5874.784111142662,pc1_moderate,0.8472803815578415,0.02766562161427965,0.005748928839060348,0.010846247989952804,0.0585374908376279,0.4,0.9833324910473609,0.9718515392527567,0.2627365923331596,pc1_mode_unstable
T1,V,V_PC1,10,10,0,0.42017540538876336,2589.9483473710375,pc1_good,0.9584850989101019,0.09876665269191509,0.009227931492365534,0.016576241845858767,0.21267906524765604,0.6,0.9895155855643356,0.978047366764815,0.4353470691941092,pc1_mode_unstable
T1,H,H_PC1,10,10,0,0.6120363568866078,49346.85569293819,pc1_good,0.413290584858937,0.767059688811252,0.7333138948518027,0.7607475341971964,0.7954883837426971,0.8,0.9992758437117053,0.9983269115992572,0.6073462157854979,pc1_mode_moderate
T1,Je,Je_PC1,10,10,0,0.4653123748699067,13990.514783983906,pc1_good,0.7978817505860057,0.6474805914294872,0.521322358897248,0.5888561292547316,0.7398545520789984,0.6,0.9950470594494916,0.9842106758083523,0.445713032390186,pc1_mode_unstable
T1,Jw,Jw_PC1,10,10,0,0.3010365395489544,10083.22388887718,pc1_moderate,0.1751374587683178,0.17633866770549256,0.043070649998256445,0.06681076796425861,0.8030447390046977,0.4,0.9582078652175468,0.557812775592854,0.3442457852217752,pc1_mode_unstable
