window,source,target,source_object,target_object,family_direction,T_pos_obs_raw,T_0_obs_raw,T_neg_obs_raw,n_relation_bootstrap,D_pos_0_obs_raw,D_pos_0_bootstrap_mean,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,P_D_pos_0_lt_0,lag_vs_tau0_label
S1,P_PC1,V_PC1,P,V,P→V,0.5364669301679688,0.7063346214191177,0.7928916583765704,1000,-0.16986769125114898,-0.17158286971168546,-0.19563393178201402,-0.14706468217879745,-0.20005834236846856,-0.14298157543452347,0.0,1.0,stable_tau0_dominant
S1,P_PC1,H_PC1,P,H,P→H,0.1882658425867154,0.2654224075074346,0.2977741451575173,1000,-0.07715656492071923,-0.07474608591087574,-0.09725658509566237,-0.05356908937791482,-0.10126478243224965,-0.04230865769337039,0.01,0.99,stable_tau0_dominant
S1,P_PC1,Je_PC1,P,Je,P→Je,0.34315059599559633,0.3514208976741253,0.3062080364070406,1000,-0.00827030167852899,-0.008291040688873366,-0.0258516294325857,0.009305672835062239,-0.028862898934209708,0.012483365076909465,0.215,0.785,lag_tau0_close_uncertain
S1,P_PC1,Jw_PC1,P,Jw,P→Jw,0.20484142186503668,0.11834794401050575,0.23669078477637437,1000,0.08649347785453093,0.08790834434056527,0.05074982502346008,0.12644468648804905,0.04532557416608624,0.13615469290250598,1.0,0.0,stable_lag_dominant
S1,V_PC1,P_PC1,V,P,V→P,0.7958867804773627,0.7063346214191173,0.5349014861802786,1000,0.08955215905824543,0.09042767926199911,0.07747119815536203,0.10414672809136999,0.07586442927796878,0.10697893072427979,1.0,0.0,stable_lag_dominant
S1,V_PC1,H_PC1,V,H,V→H,0.45073281343206095,0.4505749895826765,0.37561458918583396,1000,0.00015782384938445304,0.00045002093537960876,-0.01778935737580765,0.02031701298191017,-0.022454739278480323,0.023566515727002458,0.507,0.493,lag_tau0_close_uncertain
S1,V_PC1,Je_PC1,V,Je,V→Je,0.5331865299277914,0.4192485862665933,0.2946075810848431,1000,0.11393794366119808,0.1147333163612752,0.07744118811616177,0.15070747425450906,0.07118432547459934,0.15599258105649333,1.0,0.0,stable_lag_dominant
S1,V_PC1,Jw_PC1,V,Jw,V→Jw,0.22874621758988234,0.02978392785463848,0.3100439982002299,1000,0.19896228973524385,0.18060184732448997,0.02765233664865607,0.28323196519525873,0.0056440441725111555,0.2907487542369211,0.978,0.022,stable_lag_dominant
S1,H_PC1,P_PC1,H,P,H→P,0.2989269985402613,0.2654224075074346,0.18858408435827356,1000,0.03350459103282666,0.03355476279647046,0.012729276329562129,0.05335039294752608,0.00956990535083809,0.05694033170614475,0.998,0.002,stable_lag_dominant
S1,H_PC1,V_PC1,H,V,H→V,0.3779884850594445,0.4505749895826765,0.45039278933675164,1000,-0.07258650452323201,-0.07373556222309602,-0.09572803351388295,-0.05160925557856292,-0.10034009656244207,-0.04779395949775952,0.0,1.0,stable_tau0_dominant
S1,H_PC1,Je_PC1,H,Je,H→Je,0.8215041226318791,0.7738144128188811,0.6738479174570874,1000,0.04768970981299803,0.0480167755631228,0.03746426955602576,0.05858853676848723,0.034827970149106616,0.0607583346481208,1.0,0.0,stable_lag_dominant
