window,source,target,source_object,target_object,source_family,target_family,family_direction,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,positive_peak_n_pairs,positive_peak_n_years,positive_peak_valid_year_fraction,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,sample_status,surrogate_mode,T_pos_obs,T_pos_null90,T_pos_null95,T_pos_null99,p_pos_surrogate,T_neg_obs,T_neg_null90,T_neg_null95,T_neg_null99,p_neg_surrogate,T_0_obs,T_0_null90,T_0_null95,T_0_null99,p_0_surrogate,S_pos,S_neg,S_0,strength_excess,strength_ratio,q_pos_global,q_pos_within_window
S1,P_PC1,V_PC1,P,V,P,V,P→V,1,0.5364669301679693,0.5364669301679693,1620,45,1.0,-1,0.7928916583765686,0.7928916583765686,0.706334621419118,0.706334621419118,ok,pooled_window_object_pc1_ar1,0.5364669301679693,0.1445124810205677,0.17346510722176964,0.2159996749277147,0.000999000999000999,0.7928916583765686,0.14191344261547437,0.16551535411329305,0.20695318358305637,0.000999000999000999,0.706334621419118,0.1307300600339411,0.15766883882991173,0.1939012420682903,0.000999000999000999,0.36300182294619965,0.6273763042632756,0.5486657825892063,0.36300182294619965,3.092650382316447,0.003909134343916952,0.001998001998001998
S1,P_PC1,H_PC1,P,H,P,H,P→H,1,0.1882658425867153,0.1882658425867153,1620,45,1.0,-1,0.2977741451575175,0.2977741451575175,0.26542240750743484,0.26542240750743484,ok,pooled_window_object_pc1_ar1,0.1882658425867153,0.15761536578141588,0.18644144082385508,0.23809152698805186,0.04795204795204795,0.2977741451575175,0.147811155704952,0.17406816179132548,0.21954656161408573,0.000999000999000999,0.26542240750743484,0.13950202460527736,0.1656676923455669,0.21625928099411568,0.002997002997002997,0.0018244017628602227,0.12370598336619201,0.09975471516186793,0.0018244017628602227,1.0097853875983713,0.08807519011600645,0.05328005328005328
S1,P_PC1,Je_PC1,P,Je,P,Je,P→Je,1,0.34315059599559605,0.34315059599559605,1620,45,1.0,-1,0.3062080364070405,0.3062080364070405,0.35142089767412515,0.35142089767412515,ok,pooled_window_object_pc1_ar1,0.34315059599559605,0.1499602490849417,0.18243955658341163,0.22801415240881695,0.000999000999000999,0.3062080364070405,0.1485054703802218,0.17275936065190103,0.21339752627494896,0.000999000999000999,0.35142089767412515,0.1402701292390468,0.16200957258586124,0.2047000048556627,0.000999000999000999,0.16071103941218443,0.13344867575513944,0.18941132508826392,0.16071103941218443,1.8809001864609725,0.003909134343916952,0.001998001998001998
S1,P_PC1,Jw_PC1,P,Jw,P,Jw,P→Jw,2,-0.2048414218650367,0.2048414218650367,1575,45,1.0,-5,0.23669078477637395,0.23669078477637395,-0.1183479440105059,0.1183479440105059,ok,pooled_window_object_pc1_ar1,0.2048414218650367,0.1513778578064919,0.17438375033020845,0.22060183276141396,0.024975024975024976,0.23669078477637395,0.14980702941347407,0.17104031661162897,0.21441645571028276,0.004995004995004995,0.1183479440105059,0.13982093623938957,0.16066233354433096,0.20280802773542433,0.18081918081918083,0.030457671534828257,0.06565046816474499,-0.04231438953382506,0.030457671534828257,1.1746588858030316,0.05288828818240583,0.029382382323558796
S1,V_PC1,P_PC1,V,P,V,P,V→P,1,0.7958867804773612,0.7958867804773612,1620,45,1.0,-1,0.534901486180279,0.534901486180279,0.706334621419118,0.706334621419118,ok,pooled_window_object_pc1_ar1,0.7958867804773612,0.14737621748515786,0.17377040177163622,0.21945890694016607,0.000999000999000999,0.534901486180279,0.14062954551261098,0.16783553256880426,0.2000456269441351,0.000999000999000999,0.706334621419118,0.1307300600339412,0.15766883882991173,0.19390124206829032,0.000999000999000999,0.6221163787057249,0.36706595361147476,0.5486657825892063,0.6221163787057249,4.580105543654617,0.003909134343916952,0.001998001998001998
S1,V_PC1,H_PC1,V,H,V,H,V→H,1,0.4507328134320611,0.4507328134320611,1620,45,1.0,-1,0.37561458918583385,0.37561458918583385,0.4505749895826762,0.4505749895826762,ok,pooled_window_object_pc1_ar1,0.4507328134320611,0.1486396205652341,0.1765793197127073,0.2295654380194087,0.000999000999000999,0.37561458918583385,0.14601283787975616,0.1738522192261048,0.21772499325412578,0.000999000999000999,0.4505749895826762,0.13297076099548585,0.1581103352209248,0.20147211558646386,0.000999000999000999,0.2741534937193538,0.20176236995972904,0.2924646543617514,0.2741534937193538,2.5525798500379246,0.003909134343916952,0.001998001998001998
S1,V_PC1,Je_PC1,V,Je,V,Je,V→Je,2,0.5331865299277909,0.5331865299277909,1575,45,1.0,-1,0.29460758108484303,0.29460758108484303,0.4192485862665938,0.4192485862665938,ok,pooled_window_object_pc1_ar1,0.5331865299277909,0.16000261297696128,0.1847441227835264,0.2521698646539712,0.000999000999000999,0.29460758108484303,0.15318447631133975,0.17782094970606546,0.23367140607055464,0.000999000999000999,0.4192485862665938,0.14126568995814323,0.16853137342357463,0.22549047992413712,0.000999000999000999,0.34844240714426455,0.11678663137877757,0.2507172128430192,0.34844240714426455,2.8860811477751382,0.003909134343916952,0.001998001998001998
S1,V_PC1,Jw_PC1,V,Jw,V,Jw,V→Jw,4,-0.22874621758988234,0.22874621758988234,1485,45,1.0,-4,0.31004399820022965,0.31004399820022965,0.029783927854638525,0.029783927854638525,ok,pooled_window_object_pc1_ar1,0.22874621758988234,0.15147222759347112,0.17650299163288968,0.21852896874397415,0.008991008991008992,0.31004399820022965,0.14772632126085022,0.1724915064238997,0.21031148602659885,0.000999000999000999,0.029783927854638525,0.13827796201164683,0.16337076366753067,0.2033751482693168,0.7432567432567433,0.052243225956992656,0.13755249177632994,-0.13358683581289216,0.052243225956992656,1.2959905975172017,0.022169611210707103,0.01198801198801199
S1,H_PC1,P_PC1,H,P,H,P,H→P,1,0.2989269985402612,0.2989269985402612,1620,45,1.0,-1,0.1885840843582734,0.1885840843582734,0.26542240750743484,0.26542240750743484,ok,pooled_window_object_pc1_ar1,0.2989269985402612,0.15226521633767073,0.18132803748324974,0.23505946324040963,0.002997002997002997,0.1885840843582734,0.14840348373035978,0.18245629442210823,0.22993899774737245,0.04295704295704296,0.26542240750743484,0.13950202460527736,0.16566769234556689,0.21625928099411576,0.002997002997002997,0.11759896105701148,0.006127789936165168,0.09975471516186796,0.11759896105701148,1.6485426230230653,0.009301043783802405,0.004610773841543072
S1,H_PC1,V_PC1,H,V,H,V,H→V,1,0.37798848505944466,0.37798848505944466,1620,45,1.0,-1,0.4503927893367516,0.4503927893367516,0.4505749895826762,0.4505749895826762,ok,pooled_window_object_pc1_ar1,0.37798848505944466,0.15418419674426923,0.17729113185370268,0.23433169788905814,0.000999000999000999,0.4503927893367516,0.1440249059572462,0.16876846589329106,0.21504780320496286,0.000999000999000999,0.4505749895826762,0.13297076099548585,0.1581103352209248,0.20147211558646386,0.000999000999000999,0.20069735320574197,0.28162432344346056,0.2924646543617514,0.20069735320574197,2.1320213882516903,0.003909134343916952,0.001998001998001998
