window,year,variable,audit_surrogate_mode,year_n_finite,year_nan_fraction,year_mean,year_std,pooled_raw_phi_before_clip,pooled_phi_used,pooled_phi_clip_amount,pooled_phi_clip_severity
S1,1979,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.21559041868327938,1.070240417256381,0.9241777444194619,0.9241777444194619,0.0,none
S1,1980,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.5681252010127692,1.274124271301328,0.9241777444194619,0.9241777444194619,0.0,none
S1,1981,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.4189914659979974,1.1763567771982173,0.9241777444194619,0.9241777444194619,0.0,none
S1,1982,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.02664624840534725,1.1058096907334067,0.9241777444194619,0.9241777444194619,0.0,none
S1,1983,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,1.0194337147365746,0.8262380803389747,0.9241777444194619,0.9241777444194619,0.0,none
S1,1984,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.2370037136460656,1.233585770237406,0.9241777444194619,0.9241777444194619,0.0,none
S1,1985,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.40535207682938645,0.9200008935733586,0.9241777444194619,0.9241777444194619,0.0,none
S1,1986,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.04896113766537274,1.1457254941301092,0.9241777444194619,0.9241777444194619,0.0,none
S1,1987,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.4801673177138856,0.7880539354655473,0.9241777444194619,0.9241777444194619,0.0,none
S1,1988,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.07547851617392616,0.8598442807428218,0.9241777444194619,0.9241777444194619,0.0,none
S1,1989,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.34688106911698857,0.9033089118180295,0.9241777444194619,0.9241777444194619,0.0,none
S1,1990,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.3703970505927766,0.7319784596554434,0.9241777444194619,0.9241777444194619,0.0,none
S1,1991,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.0624908413487647,0.7924973870762683,0.9241777444194619,0.9241777444194619,0.0,none
S1,1992,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.7318819155277213,0.9878333776513686,0.9241777444194619,0.9241777444194619,0.0,none
S1,1993,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.5877777496656236,0.8381876109036427,0.9241777444194619,0.9241777444194619,0.0,none
S1,1994,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.14690632443171342,0.9264056843648759,0.9241777444194619,0.9241777444194619,0.0,none
S1,1995,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.09451682285712018,1.1999711226262024,0.9241777444194619,0.9241777444194619,0.0,none
S1,1996,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.6749339027819897,1.1109950115592158,0.9241777444194619,0.9241777444194619,0.0,none
S1,1997,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.28541202226383344,0.7851509874875894,0.9241777444194619,0.9241777444194619,0.0,none
S1,1998,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.5454972580476998,0.985219296045347,0.9241777444194619,0.9241777444194619,0.0,none
S1,1999,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.4052591593213902,1.2557079924564312,0.9241777444194619,0.9241777444194619,0.0,none
S1,2000,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.47254973238259396,1.1753314379021933,0.9241777444194619,0.9241777444194619,0.0,none
S1,2001,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.021385658665801492,1.084757850361643,0.9241777444194619,0.9241777444194619,0.0,none
S1,2002,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.4144901395850144,0.6415676734687141,0.9241777444194619,0.9241777444194619,0.0,none
S1,2003,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.292781152811276,0.9204953286288242,0.9241777444194619,0.9241777444194619,0.0,none
S1,2004,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.023197255100066577,0.6739024646441143,0.9241777444194619,0.9241777444194619,0.0,none
S1,2005,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.28474456722489067,0.7723730708550033,0.9241777444194619,0.9241777444194619,0.0,none
S1,2006,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.1937422272071538,1.1468869697579742,0.9241777444194619,0.9241777444194619,0.0,none
S1,2007,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.7670910856430847,0.9614578929545414,0.9241777444194619,0.9241777444194619,0.0,none
S1,2008,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-1.1237201510434944,1.151244705030802,0.9241777444194619,0.9241777444194619,0.0,none
S1,2009,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-1.2376113712599364,1.1653237131274792,0.9241777444194619,0.9241777444194619,0.0,none
S1,2010,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.5732931824763297,1.067144936904092,0.9241777444194619,0.9241777444194619,0.0,none
S1,2011,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,-0.6773390445715887,0.7639381782256074,0.9241777444194619,0.9241777444194619,0.0,none
S1,2012,P_PC1,pooled_phi_yearwise_scale_ar1,47,0.04081632653061229,0.25509531997203666,0.7133683096164799,0.9241777444194619,0.9241777444194619,0.0,none
