window,source,target,source_object,target_object,family_direction,T_pos_obs_raw,T_0_obs_raw,T_neg_obs_raw,n_relation_bootstrap,D_pos_neg_obs_raw,D_pos_neg_bootstrap_mean,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,P_D_pos_neg_lt_0,direction_vs_reverse_label
S1,P_PC1,V_PC1,P,V,P→V,0.5364669301679688,0.7063346214191177,0.7928916583765704,1000,-0.2564247282086016,-0.25901085843336946,-0.29710982827483656,-0.22205581472648533,-0.3030552245443224,-0.21534306498843014,0.0,1.0,reverse_competitive
S1,P_PC1,H_PC1,P,H,P→H,0.1882658425867154,0.2654224075074346,0.2977741451575173,1000,-0.10950830257080194,-0.10711707499331234,-0.14796068560551995,-0.06504183307056136,-0.1562331355491738,-0.05928218957781043,0.003,0.997,reverse_competitive
S1,P_PC1,Je_PC1,P,Je,P→Je,0.34315059599559633,0.3514208976741253,0.3062080364070406,1000,0.036942559588555746,0.03753558142508835,0.004712918985635717,0.07101131603427564,0.0006019913415892087,0.07524223894920878,0.977,0.023,stable_forward_over_reverse
S1,P_PC1,Jw_PC1,P,Jw,P→Jw,0.20484142186503668,0.11834794401050575,0.23669078477637437,1000,-0.03184936291133769,-0.02667046576589953,-0.1827257114788925,0.133236482845767,-0.2079815367846363,0.1453735596478692,0.387,0.613,mixed_forward_reverse_unstable
S1,V_PC1,P_PC1,V,P,V→P,0.7958867804773627,0.7063346214191173,0.5349014861802786,1000,0.26098529429708417,0.2634411988542073,0.2293511513429137,0.2963676206109432,0.2248399247923916,0.30337616693785296,1.0,0.0,stable_forward_over_reverse
S1,V_PC1,H_PC1,V,H,V→H,0.45073281343206095,0.4505749895826765,0.37561458918583396,1000,0.075118224246227,0.0764719749734723,0.036439289553826776,0.11778101035831702,0.029658487616903054,0.12409095040379302,0.998,0.002,stable_forward_over_reverse
S1,V_PC1,Je_PC1,V,Je,V→Je,0.5331865299277914,0.4192485862665933,0.2946075810848431,1000,0.23857894884294828,0.23981143701154842,0.18632854414241262,0.28923765508978994,0.1786457666344671,0.2985982872516595,1.0,0.0,stable_forward_over_reverse
S1,V_PC1,Jw_PC1,V,Jw,V→Jw,0.22874621758988234,0.02978392785463848,0.3100439982002299,1000,-0.08129778061034754,-0.0766372473928432,-0.23701654651185625,0.0791207274500071,-0.2605226229371505,0.1202180699877659,0.219,0.781,mixed_forward_reverse_unstable
S1,H_PC1,P_PC1,H,P,H→P,0.2989269985402613,0.2654224075074346,0.18858408435827356,1000,0.11034291418198772,0.10917822835980334,0.06910112901013457,0.14833087701328096,0.06225661579162916,0.15572136400728656,1.0,0.0,stable_forward_over_reverse
S1,H_PC1,V_PC1,H,V,H→V,0.3779884850594445,0.4505749895826765,0.45039278933675164,1000,-0.07240430427730715,-0.07386370264805109,-0.11584561281022471,-0.03429385050501751,-0.12261070065745505,-0.025994296507050246,0.002,0.998,reverse_competitive
S1,H_PC1,Je_PC1,H,Je,H→Je,0.8215041226318791,0.7738144128188811,0.6738479174570874,1000,0.14765620517479172,0.14923436405653553,0.12342531851358396,0.1762152895132195,0.11845965228794615,0.1814301610294946,1.0,0.0,stable_forward_over_reverse
S1,H_PC1,Jw_PC1,H,Jw,H→Jw,0.08852853323134766,0.07236716495816171,0.24620571593490545,1000,-0.1576771827035578,-0.12458863490611628,-0.2516418702669131,0.05441955867074242,-0.26729160193204765,0.08626792433670963,0.129,0.871,mixed_forward_reverse_unstable
S1,Je_PC1,P_PC1,Je,P,Je→P,0.3090251389078738,0.35142089767412515,0.34067965410225187,1000,-0.03165451519437806,-0.03229251687174441,-0.06870349090207356,0.001748655699749337,-0.0759736787333017,0.01014224927123372,0.057,0.943,mixed_forward_reverse_unstable
S1,Je_PC1,V_PC1,Je,V,Je→V,0.29724666396250476,0.4192485862665933,0.5335344956017254,1000,-0.23628783163922062,-0.23776686429713595,-0.28785405728050567,-0.18529334448407747,-0.296333739088375,-0.1753421296049551,0.0,1.0,reverse_competitive
S1,Je_PC1,H_PC1,Je,H,Je→H,0.67348586187537,0.7738144128188811,0.8214467203319312,1000,-0.14796085845656126,-0.14956044921541856,-0.1766188225712312,-0.1233361134011116,-0.18200869901455552,-0.11783210853038627,0.0,1.0,reverse_competitive
S1,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.1333944768019254,0.05804344828250237,0.3329749485872959,1000,-0.19958047178537053,-0.1845062150844368,-0.3730418118513612,0.012863743428476456,-0.39131994842390727,0.04594535059671986,0.066,0.934,mixed_forward_reverse_unstable
S1,Jw_PC1,P_PC1,Jw,P,Jw→P,0.2429093095594639,0.11834794401050575,0.1945796199049894,1000,0.04832968965447451,0.04467378459574464,-0.1152822883853825,0.20424598083437812,-0.13119676754544657,0.22450101274449302,0.671,0.329,mixed_forward_reverse_unstable
S1,Jw_PC1,V_PC1,Jw,V,Jw→V,0.30423283555034913,0.02978392785463848,0.23155328975208206,1000,0.07267954579826708,0.06877919780608645,-0.09335222936830839,0.2320146055777188,-0.12883707809783387,0.260507351425548,0.75,0.25,mixed_forward_reverse_unstable
S1,Jw_PC1,H_PC1,Jw,H,Jw→H,0.25134955289506794,0.07236716495816171,0.08201900260887046,1000,0.16933055028619748,0.13528127320647437,-0.05115347254616871,0.27036921866609953,-0.08761907191231205,0.2830364564169677,0.882,0.118,mixed_forward_reverse_unstable
S1,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.32062658225877877,0.05804344828250237,0.12622541104060445,1000,0.19440117121817432,0.18045883294864967,-0.02776718194052766,0.3738149926543999,-0.05526167148306055,0.3917976807616672,0.926,0.074,mixed_forward_reverse_unstable
T1,P_PC1,V_PC1,P,V,P→V,0.6912627603927487,0.7732333443067643,0.786888776540931,1000,-0.09562601614818234,-0.1032502866608888,-0.166909918246981,-0.05240963777590299,-0.1828042764754999,-0.04495032624077127,0.0,1.0,reverse_competitive
T1,P_PC1,H_PC1,P,H,P→H,0.36825867927322586,0.44160767859445305,0.4951688894238405,1000,-0.12691021015061466,-0.13706071331484065,-0.22995950951974914,-0.05982114084804385,-0.24976250404541409,-0.04708927531103273,0.0,1.0,reverse_competitive
T1,P_PC1,Je_PC1,P,Je,P→Je,0.3260915382413239,0.3141155044015984,0.2754049982214566,1000,0.05068654001986733,0.04512483493889186,-0.030079085214723106,0.12022081501466175,-0.06149949015625332,0.1394478940757908,0.853,0.147,mixed_forward_reverse_unstable
T1,P_PC1,Jw_PC1,P,Jw,P→Jw,0.07475828040964624,0.027145546675444852,0.232164306016889,1000,-0.15740602560724276,-0.10468165489118574,-0.3472940311094904,0.14115120476942047,-0.38274386363354024,0.19402168066120504,0.252,0.748,mixed_forward_reverse_unstable
