window,object,variable,n_years,n_days_train,n_days_extended,n_samples_train,n_gridpoints_total,n_gridpoints_used,grid_used_fraction,pc1_explained_variance_ratio,pc1_singular_value,eof_weighting,sign_reference_variable,sign_reference_corr_abs_after_flip,sign_flipped,pc1_score_train_mean,pc1_score_train_std,quality_flag,notes
T4,P,P_PC1,45,10,30,450,13041,13041,1.0,0.15577663551215148,5753.248509697361,sqrt_cos_lat,P_total_centroid_lat_10_50,0.5172314732593175,False,3.031649005909761e-15,271.2107356705605,pc1_low_variance,
T4,V,V_PC1,45,10,30,450,6561,6561,1.0,0.3131270126277282,2605.931944669677,sqrt_cos_lat,V_NS_diff,0.975854335903302,False,3.031649005909761e-14,122.84480995910495,pc1_moderate,
T4,H,H_PC1,45,10,30,450,14641,14641,1.0,0.3915909915617282,36240.02530569332,sqrt_cos_lat,H_centroid_lat,0.4784652662424947,False,1.940255363782247e-13,1708.371176268524,pc1_good,
T4,Je,Je_PC1,45,10,30,450,14641,14641,1.0,0.3260982037813249,11380.782393625313,sqrt_cos_lat,Je_axis_lat,0.8384094490626629,False,0.0,536.4952270493948,pc1_moderate,
T4,Jw,Jw_PC1,45,10,30,450,14641,14641,1.0,0.5025799259818532,13456.315616329766,sqrt_cos_lat,Jw_axis_lat,0.7183992331708318,False,8.892837084001965e-14,634.3368014728812,pc1_good,
S5,P,P_PC1,45,19,29,855,13041,13041,1.0,0.16794694205724015,8041.032915246975,sqrt_cos_lat,P_total_centroid_lat_10_50,0.6268303259770167,False,7.133291778611202e-15,290.72415860656906,pc1_low_variance,
S5,V,V_PC1,45,19,29,855,6561,6561,1.0,0.31613402362360277,3649.464077331438,sqrt_cos_lat,V_NS_diff,0.9460670698583076,False,8.32217374171307e-15,131.94665218137476,pc1_moderate,
S5,H,H_PC1,45,19,29,855,14641,14641,1.0,0.5034785659330451,58814.41790044027,sqrt_cos_lat,H_centroid_lat,0.7155572215051287,False,3.8044222819259744e-13,2126.4397669133846,pc1_good,
S5,Je,Je_PC1,45,19,29,855,14641,14641,1.0,0.37907655275790103,16849.47937434545,sqrt_cos_lat,Je_axis_lat,0.7029968482382947,True,1.5217689127703896e-13,609.1942124471274,pc1_good,
S5,Jw,Jw_PC1,45,19,29,855,14641,14641,1.0,0.47858748982741334,15855.962140501628,sqrt_cos_lat,Jw_axis_lat,0.6638287245424318,True,8.559950134333442e-14,573.2735210490491,pc1_good,
