window,source,target,source_object,target_object,family_direction,lag,n_pairs,n_years_used,valid_year_fraction,r,signed_r,abs_r,eff_n,p_effn,same_year_only,target_window_rule,sample_status
S1,P_PC1,V_PC1,P,V,P→V,-10,1665,45,1.0,0.10376513941039311,0.10376513941039311,0.10376513941039311,133.72206721896532,0.23378256783213103,True,True,ok
S1,P_PC1,H_PC1,P,H,P→H,-10,1665,45,1.0,-0.03185636786514202,-0.03185636786514202,0.03185636786514202,112.97072469476832,0.73824296704683,True,True,ok
S1,P_PC1,Je_PC1,P,Je,P→Je,-10,1665,45,1.0,0.01461885611130623,0.01461885611130623,0.01461885611130623,108.19234407732318,0.8808068068493069,True,True,ok
S1,P_PC1,Jw_PC1,P,Jw,P→Jw,-10,1665,45,1.0,0.10558106479394484,0.10558106479394484,0.10558106479394484,108.19234407732318,0.2770698230330644,True,True,ok
S1,V_PC1,P_PC1,V,P,V→P,-10,1665,45,1.0,0.12482925141511998,0.12482925141511998,0.12482925141511998,133.72206721896532,0.15137177989285244,True,True,ok
S1,V_PC1,H_PC1,V,H,V→H,-10,1665,45,1.0,-0.030092373682309447,-0.030092373682309447,0.030092373682309447,115.68189550668095,0.7493229601936022,True,True,ok
S1,V_PC1,Je_PC1,V,Je,V→Je,-10,1665,45,1.0,0.010492943972467318,0.010492943972467318,0.010492943972467318,110.90456592929338,0.9132011552438037,True,True,ok
S1,V_PC1,Jw_PC1,V,Jw,V→Jw,-10,1665,45,1.0,0.13096447719696244,0.13096447719696244,0.13096447719696244,110.90456592929338,0.17122439098086817,True,True,ok
S1,H_PC1,P_PC1,H,P,H→P,-10,1665,45,1.0,0.08331323605721325,0.08331323605721325,0.08331323605721325,112.97072469476832,0.38118759815818004,True,True,ok
S1,H_PC1,V_PC1,H,V,H→V,-10,1665,45,1.0,0.1633489045307015,0.1633489045307015,0.1633489045307015,115.68189550668095,0.08017854184684925,True,True,ok
S1,H_PC1,Je_PC1,H,Je,H→Je,-10,1665,45,1.0,0.18350292379414604,0.18350292379414604,0.18350292379414604,90.11474405694612,0.0832108898567212,True,True,ok
