year,day,window,object,variable,pc1_score,is_target_window_day,is_padding_day
1979,1,S1,P,P_PC1,,True,False
1979,2,S1,P,P_PC1,,True,False
1979,3,S1,P,P_PC1,0.5106088874296068,True,False
1979,4,S1,P,P_PC1,0.22654992840003663,True,False
1979,5,S1,P,P_PC1,0.33532229610762027,True,False
1979,6,S1,P,P_PC1,0.2554793351762209,True,False
1979,7,S1,P,P_PC1,0.5333475109911966,True,False
1979,8,S1,P,P_PC1,0.345619199677719,True,False
1979,9,S1,P,P_PC1,-0.2768167549741907,True,False
1979,10,S1,P,P_PC1,-0.22718769215750373,True,False
1979,11,S1,P,P_PC1,-0.36599287981331263,True,False
1979,12,S1,P,P_PC1,-0.6527420998337657,True,False
1979,13,S1,P,P_PC1,-0.6301332672603795,True,False
1979,14,S1,P,P_PC1,-0.6004321387978695,True,False
1979,15,S1,P,P_PC1,-0.8211393699042631,True,False
1979,16,S1,P,P_PC1,-0.34669064010033307,True,False
1979,17,S1,P,P_PC1,-0.4265019269419419,True,False
1979,18,S1,P,P_PC1,-0.7522447437912422,True,False
1979,19,S1,P,P_PC1,-0.9263001895985922,True,False
1979,20,S1,P,P_PC1,-1.1522047064786232,True,False
1979,21,S1,P,P_PC1,-1.3627551420857278,True,False
1979,22,S1,P,P_PC1,-1.0705428057752502,True,False
1979,23,S1,P,P_PC1,-0.541336218117921,True,False
1979,24,S1,P,P_PC1,-0.3100304178971014,True,False
1979,25,S1,P,P_PC1,0.03401246286899874,True,False
1979,26,S1,P,P_PC1,-0.11980982235379795,True,False
1979,27,S1,P,P_PC1,-0.03573967441061112,True,False
1979,28,S1,P,P_PC1,0.5369309225618564,True,False
1979,29,S1,P,P_PC1,1.027908359398614,True,False
1979,30,S1,P,P_PC1,0.7502639251071174,True,False
1979,31,S1,P,P_PC1,1.0763800158546164,True,False
1979,32,S1,P,P_PC1,0.818871908874213,True,False
1979,33,S1,P,P_PC1,0.48758406796875253,True,False
1979,34,S1,P,P_PC1,0.6028053361922692,True,False
