window_id,mode,pc_phase,object_A,object_B,peak_A,peak_B,delta_B_minus_A,tau_sync_primary_used,order_label,n_years_in_group,years_in_group
W045,2,low,P,Je,47.0,50.0,3.0,3.0,same_day_or_near,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,P,Jw,47.0,49.0,2.0,3.0,same_day_or_near,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,V,H,44.0,44.0,0.0,3.0,same_day_or_near,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,V,Je,44.0,50.0,6.0,3.0,A_earlier,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,V,Jw,44.0,49.0,5.0,3.0,A_earlier,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,H,Je,44.0,50.0,6.0,3.0,A_earlier,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,H,Jw,44.0,49.0,5.0,3.0,A_earlier,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,2,low,Je,Jw,50.0,49.0,-1.0,3.0,same_day_or_near,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,3,high,P,V,42.0,46.0,4.0,3.0,A_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,P,H,42.0,31.0,-11.0,3.0,B_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,P,Je,42.0,48.0,6.0,3.0,A_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,P,Jw,42.0,40.0,-2.0,3.0,same_day_or_near,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,V,H,46.0,31.0,-15.0,3.0,B_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,V,Je,46.0,48.0,2.0,3.0,same_day_or_near,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,V,Jw,46.0,40.0,-6.0,3.0,B_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,H,Je,31.0,48.0,17.0,3.0,A_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,H,Jw,31.0,40.0,9.0,3.0,A_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,high,Je,Jw,48.0,40.0,-8.0,3.0,B_earlier,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,low,P,V,39.0,37.0,-2.0,3.0,same_day_or_near,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,P,H,39.0,43.0,4.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,P,Je,39.0,49.0,10.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,P,Jw,39.0,41.0,2.0,3.0,same_day_or_near,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,V,H,37.0,43.0,6.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,V,Je,37.0,49.0,12.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,V,Jw,37.0,41.0,4.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,H,Je,43.0,49.0,6.0,3.0,A_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,H,Jw,43.0,41.0,-2.0,3.0,same_day_or_near,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W045,3,low,Je,Jw,49.0,41.0,-8.0,3.0,B_earlier,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
