replicate_id,replicate_kind,point_id,point_day,month_day,point_role_group,point_role_detail,is_headline_primary,neighbor_group_id,matched_candidate_id,matched_candidate_kind,nearest_peak_day,nearest_peak_score,day_offset,match_type,matched_flag,strict_match_flag,near_support_flag,no_match_flag,ambiguous_match,match_confidence_class
0,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,44.0,6.229902609142303,-1.0,strict_match,True,True,False,False,False,high_confidence
0,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,82.0,10.613924003306003,1.0,strict_match,True,True,False,False,False,high_confidence
0,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,114.0,10.715881430147164,1.0,strict_match,True,True,False,False,False,high_confidence
0,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,,,,,,no_match,False,False,False,True,False,no_match
0,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,,,,,,no_match,False,False,False,True,False,no_match
0,bootstrap,RP005,160,09-08,formal_primary,headline_primary,True,,RP004,formal_primary,163.0,8.74969231338544,3.0,matched_point,True,False,False,False,False,moderate_confidence
1,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,43.0,7.77178922946298,-2.0,strict_match,True,True,False,False,False,high_confidence
1,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,77.0,13.387272685699102,-4.0,matched_point,True,False,False,False,False,moderate_confidence
1,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113.0,11.45187727770097,0.0,strict_match,True,True,False,False,False,high_confidence
1,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP005,formal_primary,133.0,5.117564658934013,1.0,strict_match,True,True,False,False,True,ambiguous
1,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,133.0,5.117564658934013,-2.0,strict_match,True,True,False,False,True,ambiguous
1,bootstrap,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,161.0,7.809150808052667,1.0,strict_match,True,True,False,False,False,high_confidence
2,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45.0,7.960635858838331,0.0,strict_match,True,True,False,False,False,high_confidence
2,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,76.0,10.026331204030843,-5.0,near_support_only,False,False,True,False,False,near_only
2,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,112.0,11.861810639408718,-1.0,strict_match,True,True,False,False,False,high_confidence
2,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,132.0,6.591128437916307,0.0,strict_match,True,True,False,False,True,ambiguous
2,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,132.0,6.591128437916307,-3.0,matched_point,True,False,False,False,True,ambiguous
2,bootstrap,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,159.0,4.99535739170474,-1.0,strict_match,True,True,False,False,False,high_confidence
3,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45.0,6.587774617520926,0.0,strict_match,True,True,False,False,False,high_confidence
3,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,RP003,formal_primary,84.0,11.584607952517862,3.0,matched_point,True,False,False,False,False,moderate_confidence
3,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,,,,,,no_match,False,False,False,True,False,no_match
3,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP005,formal_primary,137.0,5.279601181319453,5.0,near_support_only,False,False,True,False,False,near_only
3,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,137.0,5.279601181319453,2.0,strict_match,True,True,False,False,False,high_confidence
3,bootstrap,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,161.0,11.567599330021398,1.0,strict_match,True,True,False,False,False,high_confidence
4,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,41.0,5.015570846416682,-4.0,matched_point,True,False,False,False,False,moderate_confidence
4,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,,,,,,no_match,False,False,False,True,False,no_match
4,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,114.0,12.726232138469758,1.0,strict_match,True,True,False,False,False,high_confidence
4,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,137.0,6.662563706585314,5.0,near_support_only,False,False,True,False,False,near_only
4,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,137.0,6.662563706585314,2.0,strict_match,True,True,False,False,False,high_confidence
4,bootstrap,RP005,160,09-08,formal_primary,headline_primary,True,,RP005,formal_primary,163.0,10.812173427790338,3.0,matched_point,True,False,False,False,False,moderate_confidence
5,bootstrap,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,46.0,4.265562537054566,1.0,strict_match,True,True,False,False,False,high_confidence
5,bootstrap,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,83.0,9.922754764146658,2.0,strict_match,True,True,False,False,False,high_confidence
5,bootstrap,RP003,113,07-23,formal_primary,headline_primary,True,,RP003,formal_primary,112.0,8.138031753106254,-1.0,strict_match,True,True,False,False,False,high_confidence
5,bootstrap,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,RP004,formal_primary,139.0,4.894621340832291,7.0,near_support_only,False,False,True,False,False,near_only
5,bootstrap,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP004,formal_primary,139.0,4.894621340832291,4.0,matched_point,True,False,False,False,False,moderate_confidence
