window_id,object_A,object_B,v9_baseline_order,A_earlier_rate_across_configs,B_earlier_rate_across_configs,same_or_near_rate_across_configs,order_switch_flag,order_stability_class,smooth9_A_earlier_rate,smooth5_A_earlier_rate,smooth_sensitivity_order_flag
W045,P,V,same_or_near,0.3055555555555556,0.0,0.6944444444444444,True,order_moderately_sensitive,0.4444444444444444,0.16666666666666666,False
W045,P,H,H_earlier,0.1111111111111111,0.7916666666666666,0.09722222222222222,True,order_stable,0.08333333333333333,0.1388888888888889,False
W045,P,Je,same_or_near,0.16666666666666666,0.7361111111111112,0.09722222222222222,True,order_moderately_sensitive,0.16666666666666666,0.16666666666666666,False
W045,P,Jw,Jw_earlier,0.6666666666666666,0.1388888888888889,0.19444444444444445,True,order_moderately_sensitive,0.5833333333333334,0.75,False
W045,V,H,H_earlier,0.1111111111111111,0.8194444444444444,0.06944444444444445,True,order_stable,0.08333333333333333,0.1388888888888889,False
W045,V,Je,same_or_near,0.18055555555555555,0.7361111111111112,0.08333333333333333,True,order_moderately_sensitive,0.1388888888888889,0.2222222222222222,False
W045,V,Jw,Jw_earlier,0.5,0.027777777777777776,0.4722222222222222,True,order_moderately_sensitive,0.4166666666666667,0.5833333333333334,False
W045,H,Je,H_earlier,0.375,0.4722222222222222,0.1527777777777778,True,order_highly_sensitive,0.5,0.25,False
W045,H,Jw,H_earlier,0.8611111111111112,0.08333333333333333,0.05555555555555555,True,order_stable,0.8611111111111112,0.8611111111111112,False
W045,Je,Jw,Jw_earlier,0.7916666666666666,0.125,0.08333333333333333,True,order_stable,0.75,0.8333333333333334,False
W081,P,V,V_earlier,0.1527777777777778,0.4305555555555556,0.4166666666666667,True,order_highly_sensitive,0.3055555555555556,0.0,True
W081,P,H,H_earlier,0.0,1.0,0.0,False,order_stable,0.0,0.0,False
W081,P,Je,same_or_near,0.08333333333333333,0.3055555555555556,0.6111111111111112,True,order_moderately_sensitive,0.08333333333333333,0.08333333333333333,False
W081,P,Jw,same_or_near,0.0,0.375,0.625,True,order_moderately_sensitive,0.0,0.0,False
W081,V,H,H_earlier,0.3333333333333333,0.5833333333333334,0.08333333333333333,True,order_moderately_sensitive,0.4166666666666667,0.25,False
W081,V,Je,same_or_near,0.4166666666666667,0.4027777777777778,0.18055555555555555,True,order_highly_sensitive,0.4166666666666667,0.4166666666666667,False
W081,V,Jw,V_earlier,0.05555555555555555,0.0,0.9444444444444444,True,order_stable,0.1111111111111111,0.0,False
W081,H,Je,H_earlier,0.8472222222222222,0.0,0.1527777777777778,True,order_stable,1.0,0.6944444444444444,True
W081,H,Jw,H_earlier,0.625,0.20833333333333334,0.16666666666666666,True,order_moderately_sensitive,0.6666666666666666,0.5833333333333334,False
W081,Je,Jw,Je_earlier,0.2638888888888889,0.375,0.3611111111111111,True,order_highly_sensitive,0.2777777777777778,0.25,False
W113,P,V,same_or_near,0.6111111111111112,0.0,0.3888888888888889,True,order_moderately_sensitive,0.7222222222222222,0.5,False
W113,P,H,P_earlier,0.18055555555555555,0.027777777777777776,0.7916666666666666,True,order_stable,0.3055555555555556,0.05555555555555555,False
W113,P,Je,Je_earlier,0.4861111111111111,0.4722222222222222,0.041666666666666664,True,order_highly_sensitive,0.5555555555555556,0.4166666666666667,False
W113,P,Jw,Jw_earlier,0.2916666666666667,0.4722222222222222,0.2361111111111111,True,order_highly_sensitive,0.25,0.3333333333333333,False
W113,V,H,same_or_near,0.0,0.5694444444444444,0.4305555555555556,True,order_moderately_sensitive,0.0,0.0,False
W113,V,Je,Je_earlier,0.0,0.7638888888888888,0.2361111111111111,True,order_stable,0.0,0.0,False
W113,V,Jw,Jw_earlier,0.041666666666666664,0.9583333333333334,0.0,True,order_stable,0.0,0.08333333333333333,False
W113,H,Je,Je_earlier,0.4444444444444444,0.5555555555555556,0.0,True,order_moderately_sensitive,0.5277777777777778,0.3611111111111111,False
W113,H,Jw,Jw_earlier,0.25,0.75,0.0,True,order_stable,0.2222222222222222,0.2777777777777778,False
W113,Je,Jw,Jw_earlier,0.125,0.5,0.375,True,order_moderately_sensitive,0.16666666666666666,0.08333333333333333,False
W160,P,V,P_earlier,0.7916666666666666,0.0,0.20833333333333334,True,order_stable,1.0,0.5833333333333334,True
W160,P,H,H_earlier,0.8194444444444444,0.09722222222222222,0.08333333333333333,True,order_stable,0.8055555555555556,0.8333333333333334,False
W160,P,Je,P_earlier,0.7916666666666666,0.0,0.20833333333333334,True,order_stable,1.0,0.5833333333333334,True
W160,P,Jw,Jw_earlier,0.6527777777777778,0.09722222222222222,0.25,True,order_moderately_sensitive,0.7222222222222222,0.5833333333333334,False
W160,V,H,H_earlier,0.6666666666666666,0.18055555555555555,0.1527777777777778,True,order_moderately_sensitive,0.5833333333333334,0.75,False
W160,V,Je,same_or_near,0.2916666666666667,0.20833333333333334,0.5,True,order_moderately_sensitive,0.3333333333333333,0.25,False
W160,V,Jw,Jw_earlier,0.3333333333333333,0.4305555555555556,0.2361111111111111,True,order_highly_sensitive,0.3333333333333333,0.3333333333333333,False
W160,H,Je,H_earlier,0.2638888888888889,0.6111111111111112,0.125,True,order_moderately_sensitive,0.2777777777777778,0.25,False
W160,H,Jw,Jw_earlier,0.25,0.4722222222222222,0.2777777777777778,True,order_highly_sensitive,0.25,0.25,False
W160,Je,Jw,Jw_earlier,0.041666666666666664,0.2222222222222222,0.7361111111111112,True,order_moderately_sensitive,0.0,0.08333333333333333,False
