window_id,v9_baseline_sequence,most_common_sequence,most_common_sequence_frequency,n_unique_sequences,smooth9_most_common_sequence,smooth5_most_common_sequence,front_object_set,front_object_stability,last_object_set,sequence_switch_flag,sequence_stability_class
W045,H -> Jw -> P/V/Je,Je -> H -> P/V -> Jw,0.20833333333333334,22,H -> Je -> P -> Jw/V,Je -> H -> P/V -> Jw,H;H/Je;H/Jw/P/V;H/P;H/P/V;Je;Je/H;Jw/P/V/Je;Jw/V/P/Je/H;P/V,front_sensitive,H;H/Jw;Je;Je/Jw;Je/Jw/V;Jw;Jw/P/V;Jw/V;Jw/V/P;Jw/V/P/Je/H;P/V/Je;V,True,sequence_highly_sensitive
W081,H -> V/Je/P/Jw,H -> Je/P/Jw/V,0.1527777777777778,15,H -> Je/P/Jw/V,H/Je -> Jw/P/V,H;H/Je;Jw/V;Jw/V/H;V;V/Jw/H,front_sensitive,Je;Je/P;Je/P/Jw;Je/P/Jw/V;Jw/P/V;P;P/Je;P/Je/Jw/V;P/V/Je/Jw;V/Je/P/Jw,True,sequence_highly_sensitive
W113,Jw -> Je -> P/V/H,Je/Jw -> H/P/V,0.25,13,Je/Jw -> H/P/V,Je/Jw -> H/P/V,H;H/P;Je;Je/Jw;Je/P/Jw;Jw;Jw/Je;Jw/P/H;P;P/Jw,front_sensitive,H/P/V;H/V;Je/V;Jw;P/V/H;V,True,sequence_highly_sensitive
W160,Jw -> H -> P -> V/Je,P -> V/Je/Jw -> H,0.125,13,P/Jw -> Je/V -> H,P -> V/Je/Jw -> H,H;H/P;Je/Jw/P/V/H;Jw;P;P/Jw,front_sensitive,H;H/Je/Jw;H/Jw;Je/Jw;Je/Jw/H;Je/Jw/P/V;Je/Jw/P/V/H;Je/Jw/V/H;V;V/Je,True,sequence_highly_sensitive
