window_id,object,v9_baseline_peak_day,v9_baseline_peak_date,peak_day_min,peak_day_max,peak_day_range,peak_day_iqr,peak_day_std,n_unique_peak_days,n_unique_selected_candidates,most_frequent_peak_day,most_frequent_peak_date,most_frequent_candidate_id,baseline_candidate_selection_rate,smooth9_median_peak,smooth5_median_peak,delta_smooth5_minus_smooth9,band_start_min,band_start_max,band_end_min,band_end_max,candidate_switch_flag,early_late_switch_flag,smooth_sensitive_flag,band_start_range,band_end_range,band_width_range,peak_day_stability_class,band_stability_class
W045,H,35,5月6日,17.0,48.0,31.0,8.0,8.838037988884057,16,5,38,5月9日,CP005,0.1388888888888889,33.5,38.0,4.5,5.0,40.0,25.0,58.0,True,True,False,35.0,33.0,35.0,peak_day_rule_sensitive,band_highly_sensitive
W045,Je,46,5月17日,26.0,74.0,48.0,15.0,9.151310227133568,15,5,32,5月3日,CP003,0.3055555555555556,33.0,35.0,2.0,14.0,62.0,36.0,74.0,True,True,False,48.0,38.0,48.0,peak_day_rule_sensitive,band_highly_sensitive
W045,Jw,41,5月12日,41.0,74.0,33.0,5.25,9.736181572459174,7,5,48,5月19日,CP001,0.4027777777777778,48.0,48.0,0.0,31.0,66.0,50.0,74.0,True,True,False,35.0,24.0,35.0,peak_day_rule_sensitive,band_highly_sensitive
W045,P,45,5月16日,42.0,45.0,3.0,1.0,0.724595834676596,4,1,43,5月14日,CP001,1.0,43.0,43.0,0.0,30.0,36.0,52.0,55.0,False,False,False,6.0,3.0,6.0,stable_peak_day,band_moderately_sensitive
W045,V,45,5月16日,43.0,74.0,31.0,1.0,10.485812756795681,6,4,43,5月14日,CP001,0.5138888888888888,44.0,43.0,-1.0,31.0,66.0,51.0,74.0,True,True,False,35.0,23.0,35.0,peak_day_rule_sensitive,band_highly_sensitive
W081,H,77,6月17日,77.0,79.0,2.0,1.0,0.493304148356369,3,1,78,6月18日,CP001,1.0,79.0,78.0,-1.0,66.0,70.0,86.0,91.0,False,False,False,4.0,5.0,5.0,stable_peak_day,band_moderately_sensitive
W081,Je,81,6月21日,79.0,107.0,28.0,3.0,7.32702193194727,5,2,81,6月21日,CP001,0.75,81.0,83.0,2.0,69.0,99.0,87.0,107.0,True,True,False,30.0,20.0,30.0,peak_day_rule_sensitive,band_highly_sensitive
W081,Jw,83,6月23日,75.0,83.0,8.0,5.0,2.889155970559953,6,3,82,6月22日,CP002,0.3888888888888889,82.0,81.0,-1.0,64.0,74.0,83.0,95.0,True,True,False,10.0,12.0,12.0,peak_day_rule_sensitive,band_highly_sensitive
W081,P,82,6月22日,81.0,82.0,1.0,1.0,0.4695334480544922,2,1,82,6月22日,CP001,1.0,81.0,82.0,1.0,69.0,74.0,90.0,94.0,False,False,False,5.0,4.0,5.0,stable_peak_day,band_moderately_sensitive
W081,V,80,6月20日,76.0,83.0,7.0,5.0,2.913965885712905,5,3,82,6月22日,CP001,0.4305555555555556,82.0,82.0,0.0,64.0,74.0,84.0,95.0,True,False,False,10.0,11.0,11.0,peak_day_moderately_sensitive,band_highly_sensitive
