config_id,smoothing,detector_scale,detector_width,band_half_width,search_mode,selection_rule
smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,narrow,16,8,narrow_search,baseline_rule
smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,narrow,16,8,narrow_search,max_score
smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,narrow,16,8,narrow_search,closest_anchor
smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,narrow,16,8,narrow_search,max_overlap
smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,narrow,16,8,baseline_search,baseline_rule
smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,narrow,16,8,baseline_search,max_score
smooth9__narrow_w16_b8__baseline_search__closest_anchor,smooth9,narrow,16,8,baseline_search,closest_anchor
smooth9__narrow_w16_b8__baseline_search__max_overlap,smooth9,narrow,16,8,baseline_search,max_overlap
smooth9__narrow_w16_b8__wide_search__baseline_rule,smooth9,narrow,16,8,wide_search,baseline_rule
smooth9__narrow_w16_b8__wide_search__max_score,smooth9,narrow,16,8,wide_search,max_score
smooth9__narrow_w16_b8__wide_search__closest_anchor,smooth9,narrow,16,8,wide_search,closest_anchor
smooth9__narrow_w16_b8__wide_search__max_overlap,smooth9,narrow,16,8,wide_search,max_overlap
smooth9__baseline_w20_b10__narrow_search__baseline_rule,smooth9,baseline,20,10,narrow_search,baseline_rule
smooth9__baseline_w20_b10__narrow_search__max_score,smooth9,baseline,20,10,narrow_search,max_score
smooth9__baseline_w20_b10__narrow_search__closest_anchor,smooth9,baseline,20,10,narrow_search,closest_anchor
smooth9__baseline_w20_b10__narrow_search__max_overlap,smooth9,baseline,20,10,narrow_search,max_overlap
smooth9__baseline_w20_b10__baseline_search__baseline_rule,smooth9,baseline,20,10,baseline_search,baseline_rule
smooth9__baseline_w20_b10__baseline_search__max_score,smooth9,baseline,20,10,baseline_search,max_score
smooth9__baseline_w20_b10__baseline_search__closest_anchor,smooth9,baseline,20,10,baseline_search,closest_anchor
smooth9__baseline_w20_b10__baseline_search__max_overlap,smooth9,baseline,20,10,baseline_search,max_overlap
smooth9__baseline_w20_b10__wide_search__baseline_rule,smooth9,baseline,20,10,wide_search,baseline_rule
smooth9__baseline_w20_b10__wide_search__max_score,smooth9,baseline,20,10,wide_search,max_score
