window_id,object,v9_original_peak_day,sensitivity_baseline_peak_day,match_flag,delta_day,v9_original_selected_candidate_id,sensitivity_selected_candidate_id,note
W045,P,45,45,True,0,CP001,CP001,
W045,V,45,45,True,0,CP001,CP001,
W045,H,35,35,True,0,CP002,CP002,
W045,Je,46,46,True,0,CP001,CP001,
W045,Jw,41,41,True,0,CP001,CP001,
W081,P,82,82,True,0,CP001,CP001,
W081,V,80,80,True,0,CP001,CP001,
W081,H,77,77,True,0,CP001,CP001,
W081,Je,81,81,True,0,CP001,CP001,
W081,Jw,83,83,True,0,CP001,CP001,
W113,P,113,113,True,0,CP001,CP001,
W113,V,114,114,True,0,CP001,CP001,
W113,H,115,115,True,0,CP001,CP001,
W113,Je,111,111,True,0,CP001,CP001,
W113,Jw,104,104,True,0,CP001,CP001,
W160,P,158,158,True,0,CP001,CP001,
W160,V,161,161,True,0,CP001,CP001,
W160,H,155,155,True,0,CP001,CP001,
W160,Je,162,162,True,0,CP001,CP001,
W160,Jw,152,152,True,0,CP002,CP002,
