field_a,field_b,involves_H,median_delta_duration_b_minus_a,q05_delta_duration,q95_delta_duration,pass90_duration_difference,median_delta_finish_b_minus_a,q05_delta_finish,q95_delta_finish,pass90_finish_difference,median_delta_midpoint_to_finish_b_minus_a,q05_delta_midpoint_to_finish,q95_delta_midpoint_to_finish,pass90_tail_difference,H_minus_other_duration_median,H_minus_other_duration_q05,H_minus_other_duration_q95,H_duration_longer_pass90,H_minus_other_finish_median,H_minus_other_finish_q05,H_minus_other_finish_q95,H_finish_later_pass90,H_minus_other_tail_median,H_minus_other_tail_q05,H_minus_other_tail_q95,H_tail_longer_pass90,broad_transition_label,finish_tail_label,interpretation
P,V,False,1.0,-2.0,4.0,False,2.0,0.0,4.0,False,0.0,-2.0,3.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
P,H,True,6.0,-3.0,12.0,False,4.0,-8.049999999999997,9.0,False,2.0,-2.0,12.049999999999955,False,6.0,-3.0,12.0,False,4.0,-8.049999999999997,9.0,False,2.0,-2.0,12.049999999999955,False,H_duration_longer_median;H_post_midpoint_tail_longer_median;H_finish_later_median,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
P,Je,False,0.0,-3.0,4.0,False,4.0,-1.0,8.0,False,1.0,-2.0,4.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
P,Jw,False,2.0,-2.0,7.0,False,2.0,-3.0,6.0,False,1.0,-1.0,5.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
V,H,True,6.0,-5.0,12.0,False,2.0,-11.0,8.0,False,2.0,-2.0,12.0,False,6.0,-5.0,12.0,False,2.0,-11.0,8.0,False,2.0,-2.0,12.0,False,H_duration_longer_median;H_post_midpoint_tail_longer_median;H_finish_later_median,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
V,Je,False,0.0,-5.0,4.0,False,2.0,-4.0,7.0,False,1.0,-3.0,4.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
V,Jw,False,1.0,-3.0,7.0,False,0.0,-6.0,5.0,False,1.0,-2.0,5.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
H,Je,True,-5.0,-13.0,4.0,False,1.0,-6.0,12.0,False,-2.0,-12.0,3.0,False,5.0,-4.0,13.0,False,-1.0,-12.0,6.0,False,2.0,-3.0,12.0,False,H_duration_longer_median;H_post_midpoint_tail_longer_median,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
H,Jw,True,-3.0,-10.0,7.0,False,-1.0,-9.0,10.0,False,-1.0,-11.0,4.0,False,3.0,-7.0,10.0,False,1.0,-10.0,9.0,False,1.0,-4.0,11.0,False,H_duration_longer_median;H_post_midpoint_tail_longer_median;H_finish_later_median,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
Je,Jw,False,2.0,-3.0,7.0,False,-2.0,-7.0,3.0,False,0.0,-3.0,5.0,False,,,,False,,,,False,,,,False,no_H_specific_broad_label,finish_tail_difference_not_confirmed,Duration/finish-tail shape comparison only; not a field-order or causal test. H-specific pass90 columns require H-other 90% interval to be positive.
