window_id,anchor_day,field,observed_onset,observed_midpoint,observed_finish,observed_duration,observed_onset_to_midpoint,observed_midpoint_to_finish,pre_post_separation_label,progress_quality_label,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,observed_shape_label,observed_shape_interpretation
W002,45,P,40.0,44.0,46.0,7.0,4.0,2.0,clear_separation,monotonic_clear_progress,0.9400306325884952,1,1,1,marker_tie_transition,No unique marker is preferred; do not promote tied onset/midpoint/finish widths to a field-order marker.
W002,45,V,41.0,45.0,48.0,8.0,4.0,3.0,clear_separation,monotonic_clear_progress,0.968685451120468,1,1,1,marker_tie_transition,No unique marker is preferred; do not promote tied onset/midpoint/finish widths to a field-order marker.
W002,45,H,37.0,39.0,52.0,16.0,2.0,13.0,clear_separation,monotonic_clear_progress,0.9316510872445772,1,1,1,early_onset_broad_transition,Onset is the unique preferred/stablest marker and the completion or post-midpoint phase is broader.
W002,45,Je,44.0,46.0,51.0,8.0,2.0,5.0,clear_separation,monotonic_clear_progress,0.9492876804163842,1,1,1,marker_tie_transition,No unique marker is preferred; do not promote tied onset/midpoint/finish widths to a field-order marker.
W002,45,Jw,39.0,44.0,48.0,10.0,5.0,4.0,clear_separation,monotonic_clear_progress,0.979239067138154,1,1,1,early_onset_broad_transition,Onset is the unique preferred/stablest marker and the completion or post-midpoint phase is broader.
