window_id,object_A,object_B,v9_baseline_order,A_earlier_rate_across_configs,B_earlier_rate_across_configs,same_or_near_rate_across_configs,order_switch_flag,order_stability_class,smooth9_A_earlier_rate,smooth5_A_earlier_rate,smooth_sensitivity_order_flag
W045,P,V,same_or_near,0.3055555555555556,0.0,0.6944444444444444,True,order_moderately_sensitive,0.4444444444444444,0.16666666666666666,False
W045,P,H,H_earlier,0.1111111111111111,0.7916666666666666,0.09722222222222222,True,order_stable,0.08333333333333333,0.1388888888888889,False
W045,P,Je,same_or_near,0.16666666666666666,0.7361111111111112,0.09722222222222222,True,order_moderately_sensitive,0.16666666666666666,0.16666666666666666,False
W045,P,Jw,Jw_earlier,0.6666666666666666,0.1388888888888889,0.19444444444444445,True,order_moderately_sensitive,0.5833333333333334,0.75,False
W045,V,H,H_earlier,0.1111111111111111,0.8194444444444444,0.06944444444444445,True,order_stable,0.08333333333333333,0.1388888888888889,False
W045,V,Je,same_or_near,0.18055555555555555,0.7361111111111112,0.08333333333333333,True,order_moderately_sensitive,0.1388888888888889,0.2222222222222222,False
W045,V,Jw,Jw_earlier,0.5,0.027777777777777776,0.4722222222222222,True,order_moderately_sensitive,0.4166666666666667,0.5833333333333334,False
W045,H,Je,H_earlier,0.375,0.4722222222222222,0.1527777777777778,True,order_highly_sensitive,0.5,0.25,False
W045,H,Jw,H_earlier,0.8611111111111112,0.08333333333333333,0.05555555555555555,True,order_stable,0.8611111111111112,0.8611111111111112,False
W045,Je,Jw,Jw_earlier,0.7916666666666666,0.125,0.08333333333333333,True,order_stable,0.75,0.8333333333333334,False
