window_id,mode,object,explained_variance_ratio,object_eof_energy_fraction
W113,1,P,0.10222354813980769,0.08195837024237614
W113,1,V,0.10222354813980769,0.17315017382510267
W113,1,H,0.10222354813980769,0.43779263349204994
W113,1,Je,0.10222354813980769,0.17058473286599524
W113,1,Jw,0.10222354813980769,0.13651408957447603
W113,2,P,0.08076332781617086,0.10349945455224398
W113,2,V,0.08076332781617086,0.08298553722713187
W113,2,H,0.08076332781617086,0.23810419467953578
W113,2,Je,0.08076332781617086,0.3178444432370082
W113,2,Jw,0.08076332781617086,0.2575663703040802
W113,3,P,0.07690151078884755,0.15065717703715523
W113,3,V,0.07690151078884755,0.21192158341470624
W113,3,H,0.07690151078884755,0.2627935415720764
W113,3,Je,0.07690151078884755,0.19217336396256657
W113,3,Jw,0.07690151078884755,0.18245433401349564
W113,4,P,0.05566679970444744,0.12524815782931414
W113,4,V,0.05566679970444744,0.25570521143949854
W113,4,H,0.05566679970444744,0.2985776076160741
W113,4,Je,0.05566679970444744,0.1499341257989587
W113,4,Jw,0.05566679970444744,0.1705348973161545
