window_id,mode,object_A,object_B,full_sample_order_direction,full_sample_order_probability,full_sample_order_level,pc_high_order_direction,pc_high_order_probability,pc_high_order_level,pc_mid_order_direction,pc_mid_order_probability,pc_mid_order_level,pc_low_order_direction,pc_low_order_probability,pc_low_order_level,opposite_order_between_pc_high_low,group_internal_stabilization,mode_stability_status,eof_explains_peak_order_instability,recommended_interpretation
W113,1,H,Je,B_earlier,0.914914914914915,usable_90,B_earlier,0.944,usable_90,A_earlier,0.47,unresolved,B_earlier,0.824,unresolved,False,True,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,H,Jw,B_earlier,0.961,credible_95,B_earlier,0.824,unresolved,A_earlier,0.686,unresolved,B_earlier,0.788,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,Je,Jw,B_earlier,0.7067067067067067,unresolved,B_earlier,0.61,unresolved,A_earlier,0.652,unresolved,B_earlier,0.528,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,P,H,A_earlier,0.71,unresolved,A_earlier,0.788,unresolved,B_earlier,0.536,unresolved,A_earlier,0.514,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,P,Je,B_earlier,0.6666666666666666,unresolved,B_earlier,0.724,unresolved,B_earlier,0.488,unresolved,B_earlier,0.79,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,P,Jw,B_earlier,0.856,unresolved,B_earlier,0.69,unresolved,A_earlier,0.688,unresolved,B_earlier,0.89,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,P,V,A_earlier,0.598,unresolved,A_earlier,0.648,unresolved,A_earlier,0.718,unresolved,B_earlier,0.694,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,V,H,A_earlier,0.474,unresolved,A_earlier,0.618,unresolved,B_earlier,0.796,unresolved,A_earlier,0.758,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,1,V,Je,B_earlier,0.7777777777777778,unresolved,B_earlier,0.944,usable_90,B_earlier,0.696,unresolved,B_earlier,0.568,unresolved,False,True,caution_mode,partial_eof_mode_hint,PC phase has some relation to peak/order instability; hypothesis-generating only
W113,1,V,Jw,B_earlier,0.922,usable_90,B_earlier,0.794,unresolved,A_earlier,0.498,unresolved,B_earlier,0.59,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W113,2,H,Je,B_earlier,0.914914914914915,usable_90,B_earlier,0.752,unresolved,B_earlier,0.942,usable_90,A_earlier,0.576,unresolved,True,True,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,H,Jw,B_earlier,0.961,credible_95,B_earlier,0.672,unresolved,B_earlier,0.586,unresolved,A_earlier,0.49,unresolved,True,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,Je,Jw,B_earlier,0.7067067067067067,unresolved,A_earlier,0.472,unresolved,B_earlier,0.56,unresolved,B_earlier,0.604,unresolved,True,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,P,H,A_earlier,0.71,unresolved,A_earlier,0.788,unresolved,B_earlier,0.684,unresolved,B_earlier,0.508,unresolved,True,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,P,Je,B_earlier,0.6666666666666666,unresolved,A_earlier,0.524,unresolved,B_earlier,0.838,unresolved,A_earlier,0.55,unresolved,False,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,P,Jw,B_earlier,0.856,unresolved,A_earlier,0.6,unresolved,B_earlier,0.68,unresolved,B_earlier,0.558,unresolved,True,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,P,V,A_earlier,0.598,unresolved,B_earlier,0.492,unresolved,B_earlier,0.608,unresolved,B_earlier,0.5691382765531062,unresolved,False,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,V,H,A_earlier,0.474,unresolved,A_earlier,0.598,unresolved,B_earlier,0.39,unresolved,A_earlier,0.6332665330661322,unresolved,False,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,V,Je,B_earlier,0.7777777777777778,unresolved,A_earlier,0.466,unresolved,B_earlier,0.856,unresolved,A_earlier,0.5390781563126252,unresolved,False,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
W113,2,V,Jw,B_earlier,0.922,usable_90,A_earlier,0.524,unresolved,B_earlier,0.588,unresolved,B_earlier,0.48897795591182364,unresolved,True,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
