field,support_type,marker_phase,support_feature_ids,support_feature_coordinates,coordinate_min,coordinate_max,coordinate_median,coordinate_iqr,coordinate_concentration_label,physical_region_interpretation_allowed,interpretation
H,H_early_support,t10,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t15,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t20,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t25,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t30,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t35,0;1;2;3;4;5;6;7;8;9;10,0;1;2;3;4;5;6;7;8;9;10,0.0,10.0,5.0,5.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t40,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,0.0,9.0,5.0,4.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t45,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,0.0,9.0,5.0,4.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
H,H_early_support,t50,0;1;3;4;5;6;7;8,0;1;3;4;5;6;7;8,0.0,8.0,4.5,3.75,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
Jw,Jw_catchup_support,t50,4,4,4.0,4.0,4.0,0.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
Jw,Jw_catchup_support,t75,4;5;9;10,4;5;9;10,4.0,10.0,7.0,4.5,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
Jw,Jw_catchup_support,duration_25_75,1;2;3;4;5;6;10,1;2;3;4;5;6;10,1.0,10.0,4.0,3.0,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
Jw,Jw_catchup_support,tail_50_75,2;3;4;8;9;10,2;3;4;8;9;10,2.0,10.0,6.0,5.5,coordinate_spread_or_insufficient,False,Feature metadata insufficient for physical-region interpretation; coordinate concentration is feature-index diagnostic only.
