window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,mode,phase_group,phase_group_size,years_in_phase_group,group_role,pc_group_order_best_direction,pc_group_order_best_probability,pc_group_order_evidence_level
W045,P,V,48.0,47.0,-1.0,1.0,-6.0,14.0,0.536,0.32,0.144,A_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.536,unresolved
W045,P,H,48.0,38.0,-10.0,-4.0,-14.0,9.524999999999977,0.274,0.686,0.04,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.686,unresolved
W045,P,Je,48.0,44.0,-4.0,-3.0,-9.0,9.0,0.294,0.682,0.024,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.682,unresolved
W045,P,Jw,48.0,45.0,-3.0,-1.0,-7.0,10.0,0.264,0.614,0.122,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.614,unresolved
W045,V,H,47.0,38.0,-9.0,-6.0,-14.0,6.0,0.228,0.748,0.024,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.748,unresolved
W045,V,Je,47.0,44.0,-3.0,-4.0,-10.524999999999999,7.0,0.23,0.73,0.04,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.73,unresolved
W045,V,Jw,47.0,45.0,-2.0,-2.0,-8.0,3.0,0.158,0.702,0.14,B_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.702,unresolved
W045,H,Je,38.0,44.0,6.0,3.0,-10.0,11.0,0.646,0.316,0.038,A_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.646,unresolved
W045,H,Jw,38.0,45.0,7.0,4.0,-7.0,11.0,0.672,0.3,0.028,A_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.672,unresolved
W045,Je,Jw,44.0,45.0,1.0,2.0,-7.524999999999999,6.0,0.626,0.292,0.082,A_peak_earlier_tendency,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.626,unresolved
W045,P,V,45.0,43.0,-2.0,-1.0,-10.0,6.0,0.182,0.686,0.132,B_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.686,unresolved
W045,P,H,45.0,33.0,-12.0,-1.0,-17.0,10.0,0.394,0.542,0.064,B_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.542,unresolved
W045,P,Je,45.0,46.0,1.0,2.0,-7.0,7.0,0.74,0.152,0.108,A_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.74,unresolved
W045,P,Jw,45.0,41.0,-4.0,-4.0,-9.0,5.0,0.162,0.81,0.028,B_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,B_earlier,0.81,unresolved
W045,V,H,43.0,33.0,-10.0,1.0,-15.0,11.0,0.502,0.472,0.026,A_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.502,unresolved
W045,V,Je,43.0,46.0,3.0,3.0,-6.0,9.0,0.874,0.106,0.02,A_peak_earlier_tendency,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak,A_earlier,0.874,unresolved
