window_id,mode,target_type,target_name,target_metric,corr_pc_with_influence_score,spearman_pc_with_influence_score,n_years,relationship_status
W045,3,object_peak_year_influence,H,presence_effect_on_early_probability,-0.17373014927508845,-0.1729907773386034,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,H,presence_effect_on_late_probability,-0.25210047025783866,-0.21726670850747032,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,H,high_count_effect_on_peak_day,0.02791173713150106,0.04123847167325428,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Je,presence_effect_on_peak_day,0.0026588433679807094,-0.04097496706192358,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Je,presence_effect_on_early_probability,0.10899127348126744,0.1654808959156785,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Je,presence_effect_on_late_probability,-0.036689026210983106,-0.06363636363636363,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Je,high_count_effect_on_peak_day,-0.02223898681162996,-0.02872200263504611,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Jw,presence_effect_on_peak_day,-0.07263237368784202,-0.097364953886693,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Jw,presence_effect_on_early_probability,-0.047350156414164145,-0.1354413702239789,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Jw,presence_effect_on_late_probability,-0.15660228471753898,-0.12859025032938076,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,Jw,high_count_effect_on_peak_day,-0.06952105481335491,-0.05191040843214756,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,P,presence_effect_on_peak_day,-0.2007564869780183,-0.15217391304347824,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,P,presence_effect_on_early_probability,0.18425043826615645,0.1437417654808959,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,P,presence_effect_on_late_probability,-0.15588379418854253,-0.15125164690382079,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,P,high_count_effect_on_peak_day,-0.19349044114101455,-0.1287220026350461,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,V,presence_effect_on_peak_day,-0.24680549338957164,-0.2595520421607378,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,V,presence_effect_on_early_probability,0.2558556772119245,0.3378129117259552,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,V,presence_effect_on_late_probability,-0.2214357207187145,-0.2000065879407762,45,diagnostic_only_not_physical_type
W045,3,object_peak_year_influence,V,high_count_effect_on_peak_day,-0.22533836134811963,-0.2424242424242424,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,H,presence_effect_on_peak_day,-0.05588157315882023,-0.13241106719367587,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,H,presence_effect_on_early_probability,-0.0926953713390732,-0.09025032938076415,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,H,presence_effect_on_late_probability,-0.03677698805571562,0.028393557115439574,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,H,high_count_effect_on_peak_day,0.011318997894417203,-0.0909090909090909,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Je,presence_effect_on_peak_day,0.09045795771060564,0.05151515151515151,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Je,presence_effect_on_early_probability,-0.1042888705437717,-0.1201581027667984,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Je,presence_effect_on_late_probability,0.13008923306896794,0.08853754940711461,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Je,high_count_effect_on_peak_day,0.1538093103571844,0.1416337285902503,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Jw,presence_effect_on_peak_day,0.261641900291899,0.24901185770750986,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Jw,presence_effect_on_early_probability,-0.34679096546187177,-0.27206851119894593,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Jw,presence_effect_on_late_probability,0.15399536490982849,0.16337285902503293,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,Jw,high_count_effect_on_peak_day,0.24475147188911156,0.23873517786561263,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,P,presence_effect_on_peak_day,0.30165497777078654,0.1955204216073781,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,P,presence_effect_on_early_probability,-0.30341402479409246,-0.19025032938076414,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,P,presence_effect_on_late_probability,0.27663272910906317,0.13583662714097494,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,P,high_count_effect_on_peak_day,0.25079264578557386,0.16693017127799734,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,V,presence_effect_on_peak_day,0.3026558589332961,0.2602108036890645,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,V,presence_effect_on_early_probability,-0.21534393185879305,-0.17812911725955202,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,V,presence_effect_on_late_probability,0.3219629773674658,0.2270167002779693,45,diagnostic_only_not_physical_type
W045,4,object_peak_year_influence,V,high_count_effect_on_peak_day,0.2605113346378356,0.19960474308300394,45,diagnostic_only_not_physical_type
