window_id,mode,target,target_type,influence_group,years,n_years,pc_score_mean,pc_score_min,pc_score_max,pc_phase_concentration,overlap_status
W045,3,H,object_peak,push_late_peak,1981;1983;1985;2011;2013;2017;2019;2022,8,0.051529897380519316,-1.0517644894267435,1.0054379079943376,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,3,Je,object_peak,push_early_peak,1981;1991;1997;1998;2001;2002;2003;2011;2016;2017;2023,11,0.05180907067459422,-1.0517644894267435,1.039100402296449,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,3,Je,object_peak,push_late_peak,1980;1983;1984;1987;1989;1990;1992;1993;1996;1999;2004;2006;2009;2013;2015;2022,16,-0.09614181977616346,-0.8863602484626262,1.0054379079943376,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,3,Jw,object_peak,push_early_peak,1979;1981;1982;1984;1985;1989;1992;1993;1995;1997;2000;2003;2004;2014;2016;2022,16,0.11555759722236282,-0.7477584595225136,1.29833181353713,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,3,Jw,object_peak,push_late_peak,1980;1983;1986;1987;1988;1991;1994;1996;1999;2001;2007;2008;2017;2018;2019;2021;2023,17,-0.014884300116827601,-1.162993374691623,1.1389157412580089,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,3,P,object_peak,push_early_peak,1979;1981;1986;1987;1991;1992;1995;1998;2000;2001;2002;2006;2008;2011;2012;2017;2022;2023,18,0.19907180739059147,-1.0517644894267435,1.29833181353713,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,3,P,object_peak,push_late_peak,1982;1983;1984;1985;1989;1993;1994;1997;1999;2005;2007;2009;2015;2019;2021,15,-0.08326063759627694,-1.162993374691623,1.0054379079943376,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,3,V,object_peak,push_early_peak,1979;1981;1995;2000;2001;2002;2004;2008;2011;2012;2013;2014;2019;2022,14,0.24053626334257835,-1.0517644894267435,1.29833181353713,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,3,V,object_peak,push_late_peak,1980;1982;1985;1988;1989;1991;1993;1994;1996;2003;2009;2010;2016;2018,14,-0.1391445426732644,-0.8022216580640673,1.039100402296449,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,H,object_peak,push_early_peak,1982;1990;1991;1992;1995;1999;2000;2005;2006;2008;2009;2015,12,0.20355743042542898,-0.43848115826040696,1.3035303232961395,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,4,H,object_peak,push_late_peak,1981;1983;1985;2011;2013;2017;2019;2022,8,-0.10338676826926646,-0.737865731245272,1.5373783446694795,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,Je,object_peak,push_early_peak,1981;1991;1997;1998;2001;2002;2003;2011;2016;2017;2023,11,-0.08440253403170098,-0.5516341652163882,0.5072178501980912,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,Je,object_peak,push_late_peak,1980;1983;1984;1987;1989;1990;1992;1993;1996;1999;2004;2006;2009;2013;2015;2022,16,0.061637843865228574,-0.7142516043634823,1.3035303232961395,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,4,Jw,object_peak,push_early_peak,1979;1981;1982;1984;1985;1989;1992;1993;1995;1997;2000;2003;2004;2014;2016;2022,16,-0.052389671459355816,-0.5812550680851711,1.5373783446694795,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,Jw,object_peak,push_late_peak,1980;1983;1986;1987;1988;1991;1994;1996;1999;2001;2007;2008;2017;2018;2019;2021;2023,17,-0.0029640329613766993,-0.737865731245272,0.9706400112854974,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,P,object_peak,push_early_peak,1979;1981;1986;1987;1991;1992;1995;1998;2000;2001;2002;2006;2008;2011;2012;2017;2022;2023,18,-0.08289476218595043,-0.5812550680851711,0.6442019073523723,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,P,object_peak,push_late_peak,1982;1983;1984;1985;1989;1993;1994;1997;1999;2005;2007;2009;2015;2019;2021,15,0.1984961781171359,-0.737865731245272,1.5373783446694795,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,4,V,object_peak,push_early_peak,1979;1981;1995;2000;2001;2002;2004;2008;2011;2012;2013;2014;2019;2022,14,-0.16547656822906034,-0.737865731245272,0.6442019073523723,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,4,V,object_peak,push_late_peak,1980;1982;1985;1988;1989;1991;1993;1994;1996;2003;2009;2010;2016;2018,14,0.1849835150967349,-0.7142516043634823,1.5373783446694795,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Je,pairwise_order,push_H_earlier,1990;1995;1996;1999;2005;2009,6,-0.36539662616214796,-0.9742422099796194,0.30860230776034997,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Je,pairwise_order,push_Je_earlier,1981;2023,2,0.11641584527664689,-0.5930634085211349,0.8258950990744287,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Je,pairwise_order,reduce_H_earlier,1983;2011;2017,3,0.30131276992714623,-0.3443915366708217,1.0030580858352518,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Je,pairwise_order,reduce_Je_earlier,1992,1,-0.8042366828879267,-0.8042366828879267,-0.8042366828879267,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Jw,pairwise_order,push_H_earlier,1992;1995;1999;2005;2009,5,-0.3660369817070458,-0.9742422099796194,0.30860230776034997,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Jw,pairwise_order,push_Jw_earlier,1981;1983;2011;2016;2017;2020,6,0.3367543867722261,-0.5930634085211349,1.4652412434520952,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,H-Jw,pairwise_order,reduce_Jw_earlier,1991;1994;2014,3,0.4408422418593401,-0.06232404789191255,1.1251381320481582,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,Je-Jw,pairwise_order,push_Je_earlier,1991;2007;2008;2011;2017;2023,6,0.07633654838269864,-0.7711982865450704,1.1251381320481582,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,Je-Jw,pairwise_order,push_Jw_earlier,1985;2004,2,-0.18323423773040887,-0.5390786458495339,0.17261017038871615,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
