window_id,mode,object,explained_variance_ratio,object_eof_energy_fraction
W045,1,P,0.0996204240801242,0.10110078329631236
W045,1,V,0.0996204240801242,0.09478966826105323
W045,1,H,0.0996204240801242,0.5218940484951573
W045,1,Je,0.0996204240801242,0.19698187497444053
W045,1,Jw,0.0996204240801242,0.08523362497303653
W045,2,P,0.087377413995489,0.13323039091532043
W045,2,V,0.087377413995489,0.2272286456583601
W045,2,H,0.087377413995489,0.17688261593632582
W045,2,Je,0.087377413995489,0.21732602698395867
W045,2,Jw,0.087377413995489,0.24533232050603507
W045,3,P,0.08021873567800561,0.11030590406477725
W045,3,V,0.08021873567800561,0.2456412194311882
W045,3,H,0.08021873567800561,0.34000329070362717
W045,3,Je,0.08021873567800561,0.2148042249338708
W045,3,Jw,0.08021873567800561,0.08924536086653655
W045,4,P,0.056591249968855915,0.16909714409048465
W045,4,V,0.056591249968855915,0.11396220693135625
W045,4,H,0.056591249968855915,0.26072275858519073
W045,4,Je,0.056591249968855915,0.3060549972558587
W045,4,Jw,0.056591249968855915,0.15016289313710965
