window_id,mode,year,pc_score,pc_score_z
W081,1,1979,-0.87334961050783,-1.3173683516897003
W081,1,1980,0.6110577175969769,0.9217249181000029
W081,1,1981,0.08165490977513284,0.1231689951007003
W081,1,1982,-1.4218340216068022,-2.1447071354750404
W081,1,1983,-0.3539186626693525,-0.5338540713401603
W081,1,1984,-0.23872883828360342,-0.36010071156681234
W081,1,1985,-0.7778820357560419,-1.1733642093881462
W081,1,1986,-0.6669906355490646,-1.0060946310319092
W081,1,1987,0.38379340237658466,0.5789173955023933
W081,1,1988,0.26884620758270134,0.40553002037215
W081,1,1989,0.1601122721178405,0.2415147810995453
W081,1,1990,0.07162984413583184,0.10804709656438831
W081,1,1991,1.1997839021949888,1.809764752398979
W081,1,1992,-1.7100334987927959,-2.5794298005456535
W081,1,1993,-0.44816279148215543,-0.6760127568617139
W081,1,1994,0.19033402228570795,0.2871015389394797
W081,1,1995,0.03950560176513754,0.05959060249604571
W081,1,1996,0.2562128691166185,0.3864737798114835
W081,1,1997,-1.2353275914502564,-1.8633791706844087
W081,1,1998,0.7867989479349354,1.18681455934873
W081,1,1999,0.2680749086041732,0.4043665861050726
W081,1,2000,0.02671069146152474,0.040290645532777766
W081,1,2001,-0.16279488353843952,-0.2455612561226744
W081,1,2002,-0.6836138956147514,-1.0311693049642756
W081,1,2003,-0.6629504609547264,-1.0000003955941823
W081,1,2004,-0.35916242842077406,-0.5417638144275595
W081,1,2005,-0.11867870317807984,-0.17901601570013748
W081,1,2006,0.15999968452376698,0.24134495296721342
W081,1,2007,-0.23955859373449878,-0.3613523220988374
W081,1,2008,-0.2404454111260089,-0.36269000537166113
W081,1,2009,-0.2158081809482116,-0.3255269873557121
W081,1,2010,-0.18937182618272455,-0.28565015374512265
W081,1,2011,0.3771139196546593,0.568842004115425
W081,1,2012,-0.37788728487192186,-0.5700085551154626
W081,1,2013,1.0397298339928527,1.568337766605655
W081,1,2014,-0.2323692899407814,-0.3505079120543664
W081,1,2015,0.47674642753152396,0.7191285687365923
W081,1,2016,1.089750243135136,1.6437889984488774
W081,1,2017,0.029447359465249758,0.04441865998862992
W081,1,2018,0.9260223648137083,1.3968204046637003
W081,1,2019,-0.1152629631751973,-0.17386368297649724
W081,1,2020,0.7976909492012074,1.2032441513266865
W081,1,2021,1.2463661389292053,1.880029814278255
W081,1,2022,0.058180043199119014,0.08775929672183817
W081,1,2023,0.7785693463894525,1.1744009548854135
W081,2,1979,0.15139491511659037,0.2396937917198946
W081,2,1980,0.4598752779944075,0.7280908279900405
W081,2,1981,-1.1022210144392859,-1.7450753485402222
W081,2,1982,0.7477736555410459,1.183901736110808
W081,2,1983,1.23211778518442,1.950732516669637
W081,2,1984,-1.2029212116962154,-1.9045074674384461
W081,2,1985,-0.7728788928282911,-1.223649236961635
W081,2,1986,-0.19002702303478172,-0.3008575132485364
W081,2,1987,0.49280941243306453,0.7802333160949756
W081,2,1988,0.08753592445844975,0.13858997595126507
W081,2,1989,0.39540078026071934,0.6260125196193655
W081,2,1990,-0.43054366679068,-0.6816519822648665
W081,2,1991,0.6095211227758537,0.9650154296067364
W081,2,1992,0.8472473026109495,1.3413919373109602
W081,2,1993,0.477341718810137,0.7557443157161587
W081,2,1994,-0.8119873051017709,-1.2855670604153235
W081,2,1995,0.5675698035487867,0.8985966151740085
W081,2,1996,0.3504483366594442,0.5548422187835245
W081,2,1997,-0.23538981864660216,-0.37267749792132626
W081,2,1998,0.1366826456770457,0.21640080566383416
W081,2,1999,-0.2110712615164805,-0.334175496957907
W081,2,2000,-0.9201129193456657,-1.4567553624808383
W081,2,2001,-0.9878859303643753,-1.5640559939111507
W081,2,2002,-0.25194394100009726,-0.3988865707455263
W081,2,2003,0.07277649419883206,0.1152223232145224
W081,2,2004,-0.21441626203029057,-0.339471420244648
W081,2,2005,0.043992961420107564,0.06965121466366256
W081,2,2006,-0.4457994188164831,-0.7058054292005654
W081,2,2007,0.04903968004691191,0.07764135833837303
W081,2,2008,-0.5810430654121551,-0.9199279605522785
W081,2,2009,-0.33405406900855694,-0.5288862335862295
W081,2,2010,0.430014772136637,0.6808146175161869
W081,2,2011,-0.7990142116775618,-1.2650275994249038
W081,2,2012,-0.4728803017638575,-0.7486808422339553
W081,2,2013,-0.7428343023018723,-1.1760815771204636
W081,2,2014,0.6349668810460499,1.005302055338348
W081,2,2015,0.3992803918566462,0.632154858106177
W081,2,2016,0.4379093363076564,0.6933135711215336
W081,2,2017,0.4287371464107391,0.6787918352159787
W081,2,2018,-0.8492153361109037,-1.3445077976519273
W081,2,2019,1.1212237848444837,1.7751612076861303
W081,2,2020,0.986119362376472,1.561259100904371
W081,2,2021,0.47946079389166885,0.7590993104386721
W081,2,2022,-0.543226299868239,-0.8600551179483977
W081,2,2023,0.4602259661470508,0.7286460498939835
W081,3,1979,0.6152548189118491,1.1250973252025527
W081,3,1980,-0.03795697807943025,-0.06941074364190798
W081,3,1981,0.29369593212598494,0.5370726039045612
W081,3,1982,-0.7834001460825168,-1.4325794481050815
W081,3,1983,-0.4536960732747491,-0.8296598788110537
W081,3,1984,-0.08875243625135011,-0.16229881597385887
W081,3,1985,-0.6600406622843454,-1.2069958021205458
W081,3,1986,-0.5593082748254291,-1.0227896224895792
W081,3,1987,-1.0245233415384323,-1.8735139258415519
W081,3,1988,0.16690240663667455,0.3052092328328367
W081,3,1989,-0.2768417047123152,-0.5062518031589237
W081,3,1990,0.5336191785119314,0.975812772149252
W081,3,1991,-0.6741339422209012,-1.2327677442046296
W081,3,1992,0.12879361559515312,0.2355208735553747
W081,3,1993,0.5221499141244215,0.9548392855746151
W081,3,1994,0.48556755712386657,0.8879422686870053
W081,3,1995,-0.5753513849999843,-1.052127158402334
W081,3,1996,0.561376618384278,1.0265719379369844
