window_id,mode,pc_phase,object_A,object_B,peak_A,peak_B,delta_B_minus_A,tau_sync_primary_used,order_label,n_years_in_group,years_in_group
W081,1,high,P,V,88.0,85.0,-3.0,4.0,same_day_or_near,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,P,H,88.0,83.0,-5.0,4.0,B_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,P,Je,88.0,69.0,-19.0,4.0,B_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,P,Jw,88.0,83.0,-5.0,4.0,B_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,V,H,85.0,83.0,-2.0,4.0,same_day_or_near,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,V,Je,85.0,69.0,-16.0,4.0,B_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,V,Jw,85.0,83.0,-2.0,4.0,same_day_or_near,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,H,Je,83.0,69.0,-14.0,4.0,B_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,H,Jw,83.0,83.0,0.0,4.0,same_day_or_near,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,high,Je,Jw,69.0,83.0,14.0,4.0,A_earlier,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,low,P,V,78.0,75.0,-3.0,4.0,same_day_or_near,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,P,H,78.0,75.0,-3.0,4.0,same_day_or_near,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,P,Je,78.0,73.0,-5.0,4.0,B_earlier,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,P,Jw,78.0,86.0,8.0,4.0,A_earlier,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,V,H,75.0,75.0,0.0,4.0,same_day_or_near,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,V,Je,75.0,73.0,-2.0,4.0,same_day_or_near,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,V,Jw,75.0,86.0,11.0,4.0,A_earlier,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,1,low,H,Je,75.0,73.0,-2.0,4.0,same_day_or_near,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
