window_id,n_pairs_with_order_dependence_labels,dominant_objects_in_labeled_pairs,n_pairs_involving_P,n_pairs_involving_H,n_pairs_involving_V,n_pairs_involving_Je,n_pairs_involving_Jw,coverage_warning,window_level_summary
W045,10,H:4;Je:4;Jw:4;P:4;V:4,4,4,4,4,4,"summary is all-pair bootstrap-space evidence, not physical mechanism or direct-year regime",Use as coverage registry; inspect target-level evidence before scientific interpretation.
W081,10,H:4;Je:4;Jw:4;P:4;V:4,4,4,4,4,4,"summary is all-pair bootstrap-space evidence, not physical mechanism or direct-year regime",Use as coverage registry; inspect target-level evidence before scientific interpretation.
W113,10,H:4;Je:4;Jw:4;P:4;V:4,4,4,4,4,4,"summary is all-pair bootstrap-space evidence, not physical mechanism or direct-year regime",Use as coverage registry; inspect target-level evidence before scientific interpretation.
W160,10,H:4;Je:4;Jw:4;P:4;V:4,4,4,4,4,4,"summary is all-pair bootstrap-space evidence, not physical mechanism or direct-year regime",Use as coverage registry; inspect target-level evidence before scientific interpretation.
