window_id,target_pair,unordered_pair,object_A,object_B,target_set,corr_score_Y,permutation_empirical_p,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag,evidence_v3_level,high_dominant_order_direction,low_dominant_order_direction,high_delta_median,low_delta_median
W113,Jw-H,H-Jw,Jw,H,original_priority,0.5155881740062875,0.0,strict_99,direction_specific_99,stable,False,robust_one_sided_locking,Jw_earlier,Jw_earlier,10.0,5.0
W113,Je-Jw,Je-Jw,Je,Jw,added_all_pair,0.5148888273536562,0.0,strict_99,direction_specific_99,stable,False,robust_common_mode_reversal,Jw_earlier,Jw_earlier,0.0,-6.0
W160,P-V,P-V,P,V,original_priority,0.293431829331586,0.0,strict_99,direction_specific_99,stable,False,robust_common_mode_reversal,P_earlier,P_earlier,3.0,1.0
W160,P-H,H-P,P,H,added_all_pair,0.3533449089618572,0.0,strict_99,direction_specific_99,stable,False,robust_continuous_gradient,H_earlier,H_earlier,0.0,-3.0
W160,P-Je,Je-P,P,Je,added_all_pair,0.4941283939407963,0.0,strict_99,direction_specific_99,stable,False,robust_one_sided_locking,P_earlier,P_earlier,6.0,2.0
W160,P-Jw,Jw-P,P,Jw,added_all_pair,0.4607776683021805,0.0,strict_99,direction_specific_99,stable,False,robust_continuous_gradient,P_earlier,Jw_earlier,1.0,-7.0
W160,V-H,H-V,V,H,added_all_pair,0.3473493347596021,0.0,strict_99,direction_specific_99,stable,False,robust_continuous_gradient,H_earlier,H_earlier,-1.0,-6.0
W160,V-Je,Je-V,V,Je,original_priority,0.4920794633878059,0.0,strict_99,direction_specific_99,stable,False,robust_common_mode_reversal,V_earlier,Je_earlier,3.0,-1.0
W160,Jw-V,Jw-V,Jw,V,original_priority,0.4277416389225166,0.0,strict_99,direction_specific_99,stable,False,robust_common_mode_reversal,Jw_earlier,Jw_earlier,9.0,2.0
W160,H-Je,H-Je,H,Je,added_all_pair,0.3653104438786924,0.0,strict_99,direction_specific_99,stable,False,robust_common_mode_reversal,H_earlier,H_earlier,6.5,4.0
W160,H-Jw,H-Jw,H,Jw,original_priority,0.4402530532276265,0.0,strict_99,direction_specific_99,stable,False,robust_continuous_gradient,H_earlier,Jw_earlier,3.0,-5.0
W160,Je-Jw,Je-Jw,Je,Jw,added_all_pair,0.4103800334867875,0.0,strict_99,direction_specific_99,stable,False,robust_continuous_gradient,Jw_earlier,Jw_earlier,-3.0,-10.0
